,T,S4,S3/T
0,5650,2447.250029533919,24.047348260574363
1,5675,3018.536440743398,38.06216410758193
2,5700,3433.96092319539,51.19471422269826
3,5725,3865.1989470638136,62.50128750036168
4,5750,4212.473165125999,73.36209659270683
5,5775,4625.674273837728,84.15426369448953
6,5800,4973.998085044234,94.16365166042297
7,5825,5330.852633991507,104.36054135787876
8,5850,5707.752722758344,114.58633578227524
9,5875,6095.3759847021465,124.76442456294838
10,5900,6474.0370127868355,135.24948746396498
11,5925,6878.048342621042,145.11736033465834
12,5950,7254.881635436384,155.48148723785067
13,5975,7655.589458973041,166.03752384252584
