bubble_id,sign,centroid_x,centroid_y,centroid_z,volume,r_eff,r_rms,peak,step,time,temperature
1,+,338.73,55.05,332.64,1734518,74.5355,58.2486,1.0003e+11,16900,4.22500000e+03,4911.50
2,+,338.20,502.41,333.32,138893,32.1265,33.4994,1.0003e+11,16900,4.22500000e+03,4911.50
