T,S3/T,r_c,phi_esc
7560.0,43.37900316291598,0.10656597751635913,65650.17737829656
7580.0,70.22626193158106,0.06362901887691647,63085.019198538415
7600.0,90.09385077826609,0.06345673245787664,61367.26971841251
7620.0,107.19031074619448,0.05134317879390273,60011.64157809874
7640.0,122.78749540722183,0.043386922567934055,58862.41568262757
7660.0,137.44966611784474,0.03850853646481969,57847.476670720986
7680.0,151.4854037054038,0.034910584474508725,56927.66997468034
7700.0,165.08814429067775,0.03783474443123013,56078.30729730617
7720.0,178.36866356285557,0.029943205330199615,55284.58167546776
7740.0,191.4276520476122,0.031201165638844154,54533.94329858607
7760.0,204.3172451844433,0.02795642787584855,53819.738616045
7780.0,217.08458777139856,0.028216204530759948,53135.73308003083
7800.0,229.76661958177448,0.03153495434516836,52476.9652071784
7820.0,242.391941789331,0.02603697853394989,51840.259790550714
7840.0,254.98932643722307,0.025283329719264946,51222.00463427791
7860.0,267.5737558907126,0.025108081021532957,50619.943698791285
7880.0,280.15271222088995,0.02330973962409958,50032.94134000439
7900.0,292.7530903316058,0.023050110057723946,49458.31000538733
7920.0,305.3825489405151,0.02555527188798474,48894.995907217555
7940.0,318.0429087290296,0.023269800766713738,48342.212484143114
7960.0,330.7464670845581,0.021454623633458285,47798.691909516645
7980.0,343.5046156166185,0.021428710393603546,47263.357558096235
8000.0,356.3275863728867,0.02003200025506953,46735.19282041409
8020.0,369.19930762625154,0.019932520867648275,46214.90028748803
8040.0,382.1492338673404,0.020635361383264765,45700.21221589591
8060.0,395.1742192449832,0.020707219733301044,45191.20624513892
8080.0,408.2682748591024,0.018744764488105397,44688.11952199602
8100.0,421.4584320696899,0.01806641866068546,44188.792388432106
8120.0,434.71365854932293,0.018589713530769363,43695.225481679016
8140.0,448.0692548946146,0.02154145772149979,43204.92517846215
8160.0,461.5101767179958,0.01913872635475739,42718.76367228914
8180.0,475.04736912976153,0.020495976488817725,42235.96802527268
8200.0,488.6776558735733,0.018157265845255673,41756.47225772279
8220.0,502.40112696835814,0.017786122646447102,41280.39464516781
8240.0,516.2281262968377,0.017500665311684756,40806.86032590794
8260.0,530.1605791311163,0.01753674851035468,40335.63295711144
8280.0,544.188284380868,0.017411707402420748,39867.375029143855
8300.0,558.3251864948272,0.02018865255558304,39401.00716907503
8320.0,572.5704619321167,0.018349542649001682,38936.83700062355
8340.0,586.920444041516,0.01807543059107214,38474.6810667868
8360.0,601.3820310996923,0.01916395128800648,38014.40266608468
8380.0,615.9497663435217,0.016598122432170972,37555.905801568915
8400.0,630.6390587776496,0.016021877000117764,37098.58754517378
8420.0,645.4314111400968,0.01642098553516108,36643.28011792022
8440.0,660.3456707727338,0.02028824932175823,36188.96787414798
8460.0,675.3748845761846,0.01735124259227825,35736.03483008498
8480.0,690.5177951656761,0.0160872271823976,35284.41128217309
8500.0,705.7860592920142,0.01564609614195955,34833.56805503016
8520.0,721.167955888221,0.015447745206118574,34383.9203650274
8540.0,736.6667407643531,0.015995082550660997,33935.42574968366
8560.0,752.2919980105509,0.01675301907217664,33487.57556784296
8580.0,768.0418944930396,0.014458182353189455,33040.34056654175
8600.0,783.9107634889857,0.0148061466464301,32594.17062471182
8620.0,799.9011978286724,0.014519201564934957,32148.5789280541
8640.0,816.0195678690056,0.018246528968693717,31703.793187778356
8660.0,832.2572338979827,0.014594839921627594,31259.57568253911
8680.0,848.6274505400693,0.014724830275793169,30815.69465747837
8700.0,865.1219792941793,0.014186884577788961,30372.39814360627
8720.0,881.7516404302502,0.015332169875056702,29929.232023661843
8740.0,898.5028802144291,0.015438227220782768,29486.692395349735
8760.0,915.3915178250495,0.013794311246112313,29044.3389448357
8780.0,932.3964116767636,0.014610487397223433,28602.677793836512
8800.0,949.5460143360297,0.013732624846369577,28160.815186796466
8820.0,966.8176706692611,0.013663016248851585,27719.735761861815
8840.0,984.2249239479964,0.016734122261981156,27278.33082284832
8860.0,1001.7666845772391,0.014122140370236385,26837.36184080148
8880.0,1019.4452416434441,0.013405290760539316,26396.205722666346
8900.0,1037.2456302897747,0.013762997293643752,25955.6302333193
8920.0,1055.1966716904105,0.014562510844292326,25514.80197085431
8940.0,1073.2706740667684,0.016115850181540558,25074.0439415089
8960.0,1091.4913798755144,0.013159477506655751,24633.230670515662
8980.0,1109.8397910337587,0.014317604846846074,24192.694816061594
9000.0,1128.330928602756,0.013720368881661213,23751.88080364561
9020.0,1146.9562775279737,0.015672005532425672,23311.139260274398
9040.0,1165.724383185068,0.013272545025728225,22870.383344476468
9060.0,1184.6279186354952,0.015463421248199242,22429.32127950575
9080.0,1203.6796509081028,0.012890491576736425,21988.11325222262
9100.0,1222.8580857531329,0.012791198202126411,21547.139000544918
9120.0,1242.184216958286,0.01460008020369414,21105.614699749658
9140.0,1261.6620886847368,0.012857825833060527,20663.950409358906
9160.0,1281.2659462683598,0.013667487564698232,20222.244628389064
9180.0,1301.025007951948,0.014888243453869182,19780.299809236825
9200.0,1320.9124147825896,0.013295486318529,19338.14632838793
9220.0,1340.956154627597,0.013730786074592645,18895.631598896383
9240.0,1361.1404305581752,0.014621170274997335,18452.92635675456
9260.0,1381.4652716353341,0.0127492620030516,18010.019599356223
9280.0,1401.9406405274876,0.012733140500442887,17566.732246379295
9300.0,1421.728662929408,0.012653986761487542,17122.54357381924
9320.0,1442.4494589242759,0.013905194134002732,16678.665784439778
9340.0,1463.3171132073614,0.012953941414542617,16234.4410015065
9360.0,1484.335618267958,0.013853500661625032,15789.813215550403
9380.0,1505.5013688699803,0.012594355068980715,15344.784364323761
9400.0,1526.8107167949872,0.012887211816829088,14899.474828921675
9420.0,1548.2701952423852,0.013490111313527753,14453.778082670997
9440.0,1569.880978873716,0.01333960033107361,14007.66091950638
9460.0,1591.6396427277589,0.01292249982698501,13561.137539804135
9480.0,1613.5462355729146,0.012445117308073534,13114.284218633526
9500.0,1635.607067839249,0.01242291635871057,12666.851782330004
9520.0,1657.8147309254557,0.01242366143601332,12219.143062132433
9540.0,1680.1765123730595,0.013040801936483654,11770.859260611434
9560.0,1702.690195534192,0.01297113498016811,11322.178398769234
9580.0,1725.3559150232686,0.012902207896277194,10873.028020603128
9600.0,1748.1748632880933,0.012834831990960853,10423.408194066677
9620.0,1771.1494739445034,0.011867977840314224,9973.25258778166
9640.0,1794.2732944107731,0.012324664416847535,9522.746076814497
9660.0,1817.5513634704384,0.012013186420360053,9071.68062230156
9680.0,1840.9689606459626,0.01209745222865395,8619.71185311592
9700.0,1864.5598452700544,0.012801875610322217,8167.563947234024
9720.0,1888.3053821193284,0.012627828397082918,7714.897309250003
