bubble_id,sign,centroid_x,centroid_y,centroid_z,volume,r_eff,r_rms,peak,step,time,temperature
1,-,82.46,47.54,100.60,606528,52.5115,40.6991,1.0014e+11,4280,1.07000000e+03,6769.83
2,-,81.97,253.71,101.23,3924,9.7847,12.5783,3.7648e+07,4280,1.07000000e+03,6769.83
