bubble_id,sign,centroid_x,centroid_y,centroid_z,volume,r_eff,r_rms,peak,step,time,temperature
1,-,89.80,69.98,96.99,4718953,104.0525,83.8514,1.0818e+11,4520,1.13000000e+03,6769.82
2,-,83.77,232.28,101.00,1148270,64.9609,61.3882,1.0002e+11,4520,1.13000000e+03,6769.82
3,-,101.74,111.75,240.30,330247,42.8795,46.3766,1.0064e+11,4520,1.13000000e+03,6769.82
4,-,244.21,51.15,100.47,273255,40.2556,42.5418,1.0002e+11,4520,1.13000000e+03,6769.82
5,+,63.37,165.30,187.35,162922,33.8816,31.5153,9.7542e+10,4520,1.13000000e+03,6769.82
6,-,249.63,247.31,100.98,17916,16.2325,22.7934,1.0002e+11,4520,1.13000000e+03,6769.82
7,-,82.50,255.00,255.00,16,1.5632,4.6098,9.9476e+04,4520,1.13000000e+03,6769.82
