,T,S3/T,r_c,phi_esc
0,6730.0,11.850017499496124,0.021413802612574917,1424.6060341290577
1,6808.275862068966,80.83310349267391,0.004567851947496455,8011.8749241024925
2,6886.551724137931,128.13113583627907,0.003607365378175848,11275.646096506782
3,6964.827586206897,172.97045278981065,0.003180306700314979,13905.767979521654
4,7043.103448275862,217.6704348949163,0.0029271291699373156,16228.86586498427
5,7121.379310344828,263.07198845880856,0.0027566442191280373,18369.068199694928
6,7199.6551724137935,309.6060970411179,0.0026311598618340075,20387.839718347925
7,7277.931034482759,357.5338706927749,0.002536280559248942,22321.275657904058
8,7356.206896551725,407.013136923357,0.00245989017960783,24191.970662505148
9,7434.48275862069,458.1606495969372,0.002397568049089274,26016.922173687402
10,7512.758620689655,511.0829825343232,0.0023465235431641526,27806.4003072318
11,7591.0344827586205,565.8432366652157,0.0023027121898942723,29568.03570014896
12,7669.310344827586,622.5203564967508,0.0022653562407043575,31309.607025470832
13,7747.586206896552,681.156374819332,0.002232472088465404,33035.15294506223
14,7825.862068965517,741.8370874846702,0.002204958165041591,34750.79656194037
15,7904.137931034483,804.5636006327782,0.0021800714302428895,36457.136609737514
16,7982.413793103448,869.3970806009365,0.002157652325599597,38158.02060258016
17,8060.689655172414,936.3964241168402,0.002138270762206611,39856.49363723739
18,8138.9655172413795,1005.5845413173449,0.0021205441374317242,41553.5532488952
19,8217.241379310344,1076.9918860956832,0.00210407216518232,43250.66591024949
20,8295.51724137931,1150.6884093024528,0.0020900508276682377,44950.572462824224
21,8373.793103448275,1226.6752132854378,0.002076681509726067,46653.05512575673
22,8452.068965517241,1305.0152089761,0.0020649739535197353,48360.21300788625
23,8530.344827586207,1385.730227163982,0.0020540001307244723,50072.50932490741
24,8608.620689655172,1468.8602489699206,0.0020439047217769442,51790.76377777112
25,8686.896551724138,1554.4298223778305,0.0020347013349516804,53515.47905986198
26,8765.172413793103,1642.4771145550721,0.002025857487732993,55247.50700031392
27,8843.448275862069,1733.0531401664964,0.0020180612448952714,56988.02039033729
28,8921.724137931034,1826.2000322046538,0.00201095718933286,58737.09869700419
29,9000.0,1921.9438287746752,0.002004101552722823,60495.04842088782
