,T,S3/T,r_c,phi_esc
0,4868.0,8.009406550425517,0.14310608574533967,910.7940575018583
1,4876.0,21.36345088916324,0.10092206863076386,2415.8550483718864
2,4884.0,29.999759091317408,0.07683325613624667,3303.657276303129
3,4892.0,37.40742743786286,0.058349211157751636,3994.3015350838687
4,4900.0,43.791255882411534,0.050437551818346735,4570.668742066322
5,4908.0,49.906353998201965,0.043758482420075524,5083.298641643894
6,4916.0,55.610701292958204,0.04950047824104743,5545.281348862525
7,4924.0,61.020695791877394,0.0417146114948857,5970.347492604415
8,4932.0,66.39513550333221,0.04141170354533917,6367.57762076809
9,4940.0,71.56980657655384,0.037902762342314926,6741.550598377013
10,4948.0,76.6180552820997,0.03429414774892842,7096.421895591731
11,4956.0,81.5864121648864,0.031701528221095975,7435.81669604966
12,4964.0,86.46115589394898,0.03280951865728044,7761.549078012162
13,4972.0,91.29458322474444,0.03049606213444456,8074.9980666352785
14,4980.0,96.08993178753636,0.02997468647242363,8377.213614111082
15,4988.0,100.84162971655724,0.02786507175530661,8670.243467819193
16,4996.0,105.58062758668633,0.029306510614580585,8956.702798101775
17,5004.0,110.27672609917781,0.02647794686459589,9234.635682057342
18,5012.0,114.9599344183883,0.02610613544290537,9506.371040592494
19,5020.0,119.63351319233414,0.025495281890693198,9772.685182333924
20,5028.0,124.28799392083383,0.026429600683653055,10032.607712366458
21,5036.0,128.93911441477172,0.02322942028941792,10288.280411445157
22,5044.0,133.56898768134613,0.025215088325341434,10538.511718125694
23,5052.0,138.2168755896666,0.022244225078678473,10785.43793211336
24,5060.0,142.85210017009402,0.024253880931794945,11027.252592313598
25,5068.0,147.50150286758998,0.023220631149065675,11266.063258312977
26,5076.0,152.16552193562777,0.027539386571109038,11501.744072855014
27,5084.0,156.82108666555314,0.022461109632435063,11733.624787294684
28,5092.0,161.48885587871055,0.02637623609289674,11962.895215568773
29,5100.0,166.16348069975075,0.02593501959025894,12189.303797521803
