,T,S3/T,r_c,phi_esc
0,6730.0,11.850017499496124,0.021413802612574917,1424.6060341290577
1,6739.310344827586,26.42899625707696,0.010204808721561855,3104.7807546926633
2,6748.620689655172,36.41096543140449,0.00785170361358749,4143.481513322491
3,6757.931034482759,44.743575812850814,0.006713767646622051,4958.14457434394
4,6767.241379310345,52.26317715650724,0.006015003090068975,5652.561566669581
5,6776.551724137931,59.275749105998464,0.005526026549060363,6265.605481011997
6,6785.862068965517,65.89735017236397,0.005163622354323543,6823.757120296243
7,6795.172413793103,72.23717464250848,0.0048792510319369264,7340.8085564690555
8,6804.482758620689,78.36796175120696,0.004648039407796639,7822.999161610365
9,6813.793103448276,84.36470381633934,0.004457916026455486,8278.491012788872
10,6823.103448275862,90.22493286723564,0.004294305737562034,8712.72348411841
11,6832.413793103448,95.97430874970074,0.004156486403857923,9128.242346991145
12,6841.724137931034,101.63042629270988,0.004034181721296855,9527.199797163528
13,6851.0344827586205,107.2243566224757,0.003926500682228116,9911.99063477425
14,6860.3448275862065,112.76845380797597,0.0038299753508376716,10283.787164133697
15,6869.6551724137935,118.26699276906554,0.003744464415439039,10644.88847547557
16,6878.9655172413795,123.716708362634,0.003665452226000839,10995.777639466294
17,6888.275862068966,129.1280559180208,0.0035935619078216927,11338.039942423231
18,6897.586206896552,134.50351345383942,0.0035296125199703425,11672.6525501531
19,6906.896551724138,139.86331169968608,0.0034684244538639637,11999.966837490996
20,6916.206896551724,145.21944127794652,0.003413758791186457,12321.19126998492
21,6925.517241379311,150.55555459677606,0.0033616854884540312,12635.50461089579
22,6934.827586206897,155.87700504471331,0.00331452701156299,12944.443113917689
23,6944.137931034483,161.18668048444206,0.003269458311560131,13247.916740364846
24,6953.448275862069,166.48974144054574,0.0032275383268341494,13546.405729583377
25,6962.758620689655,171.79134624760724,0.0031890433569969475,13840.822338225524
26,6972.068965517241,177.08767398618173,0.0031514136869240524,14130.426752068612
27,6981.379310344828,182.3848479248279,0.003115825205244212,14416.063553298343
28,6990.689655172414,187.69545867164155,0.0030830872711187104,14698.59585175851
29,7000.0,193.0059707470522,0.0030528400842484613,14977.72624618694
