,T,S3/T,r_c,phi_esc
0,4868.0,8.009406550425517,0.024752752604916668,910.7940575018583
1,4876.0,21.36345088916324,0.00982464388709828,2415.8550483718864
2,4884.0,29.999759091317408,0.00738762193793909,3303.657276303129
3,4892.0,37.40742743786286,0.006257507083354838,3994.3015350838687
4,4900.0,43.791255882411534,0.00558109496609382,4570.668742066322
5,4908.0,49.906353998201965,0.005119940792585708,5083.298641643894
6,4916.0,55.610701292958204,0.004779764979079357,5545.281348862525
7,4924.0,61.020695791877394,0.004513680831522497,5970.347492604415
8,4932.0,66.39513550333221,0.004302040253547679,6367.57762076809
9,4940.0,71.56980657655384,0.004126630415757611,6741.550598377013
10,4948.0,76.6180552820997,0.003978529070606313,7096.421895591731
11,4956.0,81.5864121648864,0.00385120963550556,7435.81669604966
12,4964.0,86.46115589394898,0.0037398470721985277,7761.549078012162
13,4972.0,91.29458322474444,0.003643122541079602,8074.9980666352785
14,4980.0,96.08993178753636,0.0035569521897992513,8377.213614111082
15,4988.0,100.84162971655724,0.003477153032598896,8670.243467819193
16,4996.0,105.58062758668633,0.0034091032075057206,8956.702798101775
17,5004.0,110.27672609917781,0.0033434603992646894,9234.635682057342
18,5012.0,114.9599344183883,0.003285375995551034,9506.371040592494
19,5020.0,119.63351319233414,0.003234081085425962,9772.685182333924
20,5028.0,124.28799392083383,0.003184617651533268,10032.607712366458
21,5036.0,128.93911441477172,0.003139138713048225,10288.280411445157
22,5044.0,133.56898768134613,0.0030972567804300544,10538.511718125694
23,5052.0,138.2168755896666,0.0030576129724003394,10785.43793211336
24,5060.0,142.85210017009402,0.0030197535629548035,11027.252592313598
25,5068.0,147.50150286758998,0.002985100042482832,11266.063258312977
26,5076.0,152.16552193562777,0.002953767340152909,11501.744072855014
27,5084.0,156.82108666555314,0.00292185556676524,11733.624787294684
28,5092.0,161.48885587871055,0.002894074965067805,11962.895215568773
29,5100.0,166.16348069975075,0.0028663270101076223,12189.303797521803
