bubble_id,sign,centroid_x,centroid_y,centroid_z,volume,r_eff,r_rms,peak,step,time,temperature
1,+,45.93,85.12,179.32,79485,26.6726,20.6841,7.4949e+10,500,1.25000000e+02,4929.99
2,+,51.53,201.73,198.80,20737,17.0433,13.2189,1.7547e+08,500,1.25000000e+02,4929.99
3,-,26.93,245.76,176.68,8759,12.7876,10.0535,4.2186e+06,500,1.25000000e+02,4929.99
4,+,131.84,76.47,249.89,6399,11.5170,10.1154,3.8045e+06,500,1.25000000e+02,4929.99
5,-,18.27,58.60,163.33,6091,11.3292,9.0829,4.4398e+06,500,1.25000000e+02,4929.99
6,+,102.48,155.94,73.73,5976,11.2575,8.7741,3.2828e+06,500,1.25000000e+02,4929.99
7,-,74.23,247.25,229.53,5818,11.1574,8.7808,4.4457e+06,500,1.25000000e+02,4929.99
8,+,133.47,77.37,3.19,3560,9.4723,8.9756,3.2303e+06,500,1.25000000e+02,4929.99
9,+,72.35,225.34,120.42,1957,7.7595,6.0860,5.3863e+05,500,1.25000000e+02,4929.99
10,+,204.74,183.70,118.64,1342,6.8426,5.5524,1.8305e+05,500,1.25000000e+02,4929.99
11,+,57.66,41.17,22.12,1302,6.7739,5.2721,2.9638e+05,500,1.25000000e+02,4929.99
12,-,25.21,16.96,232.50,1080,6.3647,4.9484,2.6641e+05,500,1.25000000e+02,4929.99
13,+,3.96,21.70,102.75,823,5.8135,4.7170,1.5361e+05,500,1.25000000e+02,4929.99
14,-,73.21,1.34,230.82,716,5.5498,5.4409,8.7121e+05,500,1.25000000e+02,4929.99
15,-,25.77,0.99,177.12,597,5.2235,5.4720,4.6986e+05,500,1.25000000e+02,4929.99
16,-,193.69,229.72,31.05,320,4.2431,3.5051,9.0193e+04,500,1.25000000e+02,4929.99
17,+,222.73,7.84,13.13,249,3.9027,3.0552,9.0124e+04,500,1.25000000e+02,4929.99
18,-,113.94,185.97,249.31,105,2.9266,2.3078,7.2931e+04,500,1.25000000e+02,4929.99
19,+,98.00,26.46,113.63,35,2.0292,1.5753,6.2845e+04,500,1.25000000e+02,4929.99
20,+,255.00,23.67,102.10,21,1.7115,1.8832,6.1262e+04,500,1.25000000e+02,4929.99
21,-,195.38,208.62,29.08,13,1.4587,1.1461,5.6288e+04,500,1.25000000e+02,4929.99
