bubble_id,sign,centroid_x,centroid_y,centroid_z,volume,r_eff,r_rms,peak,step,time,temperature
1,+,42.65,82.09,177.54,141867,32.3542,26.6217,1.0499e+11,520,1.30000000e+02,4929.98
2,+,51.53,201.71,198.81,40472,21.2988,16.5122,2.9047e+09,520,1.30000000e+02,4929.98
3,-,26.96,244.07,176.25,19745,16.7670,13.3603,6.9784e+07,520,1.30000000e+02,4929.98
4,+,102.40,155.92,73.72,15774,15.5579,12.0927,5.0492e+07,520,1.30000000e+02,4929.98
5,+,131.57,76.29,248.26,14307,15.0598,13.0508,6.1422e+07,520,1.30000000e+02,4929.98
6,-,74.23,245.90,229.62,13580,14.8003,11.7921,6.8211e+07,520,1.30000000e+02,4929.98
7,+,133.50,77.05,5.05,9861,13.3028,12.1415,5.3646e+07,520,1.30000000e+02,4929.98
8,+,204.82,183.87,119.42,8189,12.5040,9.8705,2.7659e+06,520,1.30000000e+02,4929.98
9,-,194.80,223.07,31.65,7670,12.2340,12.0592,1.2672e+06,520,1.30000000e+02,4929.98
10,+,72.26,225.47,120.37,7515,12.1510,9.4642,7.5639e+06,520,1.30000000e+02,4929.98
11,+,57.89,40.27,22.84,7044,11.8917,9.2581,4.1332e+06,520,1.30000000e+02,4929.98
12,-,25.40,16.82,232.67,5830,11.1650,8.6797,3.6085e+06,520,1.30000000e+02,4929.98
13,+,5.54,21.85,103.24,4497,10.2395,8.3638,2.2107e+06,520,1.30000000e+02,4929.98
14,+,222.81,7.58,13.72,3580,9.4900,7.3877,1.2069e+06,520,1.30000000e+02,4929.98
15,-,73.07,3.15,231.08,3518,9.4349,8.6951,1.8118e+07,520,1.30000000e+02,4929.98
16,-,26.19,2.56,176.87,3322,9.2563,9.0613,1.0843e+07,520,1.30000000e+02,4929.98
17,+,97.22,26.69,111.69,2807,8.7509,7.5022,7.3690e+05,520,1.30000000e+02,4929.98
18,-,113.53,185.61,248.86,2791,8.7342,6.8833,9.1563e+05,520,1.30000000e+02,4929.98
19,+,211.36,34.54,196.79,1950,7.7502,6.0188,5.4889e+05,520,1.30000000e+02,4929.98
20,+,253.01,22.68,102.18,1278,6.7321,6.3196,1.1001e+06,520,1.30000000e+02,4929.98
21,-,217.20,217.70,41.09,475,4.8403,3.9088,1.1661e+05,520,1.30000000e+02,4929.98
22,-,111.72,186.03,1.04,404,4.5860,4.4727,3.3127e+05,520,1.30000000e+02,4929.98
23,+,223.50,254.65,13.32,146,3.2665,3.6143,1.6437e+05,520,1.30000000e+02,4929.98
