bubble_id,sign,centroid_x,centroid_y,centroid_z,volume,r_eff,r_rms,peak,step,time,temperature
1,+,41.84,81.46,176.95,308114,41.8994,33.5064,1.0073e+11,560,1.40000000e+02,4929.98
2,+,51.53,201.69,198.82,112993,29.9908,23.2433,1.0559e+11,560,1.40000000e+02,4929.98
3,-,27.00,240.65,175.66,59293,24.1901,19.5611,2.1085e+10,560,1.40000000e+02,4929.98
4,+,102.36,155.93,73.70,58668,24.1048,18.6989,1.4062e+10,560,1.40000000e+02,4929.98
5,-,199.54,220.64,34.11,58667,24.1047,20.3962,3.2832e+08,560,1.40000000e+02,4929.98
6,+,131.46,76.28,245.03,44321,21.9537,18.8573,1.8261e+10,560,1.40000000e+02,4929.98
7,-,74.25,242.90,229.65,43789,21.8655,17.7601,1.8875e+10,560,1.40000000e+02,4929.98
8,+,204.81,183.83,119.56,40846,21.3642,16.6625,7.7475e+08,560,1.40000000e+02,4929.98
9,+,58.22,38.17,23.88,40434,21.2921,16.7603,1.0447e+09,560,1.40000000e+02,4929.98
10,+,71.24,227.04,119.66,39739,21.1694,16.9703,1.9136e+09,560,1.40000000e+02,4929.98
11,+,133.43,76.86,8.35,35165,20.3239,18.0294,1.6529e+10,560,1.40000000e+02,4929.98
12,-,25.49,17.01,232.74,31851,19.6643,15.2614,8.8173e+08,560,1.40000000e+02,4929.98
13,+,95.87,26.74,109.72,26207,18.4265,14.7186,1.6528e+08,560,1.40000000e+02,4929.98
14,+,8.61,22.52,103.96,22449,17.4999,14.6616,5.8053e+08,560,1.40000000e+02,4929.98
15,+,222.91,10.20,14.35,19289,16.6369,13.2799,2.9144e+08,560,1.40000000e+02,4929.98
16,-,73.01,6.53,231.11,19203,16.6122,14.7836,7.2772e+09,560,1.40000000e+02,4929.98
17,-,26.38,5.68,176.82,18600,16.4365,15.2326,5.2020e+09,560,1.40000000e+02,4929.98
18,+,211.31,34.58,196.62,18369,16.3681,12.6855,1.1924e+08,560,1.40000000e+02,4929.98
19,-,113.71,185.54,245.66,17416,16.0800,12.9155,2.1584e+08,560,1.40000000e+02,4929.98
20,+,249.73,22.82,102.53,11323,13.9302,12.4815,3.6578e+08,560,1.40000000e+02,4929.98
21,+,16.09,25.22,56.70,7560,12.1752,9.4817,3.6323e+06,560,1.40000000e+02,4929.98
22,-,111.91,185.93,4.25,6826,11.7677,10.6150,1.0564e+08,560,1.40000000e+02,4929.98
23,+,224.31,251.33,13.79,5832,11.1663,10.4272,7.4722e+07,560,1.40000000e+02,4929.98
24,+,226.23,193.77,164.19,4308,10.0940,8.5650,4.8387e+05,560,1.40000000e+02,4929.98
25,-,253.03,62.39,169.59,3576,9.4864,10.4898,2.6766e+07,560,1.40000000e+02,4929.98
26,-,50.59,200.22,6.03,3393,9.3218,7.3456,1.7079e+06,560,1.40000000e+02,4929.98
27,+,3.66,131.05,166.85,2930,8.8769,7.9015,1.3954e+06,560,1.40000000e+02,4929.98
28,-,121.84,124.03,164.62,2741,8.6817,6.9326,5.1828e+05,560,1.40000000e+02,4929.98
29,+,251.58,26.75,159.46,1930,7.7237,6.5114,8.0800e+05,560,1.40000000e+02,4929.98
30,+,252.79,131.10,167.51,1553,7.1839,6.7072,1.2417e+06,560,1.40000000e+02,4929.98
31,+,238.07,105.87,223.45,1466,7.0472,5.4994,4.2550e+05,560,1.40000000e+02,4929.98
32,-,231.55,161.10,6.44,1423,6.9776,5.4389,2.4284e+05,560,1.40000000e+02,4929.98
33,+,2.23,26.69,158.85,1264,6.7074,6.0678,7.3489e+05,560,1.40000000e+02,4929.98
34,+,125.60,135.91,2.84,1073,6.3509,5.3171,5.2367e+05,560,1.40000000e+02,4929.98
35,+,222.50,7.86,254.19,704,5.5186,6.3264,1.7171e+06,560,1.40000000e+02,4929.98
36,-,116.99,102.94,164.72,668,5.4229,4.2840,1.7584e+05,560,1.40000000e+02,4929.98
37,+,124.94,135.63,253.12,649,5.3710,4.7391,4.4286e+05,560,1.40000000e+02,4929.98
38,-,24.78,254.17,232.81,631,5.3208,5.9195,1.3033e+06,560,1.40000000e+02,4929.98
39,-,235.95,165.39,39.75,437,4.7076,3.6607,1.5383e+05,560,1.40000000e+02,4929.98
40,-,50.06,200.08,254.06,417,4.6346,4.6587,4.7396e+05,560,1.40000000e+02,4929.98
41,+,159.31,201.19,121.38,381,4.4972,3.4980,1.3664e+05,560,1.40000000e+02,4929.98
42,-,150.14,74.02,39.28,121,3.0683,2.4411,7.4917e+04,560,1.40000000e+02,4929.98
43,+,55.29,0.63,105.72,116,3.0254,3.2247,7.9211e+04,560,1.40000000e+02,4929.98
44,+,92.16,216.71,63.44,45,2.2065,1.7529,6.5512e+04,560,1.40000000e+02,4929.98
45,+,223.24,254.41,254.82,34,2.0097,3.0549,2.2972e+05,560,1.40000000e+02,4929.98
46,-,232.83,160.83,255.00,6,1.1273,0.9718,5.2027e+04,560,1.40000000e+02,4929.98
47,+,2.67,44.67,59.00,3,0.8947,0.6667,5.3137e+04,560,1.40000000e+02,4929.98
