,T,S3/T
0,7420.0,27.505082702937056
1,7431.836734693878,55.858005878457995
2,7443.673469387755,71.66801921739632
3,7455.510204081633,83.98725680739535
4,7467.34693877551,94.59527439750823
5,7479.183673469388,104.17084173970593
6,7491.0204081632655,113.05707622316113
7,7502.857142857143,121.44613136403018
8,7514.693877551021,129.4648646501297
9,7526.530612244898,137.19261819016884
10,7538.367346938776,144.69368774746806
11,7550.2040816326535,152.00707154081624
12,7562.040816326531,159.17171543625076
13,7573.877551020408,166.20841324418413
14,7585.714285714285,173.14289185854963
15,7597.551020408163,179.9887805596886
16,7609.3877551020405,186.7598294300492
17,7621.224489795918,193.4704706528113
18,7633.061224489796,200.12730802032232
19,7644.897959183673,206.7397832529515
20,7656.734693877551,213.31660017030742
21,7668.571428571428,219.8619816976276
22,7680.408163265306,226.38083236679103
23,7692.244897959184,232.88142711770803
24,7704.081632653061,239.36402765377463
25,7715.918367346939,245.83435779486211
26,7727.755102040816,252.2936284201166
27,7739.591836734694,258.748447101707
28,7751.428571428572,265.1985223475719
29,7763.265306122449,271.64844838199224
30,7775.102040816327,278.0986990180665
31,7786.938775510204,284.5526855894502
32,7798.775510204082,291.008879206055
33,7810.6122448979595,297.47457124099355
34,7822.448979591837,303.94617211550377
35,7834.285714285715,310.43032727878415
36,7846.122448979591,316.9226345734855
37,7857.959183673469,323.4287075888736
38,7869.7959183673465,329.9464144534758
39,7881.632653061224,336.4809577815251
40,7893.469387755102,343.0290869727003
41,7905.306122448979,349.593783718468
42,7917.142857142857,356.17468429713693
43,7928.9795918367345,362.7723374482862
44,7940.816326530612,369.3906615842276
45,7952.65306122449,376.0313650728102
46,7964.489795918367,382.68683361918403
47,7976.326530612245,389.3652571007607
48,7988.163265306122,396.06567245690917
49,8000.0,402.8652818987832
