coupling,T,S3/T,r_c,phi_esc
1.0,7340.0,24.601223178793198,0.013683906067148817,2703.943464023265
1.0,7360.0,51.50210662539997,0.0073296115085708284,5324.970754116905
1.0,7380.0,71.05425899637882,0.005816954579510523,6989.021360376602
1.0,7400.0,88.1103513993582,0.005060037566738694,8317.358981420664
1.0,7420.0,103.87525419759277,0.004586377775129215,9464.063861368224
1.0,7440.0,118.91652070736355,0.0042539500270452665,10489.928914506309
1.0,7460.0,133.4150848552453,0.004005796431842378,11432.903447770252
1.0,7480.0,147.60758173770873,0.0038101318525742066,12313.007690614759
1.0,7500.0,161.5344664182038,0.003651598809305646,13142.21889991936
1.0,7520.0,175.3099877682484,0.0035191634034561084,13931.67020887931
1.0,7540.0,188.98195654981805,0.0034073413813131602,14688.251182996726
1.0,7560.0,202.56787581646458,0.003309984591864202,15416.177027652098
1.0,7580.0,216.1222336986946,0.003225509844650858,16120.668150154757
1.0,7600.0,229.65668812188258,0.0031506559384113417,16804.116537391208
1.0,7620.0,243.19170851129317,0.0030838092267395996,17469.538566596515
1.0,7640.0,256.74321141798424,0.0030235866397369414,18117.99052213441
1.0,7660.0,270.335636840365,0.002969897525577213,18752.855327439363
1.0,7680.0,283.96266062395904,0.002919935442067785,19374.447578470834
1.0,7700.0,297.6565912298042,0.002875333129291531,19985.70423511704
1.0,7720.0,311.3897212072524,0.002833052840691642,20584.876858300267
1.0,7740.0,325.2056922854926,0.002794830580348902,21175.70949269287
1.0,7760.0,339.1036416662321,0.0027603780884128824,21758.415081547093
1.0,7780.0,353.07534374524624,0.002727544574997286,22332.63651919017
1.0,7800.0,367.1260889066101,0.0026962937751142113,22899.072574918
1.0,7820.0,381.27095624886766,0.0026673515085374974,23459.19327233298
1.0,7840.0,395.51765916711435,0.0026414770163893783,24013.612140812693
1.0,7860.0,409.8548460796531,0.0026160800948613243,24562.0056849464
1.0,7880.0,424.2956194462594,0.002592166917808501,25105.256026835457
1.0,7900.0,438.83637834058686,0.002569486113695231,25643.356063678584
1.0,7920.0,453.4889916902769,0.0025485790245497004,26177.158799452824
1.0,7940.0,468.24749457459916,0.0025285584306562314,26706.522146735195
1.0,7960.0,483.1247643363616,0.002510057580037312,27232.27513545766
1.0,7980.0,498.1111910876027,0.0024919693947559112,27754.23516635259
1.0,8000.0,513.2234779682735,0.0024749818051722577,28273.14214539416
1.0,8020.0,528.4343391318788,0.0024580896737239413,28787.767773774904
1.0,8040.0,543.7803735169491,0.0024431796237909227,29300.34538047829
1.0,8060.0,559.2495577461979,0.0024280864640103626,29810.086979624262
1.0,8080.0,574.8230935894989,0.0024133818633450873,30316.13184462012
