T,S3/T,r_c,phi_esc
6440.0,18.74385752257735,0.012272558982421243,2330.158510816167
6460.0,37.87538423422095,0.006868078212220279,4414.116749132794
6480.0,52.22509453629458,0.005494476355291013,5769.822962364298
6500.0,64.90562174085743,0.004799529552959803,6855.079600504949
6520.0,76.66098287386792,0.00436286149162277,7797.244363686361
6540.0,87.93780014844323,0.004054205143964244,8642.285470702453
6560.0,98.87449626674905,0.003825316240344489,9421.931009453925
6580.0,109.5893622768015,0.0036427041203579377,10150.759320555648
6600.0,120.18685450804608,0.0034955441850464896,10838.842450069627
6620.0,130.68363681353378,0.0033724908530044224,11494.375624692591
6640.0,141.10684915374767,0.0032668874791321255,12123.776128599275
6660.0,151.52920613361223,0.0031766375356184675,12731.547174269057
6680.0,161.95256163911876,0.003098652848326181,13320.508627029907
6700.0,172.3711031077206,0.0030283833378560265,13891.495655457678
6720.0,182.82313375018927,0.002967084177503635,14449.109134338432
6740.0,193.30765190845202,0.002911641586162109,14993.098984715194
6760.0,203.85128197373726,0.002861216250937675,15526.250582348119
6780.0,214.45112148180021,0.002815663616890312,16049.42846848142
6800.0,225.10695258618182,0.0027731004829560264,16563.188641935354
6820.0,235.83201577132564,0.0027347479028377517,17069.189788078846
6840.0,246.63541149582505,0.002700091827967736,17567.703661451684
6860.0,257.52253302739064,0.002667619286138982,18059.499535155686
6880.0,268.49040895211385,0.002637092707345849,18545.28718244935
6900.0,279.5252665544423,0.002607496598016244,19024.181559523757
6920.0,290.6711239679158,0.002582494967092341,19499.682744447608
6940.0,301.8969748971296,0.002556538796501231,19969.306660459843
6960.0,313.2234000847303,0.0025332944161837595,20434.989204828482
6980.0,324.66100949566345,0.002512407050748627,20897.561211758075
7000.0,336.2056483088758,0.002491474143329755,21355.780698786533
7020.0,347.83454275458746,0.002472047498721792,21810.382441921538
7040.0,359.56172249766917,0.002453274345436668,22261.620579303402
7060.0,371.4044348043871,0.0024366431131024584,22710.636733379666
7080.0,383.3433709152938,0.0024197317161682524,23155.97351438018
7100.0,395.3976811603805,0.0024043482778128345,23599.562731521946
7120.0,407.55201805951344,0.002388927443003019,24039.871138612478
7140.0,419.82714583412024,0.002375083534805312,24478.87981001551
7160.0,432.2028663934353,0.002360757455442256,24914.947805637014
7180.0,444.7103060181501,0.002348386811192836,25350.09388855133
7200.0,457.31642431505367,0.002335467222928649,25782.58601476121
7220.0,470.05666155422875,0.002324061082294658,26214.484798012083
7240.0,482.9028421265707,0.002312723522714129,26644.003241345155
7260.0,495.86624127236433,0.0023018122736770796,27072.227082366182
7280.0,508.95285314528735,0.00229131162546111,27499.27297852839
7300.0,522.1468034185599,0.0022805826380248567,27924.24645408668
7320.0,535.4812377629571,0.00227150926923161,28349.271810057573
7340.0,548.9213420184433,0.002261586097098665,28772.4092089912
7360.0,562.5093220142091,0.0022533392196991526,29195.820073657043
7380.0,576.1966371465653,0.0022447566108433005,29616.9835642236
7400.0,590.012075345887,0.002235959049315294,30037.537412756006
7420.0,603.9723896287127,0.002228352654747677,30458.107209489855
7440.0,618.0377006532233,0.0022206062995887904,30877.15093164111
7460.0,632.2386241441043,0.0022131044481609923,31295.809108968708
7480.0,646.5746040369611,0.0022059143670893847,31714.155170204554
7500.0,661.0187639037208,0.002198287777036808,32131.134391366097
7520.0,675.6216623430191,0.0021920963631837766,32549.036905358982
7540.0,690.3398237056015,0.00218562846345745,32965.67817147418
7560.0,705.1928824678735,0.0021791941957217034,33382.23119562777
7580.0,720.164114359144,0.0021729651786090466,33797.594021295605
7600.0,735.2720572815255,0.002166575999571901,34212.95789253086
7620.0,750.5185218169785,0.002160843510197557,34628.368731642615
7640.0,765.9069775641174,0.0021557973102003815,35043.87328817948
7660.0,781.4122188805894,0.0021496916963582285,35458.32632901711
7680.0,797.0829664018795,0.0021451374739772833,35874.13848029006
7700.0,812.870507606761,0.0021399646672070425,36288.96126428539
7720.0,828.77987377465,0.0021345487988296873,36702.80864880162
7740.0,844.8548506278242,0.002130180567907717,37118.133432935516
7760.0,861.0506957532644,0.002125539607875657,37532.53402363851
7780.0,877.3920341420104,0.0021209653416648182,37947.2559826439
7800.0,893.8596294692999,0.002116600345153649,38361.39343737668
7820.0,910.4781561490615,0.0021121800105861803,38776.20979495141
7840.0,927.2306233080628,0.002108012523225859,39190.79274249555
7860.0,944.1325281943522,0.0021039333887545256,39605.78595570944
7880.0,961.1691563599633,0.00209967528546522,40020.574316358114
7900.0,978.3495895991706,0.002096042056200766,40435.8172159225
7920.0,995.6728394834573,0.0020918354145382356,40850.88000381299
7940.0,1013.1428774672906,0.00208816005312521,41266.4201001512
