coupling,T,S3/T,r_c,phi_esc
1.1,10300,2871.595182025526,0.00913664112719801,121679.43386816519
1.09,10330,2876.62998549989,0.0092894753129841,121472.78890457733
1.08,10300,2791.817491875101,0.009231059298731864,122684.39944532582
1.07,10300,2750.1919712391627,0.010423402822556365,123218.88381976681
