T,S3/T,r_c,phi_esc
4840.0,26.87150737659424,0.007929774877124169,2999.618425016568
4860.0,43.91332970506138,0.005474060610786513,4600.2302201239945
4880.0,58.09374062312005,0.004580680329237549,5759.027588122917
4900.0,70.98271619876681,0.004087842283473835,6715.2784699451
4920.0,83.18867274786314,0.0037644481964999644,7556.60444484606
4940.0,95.0013779970114,0.003532748217052325,8320.166736809857
4960.0,106.62600404856703,0.003356099482298873,9027.575748205287
4980.0,118.12277342250076,0.0032168645025277666,9693.734940177179
5000.0,129.541273969105,0.0031028838195578464,10324.718662193554
5020.0,140.93818386331498,0.0030069560726517794,10929.597971887735
5040.0,152.38929306196397,0.0029260058722243155,11512.858441802033
5060.0,163.8652415147089,0.0028549833528818897,12075.97838112207
5080.0,175.4016917309877,0.0027936472168925796,12623.712487245662
5100.0,187.01540236863588,0.002739973256940171,13158.352923911632
5120.0,198.728123478303,0.002691700360194181,13681.619286404457
5140.0,210.53399732270407,0.0026474778280047816,14193.682450053733
5160.0,222.47255629317894,0.0026089409588422735,14697.778473814877
5180.0,234.5380703669632,0.0025731510702851766,15194.093994678464
5200.0,246.71543627932024,0.0025407882157787182,15682.501018038383
5220.0,259.02718039178257,0.0025109555859079676,16164.520841844875
5240.0,271.4859766112846,0.0024832168509584993,16641.6893428474
5260.0,284.0725632493033,0.002457372990929178,17112.725261585845
5280.0,296.8276713596358,0.0024341216761491337,17580.296450361246
5300.0,309.7150067857849,0.002411910257238267,18042.920446352393
5320.0,322.8310994303209,0.0023913793754427666,18503.239881087065
5340.0,336.0289673526544,0.002372088657766438,18958.79361741923
5360.0,349.3878995531577,0.0023533275464607574,19411.44455792698
5380.0,362.9322472588671,0.0023373572545149247,19862.339813043844
5400.0,376.61573105746584,0.0023212643556358406,20309.88448447881
5420.0,390.48525474997996,0.0023056772199817805,20755.141895742272
5440.0,404.5103037238941,0.0022918323562136625,21198.793578035795
5460.0,418.7127933596985,0.002278001065150241,21640.28618321469
5480.0,433.1037669699602,0.0022659087673266294,22080.66976617783
5500.0,447.6444937308003,0.002253710021248119,22519.32358019185
5520.0,462.37649377071716,0.0022418990881627483,22956.432519447757
5540.0,477.2917985884461,0.002231118177044799,23392.605800830293
5560.0,492.3689826263954,0.002220528589201392,23827.57007970463
5580.0,507.65575781341835,0.0022108576518588057,24261.937641753408
5600.0,523.1136472408555,0.002201465945968776,24694.915600393142
5620.0,538.7400967428578,0.002191611643242895,25127.097272517305
5640.0,554.5740560303759,0.0021832438678580047,25559.0838739646
5660.0,570.6043234469771,0.002175351061924077,25990.512350237448
5680.0,586.8048600837883,0.002167229101038487,26421.495354129656
5700.0,603.2070261875986,0.0021595410565259975,26852.127486608995
5720.0,619.7853260741502,0.0021514409932182153,27281.485318852196
5740.0,636.580448279616,0.0021448556834130607,27711.680561179266
5760.0,653.5554214909582,0.0021382866183236662,28141.78713095923
5780.0,670.7248217658306,0.0021311466516408103,28570.838391383324
5800.0,688.1213508478671,0.00212546715605138,29000.987490987784
5820.0,705.6654955638816,0.0021191542809867576,29430.199075185345
5840.0,723.4447237744113,0.002113011753977698,29859.588462879372
5860.0,741.4209569781406,0.0021073325738244237,30289.218383998275
5880.0,759.5833340469287,0.00210187995446437,30719.142690256776
5900.0,777.9764604835888,0.0020968872854399737,31149.424330757247
5920.0,796.5739582255527,0.0020923023706770514,31580.102711353684
5940.0,815.3421843346475,0.0020866991397754213,32010.100549393872
5960.0,834.3615471432881,0.0020826674730507226,32441.723222429675
5980.0,853.5678500012338,0.002078075428143224,32872.73261143149
6000.0,872.9786412646299,0.002073606645383945,33304.30704156181
6020.0,892.6147366102231,0.002069377965943369,33736.476518763666
6040.0,912.4520628242598,0.00206517369247774,34169.28507579483
6060.0,932.4845215951128,0.0020610783136868595,34601.57221295316
6080.0,952.7264518841424,0.0020566837722654414,35034.543938030176
6100.0,973.2245054809741,0.002053556054633864,35469.43463022425
6120.0,993.9045459501922,0.002049839934335075,35903.86564890692
6140.0,1014.8153613634321,0.002046320120388191,36339.06172393511
