bubble_id,sign,centroid_x,centroid_y,centroid_z,volume,r_eff,r_rms,r_phys,r_rms_phys,peak,step,time,temperature
1,+,98.01,89.55,135.50,6320287,114.6963,89.4806,1.146963e-01,8.948055e-02,1.0002e+11,112300,2.80750000e+04,4911.68
2,+,94.51,243.00,135.71,397810,45.6242,48.2623,4.562425e-02,4.826227e-02,1.0002e+11,112300,2.80750000e+04,4911.68
3,+,246.71,83.29,135.60,200788,36.3259,40.6848,3.632590e-02,4.068482e-02,1.0002e+11,112300,2.80750000e+04,4911.68
4,+,94.74,83.38,0.00,204,3.6519,5.6972,3.651858e-03,5.697181e-03,9.2877e+04,112300,2.80750000e+04,4911.68
