bubble_id,sign,centroid_x,centroid_y,centroid_z,volume,r_eff,r_rms,r_phys,r_rms_phys,peak,step,time,temperature
1,+,110.61,108.31,133.19,10682684,136.6251,110.7510,1.366251e-01,1.107510e-01,1.1197e+11,112380,2.80950000e+04,4911.68
2,+,251.31,250.94,135.72,6333,11.4773,19.7667,1.147731e-02,1.976674e-02,5.6821e+10,112380,2.80950000e+04,4911.68
