bubble_id,sign,centroid_x,centroid_y,centroid_z,volume,r_eff,r_rms,r_phys,r_rms_phys,peak,step,time,temperature
1,+,108.78,106.07,133.78,9768324,132.6103,107.8754,1.326103e-01,1.078754e-01,1.0002e+11,112360,2.80900000e+04,4911.68
2,+,253.24,252.99,135.72,1342,6.8426,14.0492,6.842602e-03,1.404919e-02,2.0522e+08,112360,2.80900000e+04,4911.68
