T,S3/T,r_c,phi_esc,Gamma_H4
20099.975,105.24288029818774,0.947662694739828,65841.08200067846,6.568809349253238e-09
20099.949999999997,102.9840251793393,1.2162067424022143,65918.25484494014,6.086372317838421e-08
20099.924999999996,101.2707249135299,0.8355685163226666,65996.9441455994,3.292337060819489e-07
20099.899999999994,99.1860492718646,0.7351459589144164,66078.34249256758,2.5663463500688757e-06
20099.874999999993,97.16760496481962,0.8697634662084085,66159.88841241559,1.8729176863901267e-05
20099.84999999999,95.02179038329999,0.8589676076705192,66244.85017779436,0.000154840486943717
20099.82499999999,92.75392124880175,0.9519584017103058,66330.93869096774,0.0014423445676850907
20099.79999999999,90.5705981495,0.9136557922765547,66418.79827355719,0.012352488902535892
20099.774999999987,88.23609500231136,0.8969629694865824,66509.5196044927,0.12263168962497743
20099.749999999985,85.86349280196491,0.9289880681469755,66602.73620986592,1.2625599293338736
20099.724999999984,83.37196483189778,0.9957580977898344,66698.03098136207,14.59230567275864
20099.699999999983,80.8048130047019,1.1066508825104566,66796.02192745254,181.40423423889834
20099.67499999998,78.2205272207357,0.912303446459708,66900.43786248265,2289.8739617814445
20099.64999999998,75.50964203640362,1.368743352624925,67002.32601333763,32670.396372055657
20099.624999999978,73.18655745169352,1.2397887847667601,67110.09633762282,318198.71448824054
20099.599999999977,70.09071600905624,1.2515404174684732,67222.28591788429,6592450.556941208
20099.574999999975,67.09107586870934,1.3023900607259995,67340.32596397818,123959059.0174522
20099.549999999974,64.18179248835281,1.1369366186767615,67463.41215226206,2127563137.9809244
20099.524999999972,60.795166776359,1.2005035568624625,67592.55126846493,57990783126.29097
20099.49999999997,57.51925907247149,1.386393924342777,67727.92366175818,1412478335371.5544
20099.47499999997,54.04744030200026,1.3507060818121532,67873.81824685585,41420385817110.66
20099.449999999968,49.912466138361445,1.714499323719446,68028.80722067063,2296990972407104.5
20099.424999999967,45.91021103798833,1.438427443316108,68194.0906132802,1.1088296328394862e+17
20099.399999999965,41.73245144649442,1.6130216858519995,68377.56311258048,6.267401421344331e+18
20099.374999999964,35.75400180869749,1.7387303421390274,68583.84316716522,1.9623170646005991e+21
20099.349999999962,34.67349952030465,3.371733931519035,68818.94066424908,5.521190462192659e+21
20099.32499999996,28.059082465424098,3.3232488981341515,69103.87344893723,2.9974302098578775e+24
20099.29999999996,12.672825659591908,2.950151787052386,69434.85832940212,4.376363019111138e+30
