T,S3/T,r_c,phi_esc,Gamma_H4
23359.975,474.9158150663713,0.27704443491344594,53876.95531571466,3.260725680072852e-168
23359.949999999997,473.999668593105,0.2931730949119336,53907.25172168689,8.127030159162176e-168
23359.924999999996,473.0662046805179,0.3035474149291031,53936.65291651991,2.0608390118436022e-167
23359.899999999994,472.1549119892733,0.29331058833909546,53968.087440361625,5.1115837146414934e-167
23359.874999999993,471.2205872807173,0.2857968004385892,53999.54496650459,1.297284711521407e-166
23359.84999999999,470.33322883995515,0.3187890554257165,54031.579281848724,3.1418136674953943e-166
23359.82499999999,469.37773481388945,0.2868017316721947,54062.680610067444,8.143659031470949e-166
23359.79999999999,468.4484864287415,0.3293652012061502,54094.345929619274,2.056336581874866e-165
23359.774999999987,467.4991139513372,0.4152064904531192,54125.613070897576,5.297585792703193e-165
23359.749999999985,466.60044145976536,0.2874520461747972,54156.83959341951,1.2975113739771416e-164
23359.724999999984,465.65717785903706,0.34555039100509277,54188.68414147561,3.3223488035050203e-164
23359.699999999983,464.71231914651946,0.28228478275273244,54220.58543896568,8.520539951968119e-164
23359.67499999998,463.78036308010945,0.32101428337249516,54251.57546815567,2.1572520542477634e-163
23359.64999999998,462.8384410641855,0.2828843776310247,54282.55277694165,5.5162782527384386e-163
23359.624999999978,461.90933440744965,0.3001420966501774,54314.63671567608,1.3926474061120255e-162
23359.599999999977,460.98309821134694,0.280433653058114,54345.77621757207,3.505831024285492e-162
23359.574999999975,460.007194051327,0.28474810678493606,54378.00943234735,9.27338614391767e-162
23359.549999999974,459.0296365712908,0.3165110353631645,54409.2541375965,2.4569621032760554e-161
23359.524999999972,458.15498813567433,0.2925644366432854,54442.58892609663,5.875017002165094e-161
23359.49999999997,457.1831621132842,0.34218089546375363,54474.985048616945,1.5476853056564832e-160
23359.47499999997,456.23661317806204,0.28953172802583493,54507.442161276165,3.975682011720817e-160
23359.449999999968,455.2574132842921,0.3348105655229262,54538.96723589748,1.0550455981409451e-159
23359.424999999967,454.29589049909646,0.31987524640825227,54571.55485704685,2.7509081071993775e-159
23359.399999999965,453.35858245642027,0.30113876627129804,54604.19766662489,7.001586925231317e-159
23359.374999999964,452.38018083778684,0.3084143595039982,54635.41749758595,1.8565285919883476e-158
23359.349999999962,451.4351767234181,0.34705715708949136,54668.20670881384,4.761541743738895e-158
23359.32499999996,450.4831355282102,0.31144563103799394,54700.56023522288,1.2298062181097095e-157
23359.29999999996,449.4886409304973,0.2888241202003373,54733.45417860731,3.313588828299571e-157
23359.274999999958,448.52220000756074,0.33628764952472046,54765.43761413775,8.681895456434628e-157
23359.249999999956,447.5169399751209,0.3440753864045847,54798.02208385388,2.364448620886588e-156
23359.224999999955,446.58729253170327,0.2984703978297698,54830.64161994338,5.971921627137986e-156
23359.199999999953,445.6042964746279,0.36204450919796854,54863.825576285744,1.5906935361206366e-155
23359.174999999952,444.59392524748375,0.30776642163491436,54897.07556955485,4.354161544763843e-155
23359.14999999995,443.5999043967568,0.377080032601977,54929.856683160986,1.1725795838561887e-154
23359.12499999995,442.6780554096549,0.29574274258964156,54962.802133867044,2.93859152521955e-154
23359.099999999948,441.6881910491077,0.3589320454256546,54997.179737194834,7.880825006617406e-154
23359.074999999946,440.71856677874746,0.3555540219338391,55030.69952917956,2.0712886881946784e-153
23359.049999999945,439.7277157690493,0.3041209008344245,55064.287100275615,5.560241299778644e-153
23359.024999999943,438.7505547646153,0.3181544587746657,55097.0416974259,1.4723741035652484e-152
23358.99999999994,437.7318896212986,0.3115577492425672,55130.707630675286,4.0635230196418154e-152
23358.97499999994,436.7441550623839,0.3672125293322131,55164.02906914078,1.087418971321958e-151
23358.94999999994,435.76467215371116,0.3153579251692713,55197.426400845805,2.886133689830795e-151
23358.924999999937,434.75424272052277,0.3478182820714165,55231.375602944296,7.899984290952041e-151
23358.899999999936,433.7369127532751,0.34360946225197553,55265.40456448016,2.1773036069074662e-150
23358.874999999935,432.7473774152977,0.3103996730887909,55299.494947485546,5.836855753895406e-150
23358.849999999933,431.7493878838266,0.3162743539904394,55333.67065909371,1.5779541389868166e-149
23358.82499999993,430.7234003910279,0.37585118510136095,55367.91292784557,4.386552471656193e-149
23358.79999999993,429.72820999588123,0.31979456071799967,55402.341097552184,1.1825520435012475e-148
23358.77499999993,428.7088831970867,0.3803398834427645,55436.268123577625,3.265572535941855e-148
23358.749999999927,427.7191650891976,0.3325657576146894,55470.271807790814,8.755499556215592e-148
23358.724999999926,426.6826862245554,0.338696969999156,55504.831056454306,2.459436351987069e-147
23358.699999999924,425.6664188194929,0.3169312788726634,55539.464217541856,6.770794121234136e-147
23358.674999999923,424.6502722195225,0.3102053531956771,55574.053218803645,1.863749912665569e-146
23358.64999999992,423.5944357459676,0.49899474262550136,55608.37222272734,5.3371325752898445e-146
