lambda,T_min,T_max,n_points,max_Gamma_H4,T_at_max_Gamma_H4,exceeds_1
0.15,46309.82499999999,46309.975,5,4.012890437042366e+30,46309.84999999999,True
0.2,34809.62499999998,34809.975,15,0.22089362664559173,34809.62499999998,False
0.25,27927.09999999983,27929.975,116,967493.59935875,27927.124999999833,True
0.3,23353.44999999962,23359.975,262,6.424536135703203e+29,23353.44999999962,True
0.35,20099.29999999996,20099.975,28,4.376363019111138e+30,20099.29999999996,True
0.4,17669.799999999406,17679.975,408,5.4379592519823345e+29,17669.799999999406,True
0.45,15790.175000000143,15799.975,393,3.0766565827362604e+29,15790.175000000143,True
