lambda,S3/T,r_c,phi_esc (r=0),phi_fv (r=inf)
1.05,165.0881649472851,0.03783474443123013,13920.011621947684,0
1.09,277.2354131674583,0.026492495868818685,19821.336743818836,0
1.19,485.77696467130136,0.0175057811718687,27738.540162973935,0
