r,phi
0.0,27738.540162973935
1.6778959085420478e-08,27738.540161925237
3.5098471129244966e-05,27733.951629463045
7.018016329940451e-05,27720.19942589471
0.00010526185546956405,27697.287889692176
0.0001403435476397236,27665.246400736512
0.00017542523980988316,27624.115455002422
0.00021050693198004268,27573.93554846458
0.00024558862415020226,27514.747177097626
0.0002806703163203618,27446.58364880913
0.0003157520084905213,27369.481546179617
0.0003508337006606809,27283.543842584528
0.0003859153928308404,27188.879453269554
0.00042099708500099994,27085.59729348035
0.0004560787771711595,26973.80627846263
0.0004911604693413191,26853.615323462058
0.0005262421615114786,26725.133343724345
0.0005613238536816381,26588.469254495154
0.0005964055458517977,26443.731971020185
0.0006314872380219572,26291.03040854512
0.0006665689301921168,26130.450327877996
0.0007016506223622764,25962.106739215727
0.0007367323145324358,25786.20706862692
0.0007718140067025954,25602.960918757766
0.000806895698872755,25412.577892254412
0.0008419773910429145,25215.267591762982
0.000877059083213074,25011.23961992964
0.0009121407753832336,24800.70357940058
0.0009472224675533932,24583.869072821893
0.0009823041597235528,24360.94570283976
0.0010173858518937122,24132.14307210035
0.0010524675440638717,23897.670783249785
0.0010875492362340314,23657.738438934233
0.0011226309284041909,23412.555641799845
0.0011577126205743503,23162.33199449278
0.00119279431274451,22907.277099659186
0.0012278760049146695,22647.600559945204
0.001262957697084829,22383.511977997005
0.0012980393892549887,22115.220956460726
0.0013331210814251481,21842.959667266034
0.0013682027735953076,21567.078888739816
0.0014032844657654673,21287.844795852645
0.0014383661579356268,21005.505412726183
0.0014734478501057862,20720.30876348204
0.001508529542275946,20432.502872241843
0.0015436112344461054,20142.335763127223
0.0015786929266162649,19850.055460259806
0.0016137746187864246,19555.909987761224
0.001648856310956584,19260.147369753075
0.0016839380031267435,18963.01563035699
0.0017190196952969032,18664.76279369461
0.0017541013874670627,18365.636883887542
0.0017891830796372223,18065.885925057424
0.0018242647718073818,17765.75794132588
0.0018593464639775413,17465.500956814518
0.001894428156147701,17165.362995644988
0.0019295098483178604,16865.592081938892
0.00196459154048802,16566.436239817864
0.0019996732326581796,16268.196038611211
0.002034754924828339,15971.12787865592
0.0020698366169984985,15675.38561969284
0.002104918309168658,15381.122803465681
0.0021400000013388175,15088.492971718086
0.0021750816935089774,14797.649666193764
0.002210163385679137,14508.746428636397
0.0022452450778492963,14221.936800789656
0.002280326770019456,13937.374324397242
0.0023154084621896153,13655.212541202833
0.002350490154359775,13375.604992950088
0.0023855718465299347,13098.705221382741
0.002420653538700094,12824.666768244446
0.0024557352308702536,12553.643175278892
0.002490816923040413,12285.787984229755
0.0025258986152105725,12021.254736840725
0.0025609803073807324,11760.196974855484
0.002596061999550892,11502.76824001773
0.0026311436917210514,11249.122074071129
0.002666225383891211,10999.406684802801
0.0027013070760613703,10753.670916121926
0.00273638876823153,10511.912734775644
0.0027714704604016897,10274.130046398466
0.002806552152571849,10040.3207566251
0.0028416338447420086,9810.482771090064
0.002876715536912168,9584.613995428008
0.0029117972290823276,9362.712335273478
0.002946878921252487,9144.77569626108
0.002981960613422647,8930.801984025442
0.0030170423055928064,8720.789104201132
0.003052123997762966,8514.73496242275
0.0030872056899331254,8312.637464324915
0.003122287382103285,8114.494515542203
0.0031573690742734443,7920.304021709191
0.0031924507664436042,7730.063888460514
0.0032275324586137637,7543.772021430748
0.003262614150783923,7361.426326254499
0.0032976958429540826,7183.024708566358
0.003332777535124242,7008.5650740009005
0.0033678592272944016,6838.045328192755
0.0034029409194645615,6671.463376776504
0.003438022611634721,6508.81712538674
0.0034731043038048804,6350.004866588271
0.00350818599597504,6194.855469610389
0.0035432676881451994,6043.308563205683
0.0035783493803153593,5895.30441097205
0.0036134310724855187,5750.783276507478
0.003648512764655678,5609.685423409821
0.0036835944568258377,5471.951115277014
0.003718676148995997,5337.520615706977
0.0037537578411661566,5206.334188297653
0.0037888395333363165,5078.332096646911
0.003823921225506476,4953.45460435273
0.0038590029176766355,4831.641975012979
0.003894084609846795,4712.834472225615
0.003929166302016954,4596.972359588544
0.0039642479941871134,4483.995900699665
0.003999329686357273,4373.845359156927
0.004034411378527432,4266.460998558236
0.004069493070697592,4161.783082501497
0.004104574762867752,4059.751874584661
0.004139656455037911,3960.307638405633
0.004174738147208071,3863.3906375623337
0.00420981983937823,3768.9411356526834
0.00424490153154839,3676.8993962745735
0.004279983223718549,3587.205683025968
0.004315064915888709,3499.8002595047583
0.004350146608058869,3414.6233893088793
0.004385228300229028,3331.6153360362223
0.004420309992399188,3250.716363284737
0.004455391684569347,3171.8667346523434
0.004490473376739507,3095.006713736948
0.004525555068909667,3020.0765641364706
0.004560636761079826,2947.0165494488174
0.004595718453249986,2875.760998243102
0.004630800145420145,2806.2503843411687
0.004665881837590305,2738.4510436699493
0.0047009635297604645,2672.330113578457
0.0047360452219306235,2607.854731415602
0.0047711269141007834,2544.9920345304563
0.0048062086062709425,2483.709160272003
0.004841290298441102,2423.973245989153
0.004876371990611261,2365.7514290309628
0.004911453682781421,2309.0108467464015
0.004946535374951581,2253.718636484453
0.00498161706712174,2199.8419355941005
0.0050166987592919,2147.347881424357
0.005051780451462059,2096.203611324163
0.005086862143632219,2046.3762626425596
0.005121943835802379,1997.8329727285309
0.005157025527972538,1950.5408789310313
0.005192107220142698,1904.4671185990592
0.005227188912312857,1859.5788290816126
0.005262270604483017,1815.8431477276754
0.005297352296653176,1773.227211886231
0.005332433988823336,1731.6981589062634
0.005367515680993496,1691.2231261367706
0.005402597373163655,1651.7692509267363
0.005437679065333815,1613.3036706251733
0.005472760757503974,1575.7935225810215
0.005507842449674134,1539.205944143294
0.0055429241418442935,1503.508072661003
0.005578005834014453,1468.6670454830892
0.0056130875261846125,1434.6499999585794
0.0056481692183547715,1401.4240734364284
0.005683250910524931,1368.9586638390028
0.005718332602695091,1337.2485088102403
0.00575341429486525,1306.2841259032575
0.00578849598703541,1276.0519348602538
0.005823577679205569,1246.5383554233704
0.005858659371375729,1217.7298073347774
0.005893741063545888,1189.6127103366744
0.005928822755716048,1162.1734841712023
0.005963904447886208,1135.3985485805315
0.005998986140056367,1109.2743233068177
0.006034067832226527,1083.787228092231
0.006069149524396686,1058.923682678971
0.006104231216566846,1034.6701068091643
0.006139312908737006,1011.01292022501
0.006174394600907165,987.9385426686495
0.006209476293077325,965.4333938822674
0.006244557985247484,943.4838936080196
0.006279639677417644,922.0764615881053
0.006314721369587803,901.1975175646512
