T,S3/T,r_c,phi_esc,Gamma_H4
34809.975,309.339810287903,1.4980894281261552,62952.29182386706,6.850363168940816e-96
34809.95,296.6111465606504,1.5080686263034544,63196.75319602118,2.1693431078846957e-90
34809.924999999996,285.55576493285497,1.833214354731267,63446.45113100491,1.296801284610083e-85
34809.899999999994,272.9944660570046,1.7037321877953102,63710.17941568612,3.458353143565438e-80
34809.87499999999,263.40491438341127,1.7587275472996724,63962.11141767654,4.789194901676719e-76
34809.84999999999,243.48027337991502,2.36489020785214,64256.717175808124,1.915061681578059e-67
34809.82499999999,237.47693616568907,1.7114635384844548,64546.72916762675,7.466795014428537e-65
34809.79999999999,222.5961028135645,1.8493170559919063,64854.98116337623,1.9662601210063438e-58
34809.77499999999,205.2302062381488,3.608531968584211,65194.07044235598,6.062313162944007e-51
34809.749999999985,222.90978072288223,3.9361150939912988,65554.16200750954,1.4398831284830033e-58
34809.724999999984,193.90938500371016,3.880397071330964,65954.69960969896,4.594543690550183e-46
34809.69999999998,161.30514179490893,3.9036921926051003,66374.63675803732,5.036839633770382e-32
34809.67499999998,137.0457752446912,2.6720443923875847,66839.96124228109,1.3542288585025656e-21
34809.64999999998,136.7301972712243,4.031414643067048,67403.54123487031,1.8503026544710613e-21
34809.62499999998,89.8718941442986,4.46598079094997,68258.95847528559,0.22089362664559173
