Step 0/1500000 | t=0.00e+00 | T=7405.0 | a=1.000000 | H=2.41e-05 | 4.4 steps/s | 224.76 ms/step | ETA: 5619.0 min

*** phi threshold exceeded: max|phi|=263782.3 > 50000.0
*** Switching to dense snapshots: every 5 steps

Step 725/1500000 | t=3.62e-01 | T=7404.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 227.10 ms/step | ETA: 5674.8 min
Step 730/1500000 | t=3.65e-01 | T=7404.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 226.97 ms/step | ETA: 5671.5 min
Step 735/1500000 | t=3.67e-01 | T=7404.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 227.16 ms/step | ETA: 5676.2 min
Step 740/1500000 | t=3.70e-01 | T=7404.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 227.15 ms/step | ETA: 5676.0 min
Step 745/1500000 | t=3.72e-01 | T=7404.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 226.99 ms/step | ETA: 5672.0 min
Step 750/1500000 | t=3.75e-01 | T=7404.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 226.86 ms/step | ETA: 5668.7 min
Step 755/1500000 | t=3.78e-01 | T=7404.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 227.11 ms/step | ETA: 5674.9 min
Step 760/1500000 | t=3.80e-01 | T=7404.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 226.97 ms/step | ETA: 5671.4 min
Step 765/1500000 | t=3.83e-01 | T=7404.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 226.88 ms/step | ETA: 5669.1 min
Step 770/1500000 | t=3.85e-01 | T=7404.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 226.76 ms/step | ETA: 5666.1 min
Step 775/1500000 | t=3.88e-01 | T=7404.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 226.65 ms/step | ETA: 5663.4 min
Step 780/1500000 | t=3.90e-01 | T=7404.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 226.54 ms/step | ETA: 5660.7 min
Step 785/1500000 | t=3.93e-01 | T=7404.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 226.40 ms/step | ETA: 5657.1 min
Step 790/1500000 | t=3.95e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 226.29 ms/step | ETA: 5654.4 min
Step 795/1500000 | t=3.98e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 226.23 ms/step | ETA: 5652.8 min
Step 800/1500000 | t=4.00e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 226.17 ms/step | ETA: 5651.3 min
Step 805/1500000 | t=4.03e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 226.52 ms/step | ETA: 5659.9 min
Step 810/1500000 | t=4.05e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 226.38 ms/step | ETA: 5656.4 min
Step 815/1500000 | t=4.07e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 226.26 ms/step | ETA: 5653.3 min
Step 820/1500000 | t=4.10e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 226.12 ms/step | ETA: 5650.0 min
Step 825/1500000 | t=4.12e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 226.02 ms/step | ETA: 5647.4 min
Step 830/1500000 | t=4.15e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 225.91 ms/step | ETA: 5644.7 min
Step 835/1500000 | t=4.17e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 225.80 ms/step | ETA: 5641.8 min
Step 840/1500000 | t=4.20e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 225.80 ms/step | ETA: 5641.8 min
Step 845/1500000 | t=4.22e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 225.74 ms/step | ETA: 5640.3 min
Step 850/1500000 | t=4.25e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 225.63 ms/step | ETA: 5637.5 min
Step 855/1500000 | t=4.27e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 225.86 ms/step | ETA: 5643.2 min
Step 860/1500000 | t=4.30e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 225.77 ms/step | ETA: 5640.9 min
Step 865/1500000 | t=4.32e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 225.67 ms/step | ETA: 5638.4 min
Step 870/1500000 | t=4.35e-01 | T=7404.9 | a=1.000010 | H=2.41e-05 | 4.4 steps/s | 225.54 ms/step | ETA: 5635.3 min
Step 875/1500000 | t=4.38e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.4 steps/s | 225.41 ms/step | ETA: 5632.0 min
Step 880/1500000 | t=4.40e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.4 steps/s | 225.31 ms/step | ETA: 5629.5 min
Step 885/1500000 | t=4.43e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.4 steps/s | 225.24 ms/step | ETA: 5627.7 min
Step 890/1500000 | t=4.45e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.4 steps/s | 225.15 ms/step | ETA: 5625.3 min
Step 895/1500000 | t=4.48e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.4 steps/s | 225.05 ms/step | ETA: 5622.8 min
Step 900/1500000 | t=4.50e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.4 steps/s | 224.97 ms/step | ETA: 5620.9 min
Step 905/1500000 | t=4.53e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.4 steps/s | 225.20 ms/step | ETA: 5626.6 min
Step 910/1500000 | t=4.55e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.4 steps/s | 225.12 ms/step | ETA: 5624.7 min
Step 915/1500000 | t=4.58e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.4 steps/s | 225.03 ms/step | ETA: 5622.4 min
Step 920/1500000 | t=4.60e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.4 steps/s | 224.96 ms/step | ETA: 5620.5 min
Step 925/1500000 | t=4.63e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.4 steps/s | 224.86 ms/step | ETA: 5618.1 min
Step 930/1500000 | t=4.65e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.4 steps/s | 224.77 ms/step | ETA: 5615.7 min
Step 935/1500000 | t=4.68e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.5 steps/s | 224.68 ms/step | ETA: 5613.4 min
Step 940/1500000 | t=4.70e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.5 steps/s | 224.63 ms/step | ETA: 5612.2 min
Step 945/1500000 | t=4.72e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.5 steps/s | 224.59 ms/step | ETA: 5611.2 min
Step 950/1500000 | t=4.75e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.5 steps/s | 224.56 ms/step | ETA: 5610.3 min
Step 955/1500000 | t=4.77e-01 | T=7404.9 | a=1.000011 | H=2.41e-05 | 4.4 steps/s | 224.77 ms/step | ETA: 5615.8 min
Step 960/1500000 | t=4.80e-01 | T=7404.9 | a=1.000012 | H=2.41e-05 | 4.5 steps/s | 224.67 ms/step | ETA: 5613.2 min
Step 965/1500000 | t=4.82e-01 | T=7404.9 | a=1.000012 | H=2.41e-05 | 4.5 steps/s | 224.58 ms/step | ETA: 5610.9 min
Step 970/1500000 | t=4.85e-01 | T=7404.9 | a=1.000012 | H=2.41e-05 | 4.5 steps/s | 224.52 ms/step | ETA: 5609.3 min
Step 975/1500000 | t=4.87e-01 | T=7404.9 | a=1.000012 | H=2.41e-05 | 4.5 steps/s | 224.44 ms/step | ETA: 5607.4 min
Step 980/1500000 | t=4.90e-01 | T=7404.9 | a=1.000012 | H=2.41e-05 | 4.5 steps/s | 224.37 ms/step | ETA: 5605.5 min
Step 985/1500000 | t=4.92e-01 | T=7404.9 | a=1.000012 | H=2.41e-05 | 4.5 steps/s | 224.27 ms/step | ETA: 5603.2 min
Step 990/1500000 | t=4.95e-01 | T=7404.9 | a=1.000012 | H=2.41e-05 | 4.5 steps/s | 224.19 ms/step | ETA: 5601.0 min
Step 995/1500000 | t=4.97e-01 | T=7404.9 | a=1.000012 | H=2.41e-05 | 4.5 steps/s | 224.14 ms/step | ETA: 5599.8 min
Step 1000/1500000 | t=5.00e-01 | T=7404.9 | a=1.000012 | H=2.41e-05 | 4.5 steps/s | 224.08 ms/step | ETA: 5598.3 min
Step 1005/1500000 | t=5.02e-01 | T=7404.9 | a=1.000012 | H=2.41e-05 | 4.5 steps/s | 224.40 ms/step | ETA: 5606.2 min
Step 1010/1500000 | t=5.05e-01 | T=7404.9 | a=1.000012 | H=2.41e-05 | 4.5 steps/s | 224.32 ms/step | ETA: 5604.3 min
Step 1015/1500000 | t=5.07e-01 | T=7404.9 | a=1.000012 | H=2.41e-05 | 4.5 steps/s | 224.30 ms/step | ETA: 5603.6 min
Step 1020/1500000 | t=5.10e-01 | T=7404.9 | a=1.000012 | H=2.41e-05 | 4.5 steps/s | 224.22 ms/step | ETA: 5601.8 min
Step 1025/1500000 | t=5.12e-01 | T=7404.9 | a=1.000012 | H=2.41e-05 | 4.5 steps/s | 224.13 ms/step | ETA: 5599.4 min
Step 1030/1500000 | t=5.15e-01 | T=7404.9 | a=1.000012 | H=2.41e-05 | 4.5 steps/s | 224.08 ms/step | ETA: 5598.1 min
Step 1035/1500000 | t=5.17e-01 | T=7404.9 | a=1.000012 | H=2.41e-05 | 4.5 steps/s | 224.36 ms/step | ETA: 5605.0 min
Step 1040/1500000 | t=5.20e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 224.33 ms/step | ETA: 5604.3 min
Step 1045/1500000 | t=5.22e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 224.28 ms/step | ETA: 5603.1 min
Step 1050/1500000 | t=5.25e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 224.23 ms/step | ETA: 5601.9 min
Step 1055/1500000 | t=5.27e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 224.52 ms/step | ETA: 5609.2 min
Step 1060/1500000 | t=5.30e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 224.47 ms/step | ETA: 5607.7 min
Step 1065/1500000 | t=5.32e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 224.49 ms/step | ETA: 5608.3 min
Step 1070/1500000 | t=5.35e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 224.44 ms/step | ETA: 5607.0 min
Step 1075/1500000 | t=5.37e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 224.38 ms/step | ETA: 5605.5 min
Step 1080/1500000 | t=5.40e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 224.29 ms/step | ETA: 5603.1 min
Step 1085/1500000 | t=5.42e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 224.21 ms/step | ETA: 5601.3 min
Step 1090/1500000 | t=5.45e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 224.12 ms/step | ETA: 5599.0 min
Step 1095/1500000 | t=5.47e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 224.04 ms/step | ETA: 5596.9 min
Step 1100/1500000 | t=5.50e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 223.99 ms/step | ETA: 5595.7 min
Step 1105/1500000 | t=5.52e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 224.18 ms/step | ETA: 5600.3 min
Step 1110/1500000 | t=5.55e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 224.16 ms/step | ETA: 5599.8 min
Step 1115/1500000 | t=5.57e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 224.14 ms/step | ETA: 5599.4 min
Step 1120/1500000 | t=5.60e-01 | T=7404.9 | a=1.000013 | H=2.41e-05 | 4.5 steps/s | 224.08 ms/step | ETA: 5597.7 min
Step 1125/1500000 | t=5.62e-01 | T=7404.9 | a=1.000014 | H=2.41e-05 | 4.5 steps/s | 224.01 ms/step | ETA: 5596.1 min
Step 1130/1500000 | t=5.65e-01 | T=7404.9 | a=1.000014 | H=2.41e-05 | 4.5 steps/s | 223.93 ms/step | ETA: 5594.1 min
Step 1135/1500000 | t=5.68e-01 | T=7404.9 | a=1.000014 | H=2.41e-05 | 4.5 steps/s | 223.92 ms/step | ETA: 5593.8 min
Step 1140/1500000 | t=5.70e-01 | T=7404.9 | a=1.000014 | H=2.41e-05 | 4.5 steps/s | 223.87 ms/step | ETA: 5592.6 min
Step 1145/1500000 | t=5.73e-01 | T=7404.9 | a=1.000014 | H=2.41e-05 | 4.5 steps/s | 223.81 ms/step | ETA: 5591.0 min
Step 1150/1500000 | t=5.75e-01 | T=7404.9 | a=1.000014 | H=2.41e-05 | 4.5 steps/s | 223.74 ms/step | ETA: 5589.3 min
Step 1155/1500000 | t=5.78e-01 | T=7404.9 | a=1.000014 | H=2.41e-05 | 4.5 steps/s | 223.96 ms/step | ETA: 5594.7 min
Step 1160/1500000 | t=5.80e-01 | T=7404.9 | a=1.000014 | H=2.41e-05 | 4.5 steps/s | 223.91 ms/step | ETA: 5593.5 min
Step 1165/1500000 | t=5.83e-01 | T=7404.9 | a=1.000014 | H=2.41e-05 | 4.5 steps/s | 223.84 ms/step | ETA: 5591.7 min
Step 1170/1500000 | t=5.85e-01 | T=7404.9 | a=1.000014 | H=2.41e-05 | 4.5 steps/s | 223.80 ms/step | ETA: 5590.6 min
Step 1175/1500000 | t=5.88e-01 | T=7404.9 | a=1.000014 | H=2.41e-05 | 4.5 steps/s | 223.73 ms/step | ETA: 5588.9 min
Step 1180/1500000 | t=5.90e-01 | T=7404.9 | a=1.000014 | H=2.41e-05 | 4.5 steps/s | 223.67 ms/step | ETA: 5587.5 min
Step 1185/1500000 | t=5.93e-01 | T=7404.9 | a=1.000014 | H=2.41e-05 | 4.5 steps/s | 223.61 ms/step | ETA: 5585.8 min
Step 1190/1500000 | t=5.95e-01 | T=7404.9 | a=1.000014 | H=2.41e-05 | 4.5 steps/s | 223.54 ms/step | ETA: 5584.1 min
Step 1195/1500000 | t=5.98e-01 | T=7404.9 | a=1.000014 | H=2.41e-05 | 4.5 steps/s | 223.49 ms/step | ETA: 5582.7 min
Step 1200/1500000 | t=6.00e-01 | T=7404.9 | a=1.000014 | H=2.41e-05 | 4.5 steps/s | 223.46 ms/step | ETA: 5581.9 min
Step 1205/1500000 | t=6.03e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.63 ms/step | ETA: 5586.2 min
Step 1210/1500000 | t=6.05e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.56 ms/step | ETA: 5584.4 min
Step 1215/1500000 | t=6.08e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.53 ms/step | ETA: 5583.7 min
Step 1220/1500000 | t=6.10e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.49 ms/step | ETA: 5582.8 min
Step 1225/1500000 | t=6.13e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.43 ms/step | ETA: 5581.2 min
Step 1230/1500000 | t=6.15e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.37 ms/step | ETA: 5579.6 min
Step 1235/1500000 | t=6.18e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.31 ms/step | ETA: 5578.2 min
Step 1240/1500000 | t=6.20e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.24 ms/step | ETA: 5576.5 min
Step 1245/1500000 | t=6.23e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.17 ms/step | ETA: 5574.7 min
Step 1250/1500000 | t=6.25e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.18 ms/step | ETA: 5574.9 min
Step 1255/1500000 | t=6.27e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.38 ms/step | ETA: 5579.8 min
Step 1260/1500000 | t=6.30e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.33 ms/step | ETA: 5578.5 min
Step 1265/1500000 | t=6.32e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.32 ms/step | ETA: 5578.3 min
Step 1270/1500000 | t=6.35e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.27 ms/step | ETA: 5577.1 min
Step 1275/1500000 | t=6.37e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.21 ms/step | ETA: 5575.6 min
Step 1280/1500000 | t=6.40e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.15 ms/step | ETA: 5574.0 min
Step 1285/1500000 | t=6.42e-01 | T=7404.9 | a=1.000015 | H=2.41e-05 | 4.5 steps/s | 223.10 ms/step | ETA: 5572.8 min
Step 1290/1500000 | t=6.45e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 223.13 ms/step | ETA: 5573.5 min
Step 1295/1500000 | t=6.47e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 223.10 ms/step | ETA: 5572.6 min
Step 1300/1500000 | t=6.50e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 223.03 ms/step | ETA: 5570.9 min
Step 1305/1500000 | t=6.52e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 223.21 ms/step | ETA: 5575.3 min
Step 1310/1500000 | t=6.55e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 223.14 ms/step | ETA: 5573.6 min
Step 1315/1500000 | t=6.57e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 223.07 ms/step | ETA: 5572.0 min
Step 1320/1500000 | t=6.60e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 223.05 ms/step | ETA: 5571.3 min
Step 1325/1500000 | t=6.62e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 223.00 ms/step | ETA: 5570.0 min
Step 1330/1500000 | t=6.65e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 222.97 ms/step | ETA: 5569.3 min
Step 1335/1500000 | t=6.67e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 222.91 ms/step | ETA: 5567.8 min
Step 1340/1500000 | t=6.70e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 222.84 ms/step | ETA: 5566.0 min
Step 1345/1500000 | t=6.72e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 222.80 ms/step | ETA: 5565.0 min
Step 1350/1500000 | t=6.75e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 222.74 ms/step | ETA: 5563.4 min
Step 1355/1500000 | t=6.77e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 222.92 ms/step | ETA: 5568.0 min
Step 1360/1500000 | t=6.80e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 222.87 ms/step | ETA: 5566.6 min
Step 1365/1500000 | t=6.82e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 222.81 ms/step | ETA: 5565.3 min
Step 1370/1500000 | t=6.85e-01 | T=7404.9 | a=1.000016 | H=2.41e-05 | 4.5 steps/s | 222.81 ms/step | ETA: 5565.3 min
Step 1375/1500000 | t=6.88e-01 | T=7404.9 | a=1.000017 | H=2.41e-05 | 4.5 steps/s | 222.77 ms/step | ETA: 5564.2 min
Step 1380/1500000 | t=6.90e-01 | T=7404.9 | a=1.000017 | H=2.41e-05 | 4.5 steps/s | 222.72 ms/step | ETA: 5562.9 min
Step 1385/1500000 | t=6.93e-01 | T=7404.9 | a=1.000017 | H=2.41e-05 | 4.5 steps/s | 222.67 ms/step | ETA: 5561.5 min
Step 1390/1500000 | t=6.95e-01 | T=7404.9 | a=1.000017 | H=2.41e-05 | 4.5 steps/s | 222.62 ms/step | ETA: 5560.2 min
Step 1395/1500000 | t=6.98e-01 | T=7404.9 | a=1.000017 | H=2.41e-05 | 4.5 steps/s | 222.58 ms/step | ETA: 5559.3 min
Step 1400/1500000 | t=7.00e-01 | T=7404.9 | a=1.000017 | H=2.41e-05 | 4.5 steps/s | 222.54 ms/step | ETA: 5558.2 min
Step 1405/1500000 | t=7.03e-01 | T=7404.9 | a=1.000017 | H=2.41e-05 | 4.5 steps/s | 222.72 ms/step | ETA: 5562.7 min
Step 1410/1500000 | t=7.05e-01 | T=7404.9 | a=1.000017 | H=2.41e-05 | 4.5 steps/s | 222.65 ms/step | ETA: 5561.1 min
Step 1415/1500000 | t=7.08e-01 | T=7404.9 | a=1.000017 | H=2.41e-05 | 4.5 steps/s | 222.60 ms/step | ETA: 5559.7 min
Step 1420/1500000 | t=7.10e-01 | T=7404.9 | a=1.000017 | H=2.41e-05 | 4.5 steps/s | 222.54 ms/step | ETA: 5558.2 min
Step 1425/1500000 | t=7.13e-01 | T=7404.9 | a=1.000017 | H=2.41e-05 | 4.5 steps/s | 222.52 ms/step | ETA: 5557.7 min
Step 1430/1500000 | t=7.15e-01 | T=7404.9 | a=1.000017 | H=2.41e-05 | 4.5 steps/s | 222.48 ms/step | ETA: 5556.8 min
Step 1435/1500000 | t=7.18e-01 | T=7404.9 | a=1.000017 | H=2.41e-05 | 4.5 steps/s | 222.43 ms/step | ETA: 5555.3 min
Step 1440/1500000 | t=7.20e-01 | T=7404.9 | a=1.000017 | H=2.41e-05 | 4.5 steps/s | 222.39 ms/step | ETA: 5554.5 min
Step 1445/1500000 | t=7.23e-01 | T=7404.9 | a=1.000017 | H=2.41e-05 | 4.5 steps/s | 222.35 ms/step | ETA: 5553.4 min
Step 1450/1500000 | t=7.25e-01 | T=7404.9 | a=1.000017 | H=2.41e-05 | 4.5 steps/s | 222.31 ms/step | ETA: 5552.3 min
Step 1455/1500000 | t=7.28e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.45 ms/step | ETA: 5555.9 min
Step 1460/1500000 | t=7.30e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.50 ms/step | ETA: 5557.1 min
Step 1465/1500000 | t=7.33e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.46 ms/step | ETA: 5556.0 min
Step 1470/1500000 | t=7.35e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.41 ms/step | ETA: 5554.7 min
Step 1475/1500000 | t=7.38e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.40 ms/step | ETA: 5554.5 min
Step 1480/1500000 | t=7.40e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.35 ms/step | ETA: 5553.2 min
Step 1485/1500000 | t=7.43e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.29 ms/step | ETA: 5551.8 min
Step 1490/1500000 | t=7.45e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.24 ms/step | ETA: 5550.6 min
Step 1495/1500000 | t=7.48e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.20 ms/step | ETA: 5549.5 min
Step 1500/1500000 | t=7.50e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.16 ms/step | ETA: 5548.4 min
Step 1505/1500000 | t=7.52e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.32 ms/step | ETA: 5552.4 min
Step 1510/1500000 | t=7.55e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.28 ms/step | ETA: 5551.3 min
Step 1515/1500000 | t=7.57e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.33 ms/step | ETA: 5552.7 min
Step 1520/1500000 | t=7.60e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.30 ms/step | ETA: 5551.9 min
Step 1525/1500000 | t=7.62e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.26 ms/step | ETA: 5550.9 min
Step 1530/1500000 | t=7.65e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.25 ms/step | ETA: 5550.7 min
Step 1535/1500000 | t=7.67e-01 | T=7404.9 | a=1.000018 | H=2.41e-05 | 4.5 steps/s | 222.21 ms/step | ETA: 5549.5 min
Step 1540/1500000 | t=7.70e-01 | T=7404.9 | a=1.000019 | H=2.41e-05 | 4.5 steps/s | 222.16 ms/step | ETA: 5548.2 min
Step 1545/1500000 | t=7.72e-01 | T=7404.9 | a=1.000019 | H=2.41e-05 | 4.5 steps/s | 222.11 ms/step | ETA: 5547.1 min
Step 1550/1500000 | t=7.75e-01 | T=7404.9 | a=1.000019 | H=2.41e-05 | 4.5 steps/s | 222.08 ms/step | ETA: 5546.2 min
Step 1555/1500000 | t=7.77e-01 | T=7404.9 | a=1.000019 | H=2.41e-05 | 4.5 steps/s | 222.22 ms/step | ETA: 5549.7 min
Step 1560/1500000 | t=7.80e-01 | T=7404.9 | a=1.000019 | H=2.41e-05 | 4.5 steps/s | 222.16 ms/step | ETA: 5548.3 min
Step 1565/1500000 | t=7.82e-01 | T=7404.9 | a=1.000019 | H=2.41e-05 | 4.5 steps/s | 222.14 ms/step | ETA: 5547.6 min
Step 1570/1500000 | t=7.85e-01 | T=7404.9 | a=1.000019 | H=2.41e-05 | 4.5 steps/s | 222.09 ms/step | ETA: 5546.3 min
Step 1575/1500000 | t=7.87e-01 | T=7404.9 | a=1.000019 | H=2.41e-05 | 4.5 steps/s | 222.04 ms/step | ETA: 5545.2 min
Step 1580/1500000 | t=7.90e-01 | T=7404.9 | a=1.000019 | H=2.41e-05 | 4.5 steps/s | 222.02 ms/step | ETA: 5544.6 min
Step 1585/1500000 | t=7.92e-01 | T=7404.9 | a=1.000019 | H=2.41e-05 | 4.5 steps/s | 221.97 ms/step | ETA: 5543.4 min
Step 1590/1500000 | t=7.95e-01 | T=7404.9 | a=1.000019 | H=2.41e-05 | 4.5 steps/s | 221.92 ms/step | ETA: 5542.2 min
Step 1595/1500000 | t=7.97e-01 | T=7404.9 | a=1.000019 | H=2.41e-05 | 4.5 steps/s | 221.87 ms/step | ETA: 5541.0 min
Step 1600/1500000 | t=8.00e-01 | T=7404.9 | a=1.000019 | H=2.41e-05 | 4.5 steps/s | 221.84 ms/step | ETA: 5540.0 min
