Step 2700000/1000000000 | t=6.75e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 223.1 steps/s | 4.48 ms/step | ETA: 74516.6 min
Step 2750000/1000000000 | t=6.88e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 226.5 steps/s | 4.42 ms/step | ETA: 73381.3 min
Step 2800000/1000000000 | t=7.00e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 226.9 steps/s | 4.41 ms/step | ETA: 73251.8 min
Step 2850000/1000000000 | t=7.13e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 133.0 steps/s | 7.52 ms/step | ETA: 124959.3 min
Step 2900000/1000000000 | t=7.25e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 136.3 steps/s | 7.33 ms/step | ETA: 121882.5 min
Step 2950000/1000000000 | t=7.38e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 139.7 steps/s | 7.16 ms/step | ETA: 118993.6 min
Step 3000000/1000000000 | t=7.50e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 142.9 steps/s | 7.00 ms/step | ETA: 116285.3 min
Step 3050000/1000000000 | t=7.63e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 146.1 steps/s | 6.85 ms/step | ETA: 113768.0 min
Step 3100000/1000000000 | t=7.75e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 149.1 steps/s | 6.71 ms/step | ETA: 111404.8 min
Step 3150000/1000000000 | t=7.88e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 152.2 steps/s | 6.57 ms/step | ETA: 109191.2 min
Step 3200000/1000000000 | t=8.00e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 155.1 steps/s | 6.45 ms/step | ETA: 107110.6 min
Step 3250000/1000000000 | t=8.13e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 158.0 steps/s | 6.33 ms/step | ETA: 105137.8 min
Step 3300000/1000000000 | t=8.25e-01 | T=7349.9 | a=1.000020 | H=2.41e-05 | 160.9 steps/s | 6.22 ms/step | ETA: 103258.1 min
Step 3350000/1000000000 | t=8.38e-01 | T=7349.9 | a=1.000020 | H=2.41e-05 | 163.6 steps/s | 6.11 ms/step | ETA: 101538.7 min
Step 3400000/1000000000 | t=8.50e-01 | T=7349.9 | a=1.000020 | H=2.41e-05 | 166.2 steps/s | 6.02 ms/step | ETA: 99931.4 min
