Step 19850/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.3 steps/s | 88.73 ms/step | ETA: 14788453.9 min
Step 19855/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.3 steps/s | 88.84 ms/step | ETA: 14807175.0 min
Step 19860/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.2 steps/s | 88.95 ms/step | ETA: 14824510.6 min
Step 19865/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.2 steps/s | 89.05 ms/step | ETA: 14841670.0 min
Step 19870/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.2 steps/s | 89.16 ms/step | ETA: 14859910.8 min
Step 19875/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.2 steps/s | 89.27 ms/step | ETA: 14877780.9 min
Step 19880/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.2 steps/s | 89.38 ms/step | ETA: 14896281.3 min
Step 19885/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.2 steps/s | 89.49 ms/step | ETA: 14914940.3 min
Step 19890/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.1 steps/s | 89.70 ms/step | ETA: 14950156.6 min
Step 19895/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.1 steps/s | 89.81 ms/step | ETA: 14968661.0 min
Step 19900/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.1 steps/s | 89.92 ms/step | ETA: 14986520.6 min
Step 19905/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.1 steps/s | 90.03 ms/step | ETA: 15004767.6 min
Step 19910/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.1 steps/s | 90.14 ms/step | ETA: 15022992.4 min
Step 19915/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.1 steps/s | 90.24 ms/step | ETA: 15039831.2 min
Step 19920/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.1 steps/s | 90.34 ms/step | ETA: 15057334.7 min
Step 19925/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.1 steps/s | 90.45 ms/step | ETA: 15074897.8 min
Step 19930/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.0 steps/s | 90.55 ms/step | ETA: 15091514.9 min
Step 19935/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.0 steps/s | 90.66 ms/step | ETA: 15109514.3 min
Step 19940/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.0 steps/s | 90.87 ms/step | ETA: 15144355.1 min
Step 19945/10000000000 | t=1.99e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.0 steps/s | 90.97 ms/step | ETA: 15160975.3 min
Step 19950/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.0 steps/s | 91.07 ms/step | ETA: 15178196.7 min
Step 19955/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.0 steps/s | 91.17 ms/step | ETA: 15194540.2 min
Step 19960/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 11.0 steps/s | 91.27 ms/step | ETA: 15212207.8 min
Step 19965/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.9 steps/s | 91.38 ms/step | ETA: 15230478.3 min
Step 19970/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.9 steps/s | 91.49 ms/step | ETA: 15247707.1 min
Step 19975/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.9 steps/s | 91.60 ms/step | ETA: 15266293.3 min
Step 19980/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.9 steps/s | 91.71 ms/step | ETA: 15285434.3 min
Step 19985/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.9 steps/s | 91.82 ms/step | ETA: 15303097.3 min
Step 19990/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.9 steps/s | 92.03 ms/step | ETA: 15338723.3 min
Step 19995/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.9 steps/s | 92.14 ms/step | ETA: 15355931.9 min
Step 20000/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.8 steps/s | 92.25 ms/step | ETA: 15374829.7 min
Step 20005/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.8 steps/s | 92.36 ms/step | ETA: 15393727.6 min
Step 20010/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.8 steps/s | 92.48 ms/step | ETA: 15412581.9 min
Step 20015/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.8 steps/s | 92.59 ms/step | ETA: 15431259.1 min
Step 20020/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.8 steps/s | 92.69 ms/step | ETA: 15449077.0 min
Step 20025/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.8 steps/s | 92.80 ms/step | ETA: 15467253.7 min
Step 20030/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.8 steps/s | 92.91 ms/step | ETA: 15485264.5 min
Step 20035/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.8 steps/s | 93.02 ms/step | ETA: 15503373.2 min
Step 20040/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.7 steps/s | 93.23 ms/step | ETA: 15538260.4 min
Step 20045/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.7 steps/s | 93.34 ms/step | ETA: 15556376.3 min
Step 20050/10000000000 | t=2.00e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.7 steps/s | 93.45 ms/step | ETA: 15574392.3 min
Step 20055/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.7 steps/s | 93.55 ms/step | ETA: 15592001.6 min
Step 20060/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.7 steps/s | 93.66 ms/step | ETA: 15609743.1 min
Step 20065/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.7 steps/s | 93.76 ms/step | ETA: 15627444.8 min
Step 20070/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.7 steps/s | 93.88 ms/step | ETA: 15646751.7 min
Step 20075/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.6 steps/s | 93.99 ms/step | ETA: 15664255.3 min
Step 20080/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.6 steps/s | 94.09 ms/step | ETA: 15681983.6 min
Step 20085/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.6 steps/s | 94.20 ms/step | ETA: 15699772.4 min
Step 20090/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.6 steps/s | 94.42 ms/step | ETA: 15735839.8 min
Step 20095/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.6 steps/s | 94.52 ms/step | ETA: 15753078.5 min
Step 20100/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.6 steps/s | 94.63 ms/step | ETA: 15771123.7 min
Step 20105/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.6 steps/s | 94.73 ms/step | ETA: 15788476.7 min
Step 20110/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.5 steps/s | 94.84 ms/step | ETA: 15806362.5 min
Step 20115/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.5 steps/s | 94.95 ms/step | ETA: 15824239.0 min
Step 20120/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.5 steps/s | 95.05 ms/step | ETA: 15841811.1 min
