Step 218380/300000 | t=2.18e+01 | T=7401.1 | a=1.000525 | H=2.41e-05 | 12.8 steps/s | 78.17 ms/step | ETA: 106.3 min
Step 218390/300000 | t=2.18e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.18 ms/step | ETA: 106.3 min
Step 218400/300000 | t=2.18e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.19 ms/step | ETA: 106.3 min
Step 218410/300000 | t=2.18e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.21 ms/step | ETA: 106.3 min
Step 218420/300000 | t=2.18e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.22 ms/step | ETA: 106.4 min
Step 218430/300000 | t=2.18e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.23 ms/step | ETA: 106.4 min
Step 218440/300000 | t=2.18e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.24 ms/step | ETA: 106.4 min
Step 218450/300000 | t=2.18e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.25 ms/step | ETA: 106.4 min
Step 218460/300000 | t=2.18e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.26 ms/step | ETA: 106.4 min
Step 218470/300000 | t=2.18e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.28 ms/step | ETA: 106.4 min
Step 218480/300000 | t=2.18e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.29 ms/step | ETA: 106.4 min
Step 218490/300000 | t=2.18e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.30 ms/step | ETA: 106.4 min
Step 218500/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.32 ms/step | ETA: 106.4 min
Step 218510/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.33 ms/step | ETA: 106.4 min
Step 218520/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.34 ms/step | ETA: 106.4 min
Step 218530/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.35 ms/step | ETA: 106.4 min
Step 218540/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.36 ms/step | ETA: 106.4 min
