Step 230000/1000000000 | t=9.20e+00 | T=7398.4 | a=1.000221 | H=2.41e-05 | 563.0 steps/s | 1.78 ms/step | ETA: 29597.9 min
Step 240000/1000000000 | t=9.60e+00 | T=7398.3 | a=1.000231 | H=2.41e-05 | 563.2 steps/s | 1.78 ms/step | ETA: 29583.4 min
Step 250000/1000000000 | t=1.00e+01 | T=7398.2 | a=1.000241 | H=2.41e-05 | 563.6 steps/s | 1.77 ms/step | ETA: 29565.3 min
Step 260000/1000000000 | t=1.04e+01 | T=7398.1 | a=1.000250 | H=2.41e-05 | 563.7 steps/s | 1.77 ms/step | ETA: 29557.2 min
Step 270000/1000000000 | t=1.08e+01 | T=7398.1 | a=1.000260 | H=2.41e-05 | 564.0 steps/s | 1.77 ms/step | ETA: 29545.0 min
Step 280000/1000000000 | t=1.12e+01 | T=7398.0 | a=1.000269 | H=2.41e-05 | 564.6 steps/s | 1.77 ms/step | ETA: 29511.7 min
Step 290000/1000000000 | t=1.16e+01 | T=7397.9 | a=1.000279 | H=2.41e-05 | 565.0 steps/s | 1.77 ms/step | ETA: 29491.9 min
Step 300000/1000000000 | t=1.20e+01 | T=7397.9 | a=1.000289 | H=2.41e-05 | 565.2 steps/s | 1.77 ms/step | ETA: 29480.8 min
Step 310000/1000000000 | t=1.24e+01 | T=7397.8 | a=1.000298 | H=2.41e-05 | 565.5 steps/s | 1.77 ms/step | ETA: 29463.0 min
Step 320000/1000000000 | t=1.28e+01 | T=7397.7 | a=1.000308 | H=2.41e-05 | 565.7 steps/s | 1.77 ms/step | ETA: 29454.2 min
Step 330000/1000000000 | t=1.32e+01 | T=7397.7 | a=1.000318 | H=2.41e-05 | 565.8 steps/s | 1.77 ms/step | ETA: 29446.1 min
Step 340000/1000000000 | t=1.36e+01 | T=7397.6 | a=1.000327 | H=2.41e-05 | 566.0 steps/s | 1.77 ms/step | ETA: 29437.4 min
Step 350000/1000000000 | t=1.40e+01 | T=7397.5 | a=1.000337 | H=2.41e-05 | 566.0 steps/s | 1.77 ms/step | ETA: 29437.9 min
Step 360000/1000000000 | t=1.44e+01 | T=7397.4 | a=1.000346 | H=2.41e-05 | 566.2 steps/s | 1.77 ms/step | ETA: 29424.2 min
Step 370000/1000000000 | t=1.48e+01 | T=7397.4 | a=1.000356 | H=2.41e-05 | 566.0 steps/s | 1.77 ms/step | ETA: 29436.8 min
Step 380000/1000000000 | t=1.52e+01 | T=7397.3 | a=1.000366 | H=2.41e-05 | 565.9 steps/s | 1.77 ms/step | ETA: 29439.1 min
Step 390000/1000000000 | t=1.56e+01 | T=7397.2 | a=1.000375 | H=2.41e-05 | 566.0 steps/s | 1.77 ms/step | ETA: 29432.4 min
