Step 1300000/1000000000 | t=1.30e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1055.7 steps/s | 0.95 ms/step | ETA: 15766.9 min
Step 1350000/1000000000 | t=1.35e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1057.0 steps/s | 0.95 ms/step | ETA: 15747.2 min
Step 1400000/1000000000 | t=1.40e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1057.7 steps/s | 0.95 ms/step | ETA: 15735.6 min
Step 1450000/1000000000 | t=1.45e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1061.2 steps/s | 0.94 ms/step | ETA: 15682.7 min
Step 1500000/1000000000 | t=1.50e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1063.2 steps/s | 0.94 ms/step | ETA: 15652.4 min
Step 1550000/1000000000 | t=1.55e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1065.7 steps/s | 0.94 ms/step | ETA: 15615.6 min
Step 1600000/1000000000 | t=1.60e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1065.1 steps/s | 0.94 ms/step | ETA: 15623.2 min
Step 1650000/1000000000 | t=1.65e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1065.6 steps/s | 0.94 ms/step | ETA: 15615.5 min
Step 1700000/1000000000 | t=1.70e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1066.5 steps/s | 0.94 ms/step | ETA: 15601.1 min
Step 1750000/1000000000 | t=1.75e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1064.3 steps/s | 0.94 ms/step | ETA: 15631.8 min
Step 1800000/1000000000 | t=1.80e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1061.9 steps/s | 0.94 ms/step | ETA: 15667.0 min
Step 1850000/1000000000 | t=1.85e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1060.6 steps/s | 0.94 ms/step | ETA: 15685.8 min
Step 1900000/1000000000 | t=1.90e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1059.0 steps/s | 0.94 ms/step | ETA: 15708.3 min
Step 1950000/1000000000 | t=1.95e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1058.2 steps/s | 0.95 ms/step | ETA: 15719.6 min
Step 2000000/1000000000 | t=2.00e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1056.7 steps/s | 0.95 ms/step | ETA: 15740.2 min
Step 2050000/1000000000 | t=2.05e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1054.4 steps/s | 0.95 ms/step | ETA: 15775.0 min
Step 2100000/1000000000 | t=2.10e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1054.0 steps/s | 0.95 ms/step | ETA: 15779.8 min
Step 2150000/1000000000 | t=2.15e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1056.0 steps/s | 0.95 ms/step | ETA: 15749.6 min
Step 2200000/1000000000 | t=2.20e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1056.6 steps/s | 0.95 ms/step | ETA: 15739.8 min
Step 2250000/1000000000 | t=2.25e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1055.9 steps/s | 0.95 ms/step | ETA: 15749.1 min
Step 2300000/1000000000 | t=2.30e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1055.3 steps/s | 0.95 ms/step | ETA: 15756.5 min
