======================================================================
LATTICE SIMULATION LOG
Started: 2026-01-19 10:47:52
Log file: logs/simulation_20260119_104752.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------
Field precision: float32
Field states will be saved to: data/set6/T0_7345_dt_1e-05_a_0.001_interval_50000/field_states
Figures will be saved to: data/set6/T0_7345_dt_1e-05_a_0.001_interval_50000/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 128×128, Steps: 100000000, dt: 1.00e-05
Using fused RK2: True
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
============================================================

Warming up JIT compilation...
JIT warmup complete. Starting main loop...

Step 2250000/100000000 | t=2.25e-02 | T=7345.0 | 1317.1 steps/s | 0.76 ms/step | ETA: 1237.0 min
Step 2300000/100000000 | t=2.30e-02 | T=7345.0 | 1318.4 steps/s | 0.76 ms/step | ETA: 1235.0 min
Step 2350000/100000000 | t=2.35e-02 | T=7345.0 | 1320.2 steps/s | 0.76 ms/step | ETA: 1232.8 min
Step 2400000/100000000 | t=2.40e-02 | T=7345.0 | 1321.5 steps/s | 0.76 ms/step | ETA: 1231.0 min
Step 2450000/100000000 | t=2.45e-02 | T=7345.0 | 1323.0 steps/s | 0.76 ms/step | ETA: 1228.9 min
Step 2500000/100000000 | t=2.50e-02 | T=7345.0 | 1324.3 steps/s | 0.76 ms/step | ETA: 1227.1 min
Step 2550000/100000000 | t=2.55e-02 | T=7345.0 | 1324.5 steps/s | 0.75 ms/step | ETA: 1226.2 min
Step 2600000/100000000 | t=2.60e-02 | T=7345.0 | 1325.2 steps/s | 0.75 ms/step | ETA: 1225.0 min
Step 2650000/100000000 | t=2.65e-02 | T=7345.0 | 1325.3 steps/s | 0.75 ms/step | ETA: 1224.3 min
Step 2700000/100000000 | t=2.70e-02 | T=7345.0 | 1325.6 steps/s | 0.75 ms/step | ETA: 1223.4 min
Step 2750000/100000000 | t=2.75e-02 | T=7345.0 | 1326.4 steps/s | 0.75 ms/step | ETA: 1222.0 min
Step 2800000/100000000 | t=2.80e-02 | T=7345.0 | 1327.7 steps/s | 0.75 ms/step | ETA: 1220.2 min
Step 2850000/100000000 | t=2.85e-02 | T=7345.0 | 1329.5 steps/s | 0.75 ms/step | ETA: 1217.9 min
Step 2900000/100000000 | t=2.90e-02 | T=7345.0 | 1330.9 steps/s | 0.75 ms/step | ETA: 1216.0 min
Step 2950000/100000000 | t=2.95e-02 | T=7345.0 | 1332.6 steps/s | 0.75 ms/step | ETA: 1213.8 min
Step 3000000/100000000 | t=3.00e-02 | T=7345.0 | 1334.1 steps/s | 0.75 ms/step | ETA: 1211.8 min
Step 3050000/100000000 | t=3.05e-02 | T=7345.0 | 1335.7 steps/s | 0.75 ms/step | ETA: 1209.7 min
Step 3100000/100000000 | t=3.10e-02 | T=7345.0 | 1337.0 steps/s | 0.75 ms/step | ETA: 1208.0 min
Step 3150000/100000000 | t=3.15e-02 | T=7345.0 | 1338.0 steps/s | 0.75 ms/step | ETA: 1206.4 min
Step 3200000/100000000 | t=3.20e-02 | T=7345.0 | 1338.9 steps/s | 0.75 ms/step | ETA: 1205.0 min
Step 3250000/100000000 | t=3.25e-02 | T=7345.0 | 1339.1 steps/s | 0.75 ms/step | ETA: 1204.2 min
Step 3300000/100000000 | t=3.30e-02 | T=7345.0 | 1339.7 steps/s | 0.75 ms/step | ETA: 1203.0 min
Step 3350000/100000000 | t=3.35e-02 | T=7345.0 | 1340.0 steps/s | 0.75 ms/step | ETA: 1202.1 min
Step 3400000/100000000 | t=3.40e-02 | T=7345.0 | 1340.3 steps/s | 0.75 ms/step | ETA: 1201.3 min
Step 3450000/100000000 | t=3.45e-02 | T=7345.0 | 1341.7 steps/s | 0.75 ms/step | ETA: 1199.4 min
Step 3500000/100000000 | t=3.50e-02 | T=7345.0 | 1343.2 steps/s | 0.74 ms/step | ETA: 1197.4 min
Step 3550000/100000000 | t=3.55e-02 | T=7345.0 | 1344.6 steps/s | 0.74 ms/step | ETA: 1195.5 min
Step 3600000/100000000 | t=3.60e-02 | T=7345.0 | 1346.0 steps/s | 0.74 ms/step | ETA: 1193.7 min
Step 3650000/100000000 | t=3.65e-02 | T=7345.0 | 1346.9 steps/s | 0.74 ms/step | ETA: 1192.2 min
Step 3700000/100000000 | t=3.70e-02 | T=7345.0 | 1347.8 steps/s | 0.74 ms/step | ETA: 1190.8 min
Step 3750000/100000000 | t=3.75e-02 | T=7345.0 | 1348.9 steps/s | 0.74 ms/step | ETA: 1189.3 min
Step 3800000/100000000 | t=3.80e-02 | T=7345.0 | 1349.8 steps/s | 0.74 ms/step | ETA: 1187.8 min
Step 3850000/100000000 | t=3.85e-02 | T=7345.0 | 1350.9 steps/s | 0.74 ms/step | ETA: 1186.2 min
Step 3900000/100000000 | t=3.90e-02 | T=7345.0 | 1351.5 steps/s | 0.74 ms/step | ETA: 1185.1 min
Step 3950000/100000000 | t=3.95e-02 | T=7345.0 | 1352.3 steps/s | 0.74 ms/step | ETA: 1183.8 min
Step 4000000/100000000 | t=4.00e-02 | T=7345.0 | 1353.2 steps/s | 0.74 ms/step | ETA: 1182.4 min
Step 4050000/100000000 | t=4.05e-02 | T=7345.0 | 1354.1 steps/s | 0.74 ms/step | ETA: 1181.0 min
Step 4100000/100000000 | t=4.10e-02 | T=7345.0 | 1355.4 steps/s | 0.74 ms/step | ETA: 1179.2 min
Step 4150000/100000000 | t=4.15e-02 | T=7345.0 | 1356.2 steps/s | 0.74 ms/step | ETA: 1177.9 min
Step 4200000/100000000 | t=4.20e-02 | T=7345.0 | 1354.2 steps/s | 0.74 ms/step | ETA: 1179.0 min
Step 4250000/100000000 | t=4.25e-02 | T=7345.0 | 1351.5 steps/s | 0.74 ms/step | ETA: 1180.8 min
Step 4300000/100000000 | t=4.30e-02 | T=7345.0 | 1349.3 steps/s | 0.74 ms/step | ETA: 1182.1 min
Step 4350000/100000000 | t=4.35e-02 | T=7345.0 | 1346.3 steps/s | 0.74 ms/step | ETA: 1184.1 min
Step 4400000/100000000 | t=4.40e-02 | T=7345.0 | 1344.4 steps/s | 0.74 ms/step | ETA: 1185.2 min
Step 4450000/100000000 | t=4.45e-02 | T=7345.0 | 1341.3 steps/s | 0.75 ms/step | ETA: 1187.3 min
Step 4500000/100000000 | t=4.50e-02 | T=7345.0 | 1341.8 steps/s | 0.75 ms/step | ETA: 1186.2 min
Step 4550000/100000000 | t=4.55e-02 | T=7345.0 | 1342.5 steps/s | 0.74 ms/step | ETA: 1184.9 min
Step 4600000/100000000 | t=4.60e-02 | T=7345.0 | 1342.9 steps/s | 0.74 ms/step | ETA: 1184.0 min
Step 4650000/100000000 | t=4.65e-02 | T=7345.0 | 1343.6 steps/s | 0.74 ms/step | ETA: 1182.7 min
Step 4700000/100000000 | t=4.70e-02 | T=7345.0 | 1344.3 steps/s | 0.74 ms/step | ETA: 1181.5 min
Step 4750000/100000000 | t=4.75e-02 | T=7345.0 | 1345.1 steps/s | 0.74 ms/step | ETA: 1180.2 min
Step 4800000/100000000 | t=4.80e-02 | T=7345.0 | 1345.7 steps/s | 0.74 ms/step | ETA: 1179.1 min
Step 4850000/100000000 | t=4.85e-02 | T=7345.0 | 1346.4 steps/s | 0.74 ms/step | ETA: 1177.9 min
Step 4900000/100000000 | t=4.90e-02 | T=7345.0 | 1346.9 steps/s | 0.74 ms/step | ETA: 1176.8 min
Step 4950000/100000000 | t=4.95e-02 | T=7345.0 | 1347.3 steps/s | 0.74 ms/step | ETA: 1175.8 min
Step 5000000/100000000 | t=5.00e-02 | T=7344.9 | 1348.3 steps/s | 0.74 ms/step | ETA: 1174.3 min
Step 5050000/100000000 | t=5.05e-02 | T=7344.9 | 1349.6 steps/s | 0.74 ms/step | ETA: 1172.6 min
Step 5100000/100000000 | t=5.10e-02 | T=7344.9 | 1350.3 steps/s | 0.74 ms/step | ETA: 1171.4 min
Step 5150000/100000000 | t=5.15e-02 | T=7344.9 | 1351.1 steps/s | 0.74 ms/step | ETA: 1170.0 min
Step 5200000/100000000 | t=5.20e-02 | T=7344.9 | 1351.9 steps/s | 0.74 ms/step | ETA: 1168.7 min
Step 5250000/100000000 | t=5.25e-02 | T=7344.9 | 1352.7 steps/s | 0.74 ms/step | ETA: 1167.4 min
Step 5300000/100000000 | t=5.30e-02 | T=7344.9 | 1353.4 steps/s | 0.74 ms/step | ETA: 1166.2 min
Step 5350000/100000000 | t=5.35e-02 | T=7344.9 | 1354.2 steps/s | 0.74 ms/step | ETA: 1164.9 min
Step 5400000/100000000 | t=5.40e-02 | T=7344.9 | 1354.9 steps/s | 0.74 ms/step | ETA: 1163.7 min
Step 5450000/100000000 | t=5.45e-02 | T=7344.9 | 1355.6 steps/s | 0.74 ms/step | ETA: 1162.5 min
Step 5500000/100000000 | t=5.50e-02 | T=7344.9 | 1356.2 steps/s | 0.74 ms/step | ETA: 1161.3 min
Step 5550000/100000000 | t=5.55e-02 | T=7344.9 | 1357.3 steps/s | 0.74 ms/step | ETA: 1159.8 min
Step 5600000/100000000 | t=5.60e-02 | T=7344.9 | 1358.0 steps/s | 0.74 ms/step | ETA: 1158.6 min
Step 5650000/100000000 | t=5.65e-02 | T=7344.9 | 1359.0 steps/s | 0.74 ms/step | ETA: 1157.1 min
Step 5700000/100000000 | t=5.70e-02 | T=7344.9 | 1360.1 steps/s | 0.74 ms/step | ETA: 1155.6 min
Step 5750000/100000000 | t=5.75e-02 | T=7344.9 | 1361.1 steps/s | 0.73 ms/step | ETA: 1154.1 min
Step 5800000/100000000 | t=5.80e-02 | T=7344.9 | 1362.3 steps/s | 0.73 ms/step | ETA: 1152.5 min
Step 5850000/100000000 | t=5.85e-02 | T=7344.9 | 1363.0 steps/s | 0.73 ms/step | ETA: 1151.3 min
Step 5900000/100000000 | t=5.90e-02 | T=7344.9 | 1363.6 steps/s | 0.73 ms/step | ETA: 1150.2 min
Step 5950000/100000000 | t=5.95e-02 | T=7344.9 | 1364.2 steps/s | 0.73 ms/step | ETA: 1149.1 min
Step 6000000/100000000 | t=6.00e-02 | T=7344.9 | 1364.8 steps/s | 0.73 ms/step | ETA: 1147.9 min
Step 6050000/100000000 | t=6.05e-02 | T=7344.9 | 1365.7 steps/s | 0.73 ms/step | ETA: 1146.5 min
Step 6100000/100000000 | t=6.10e-02 | T=7344.9 | 1366.0 steps/s | 0.73 ms/step | ETA: 1145.6 min
Step 6150000/100000000 | t=6.15e-02 | T=7344.9 | 1366.3 steps/s | 0.73 ms/step | ETA: 1144.8 min
Step 6200000/100000000 | t=6.20e-02 | T=7344.9 | 1366.8 steps/s | 0.73 ms/step | ETA: 1143.8 min
Step 6250000/100000000 | t=6.25e-02 | T=7344.9 | 1367.4 steps/s | 0.73 ms/step | ETA: 1142.7 min
Step 6300000/100000000 | t=6.30e-02 | T=7344.9 | 1367.9 steps/s | 0.73 ms/step | ETA: 1141.6 min
Step 6350000/100000000 | t=6.35e-02 | T=7344.9 | 1368.5 steps/s | 0.73 ms/step | ETA: 1140.5 min
Step 6400000/100000000 | t=6.40e-02 | T=7344.9 | 1369.0 steps/s | 0.73 ms/step | ETA: 1139.5 min
