Step 1200/10000000000 | t=1.20e-01 | T=7450.0 | a=1.000003 | H=2.41e-05 | 4.6 steps/s | 219.65 ms/step | ETA: 36609028.1 min
Step 1250/10000000000 | t=1.25e-01 | T=7450.0 | a=1.000003 | H=2.41e-05 | 4.6 steps/s | 219.64 ms/step | ETA: 36606366.5 min
Step 1300/10000000000 | t=1.30e-01 | T=7450.0 | a=1.000003 | H=2.41e-05 | 4.6 steps/s | 219.58 ms/step | ETA: 36597295.5 min
Step 1350/10000000000 | t=1.35e-01 | T=7450.0 | a=1.000003 | H=2.41e-05 | 4.6 steps/s | 219.74 ms/step | ETA: 36623509.1 min
Step 1400/10000000000 | t=1.40e-01 | T=7450.0 | a=1.000003 | H=2.41e-05 | 4.6 steps/s | 219.78 ms/step | ETA: 36629498.3 min
Step 1450/10000000000 | t=1.45e-01 | T=7450.0 | a=1.000003 | H=2.41e-05 | 4.5 steps/s | 219.79 ms/step | ETA: 36632071.3 min
Step 1500/10000000000 | t=1.50e-01 | T=7450.0 | a=1.000004 | H=2.41e-05 | 4.5 steps/s | 219.87 ms/step | ETA: 36644986.3 min
Step 1550/10000000000 | t=1.55e-01 | T=7450.0 | a=1.000004 | H=2.41e-05 | 4.5 steps/s | 219.84 ms/step | ETA: 36640295.8 min
Step 1600/10000000000 | t=1.60e-01 | T=7450.0 | a=1.000004 | H=2.41e-05 | 4.5 steps/s | 219.86 ms/step | ETA: 36643961.9 min
Step 1650/10000000000 | t=1.65e-01 | T=7450.0 | a=1.000004 | H=2.41e-05 | 4.5 steps/s | 219.86 ms/step | ETA: 36642639.9 min
Step 1700/10000000000 | t=1.70e-01 | T=7450.0 | a=1.000004 | H=2.41e-05 | 4.5 steps/s | 219.90 ms/step | ETA: 36649452.2 min
Step 1750/10000000000 | t=1.75e-01 | T=7450.0 | a=1.000004 | H=2.41e-05 | 4.5 steps/s | 219.98 ms/step | ETA: 36664011.4 min
Step 1800/10000000000 | t=1.80e-01 | T=7450.0 | a=1.000004 | H=2.41e-05 | 4.5 steps/s | 220.04 ms/step | ETA: 36673024.8 min
Step 1850/10000000000 | t=1.85e-01 | T=7450.0 | a=1.000004 | H=2.41e-05 | 4.5 steps/s | 220.06 ms/step | ETA: 36676728.6 min
Step 1900/10000000000 | t=1.90e-01 | T=7450.0 | a=1.000005 | H=2.41e-05 | 4.5 steps/s | 220.04 ms/step | ETA: 36673709.1 min
Step 1950/10000000000 | t=1.95e-01 | T=7450.0 | a=1.000005 | H=2.41e-05 | 4.5 steps/s | 220.10 ms/step | ETA: 36682877.3 min
Step 2000/10000000000 | t=2.00e-01 | T=7450.0 | a=1.000005 | H=2.41e-05 | 4.5 steps/s | 220.21 ms/step | ETA: 36702032.3 min
Step 2050/10000000000 | t=2.05e-01 | T=7450.0 | a=1.000005 | H=2.41e-05 | 4.5 steps/s | 220.21 ms/step | ETA: 36701921.5 min
Step 2100/10000000000 | t=2.10e-01 | T=7450.0 | a=1.000005 | H=2.41e-05 | 4.5 steps/s | 220.40 ms/step | ETA: 36733118.3 min
Step 2150/10000000000 | t=2.15e-01 | T=7450.0 | a=1.000005 | H=2.41e-05 | 4.5 steps/s | 220.41 ms/step | ETA: 36734510.5 min
Step 2200/10000000000 | t=2.20e-01 | T=7450.0 | a=1.000005 | H=2.41e-05 | 4.5 steps/s | 220.40 ms/step | ETA: 36733349.2 min
Step 2250/10000000000 | t=2.25e-01 | T=7450.0 | a=1.000005 | H=2.41e-05 | 4.5 steps/s | 220.40 ms/step | ETA: 36733643.6 min
