Step 2000000/1000000000 | t=2.00e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 469.7 steps/s | 2.13 ms/step | ETA: 35415.1 min
Step 2050000/1000000000 | t=2.05e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 469.5 steps/s | 2.13 ms/step | ETA: 35427.2 min
Step 2100000/1000000000 | t=2.10e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 469.2 steps/s | 2.13 ms/step | ETA: 35450.3 min
Step 2150000/1000000000 | t=2.15e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 468.6 steps/s | 2.13 ms/step | ETA: 35492.4 min
Step 2200000/1000000000 | t=2.20e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 468.1 steps/s | 2.14 ms/step | ETA: 35525.6 min
Step 2250000/1000000000 | t=2.25e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 467.7 steps/s | 2.14 ms/step | ETA: 35557.6 min
Step 2300000/1000000000 | t=2.30e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 467.2 steps/s | 2.14 ms/step | ETA: 35590.0 min
Step 2350000/1000000000 | t=2.35e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 466.8 steps/s | 2.14 ms/step | ETA: 35616.6 min
Step 2400000/1000000000 | t=2.40e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 466.5 steps/s | 2.14 ms/step | ETA: 35640.0 min
Step 2450000/1000000000 | t=2.45e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 466.1 steps/s | 2.15 ms/step | ETA: 35667.2 min
Step 2500000/1000000000 | t=2.50e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 465.9 steps/s | 2.15 ms/step | ETA: 35679.9 min
Step 2550000/1000000000 | t=2.55e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 465.7 steps/s | 2.15 ms/step | ETA: 35697.3 min
Step 2600000/1000000000 | t=2.60e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 465.5 steps/s | 2.15 ms/step | ETA: 35709.3 min
Step 2650000/1000000000 | t=2.65e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 465.2 steps/s | 2.15 ms/step | ETA: 35733.3 min
Step 2700000/1000000000 | t=2.70e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 464.8 steps/s | 2.15 ms/step | ETA: 35763.0 min
Step 2750000/1000000000 | t=2.75e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 464.8 steps/s | 2.15 ms/step | ETA: 35759.6 min
Step 2800000/1000000000 | t=2.80e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 464.8 steps/s | 2.15 ms/step | ETA: 35758.4 min
Step 2850000/1000000000 | t=2.85e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 464.5 steps/s | 2.15 ms/step | ETA: 35777.2 min
Step 2900000/1000000000 | t=2.90e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 464.5 steps/s | 2.15 ms/step | ETA: 35779.8 min
Step 2950000/1000000000 | t=2.95e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 464.6 steps/s | 2.15 ms/step | ETA: 35765.9 min
Step 3000000/1000000000 | t=3.00e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 464.8 steps/s | 2.15 ms/step | ETA: 35752.2 min
Step 3050000/1000000000 | t=3.05e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 464.9 steps/s | 2.15 ms/step | ETA: 35739.5 min
Step 3100000/1000000000 | t=3.10e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 465.1 steps/s | 2.15 ms/step | ETA: 35727.2 min
Step 3150000/1000000000 | t=3.15e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 464.9 steps/s | 2.15 ms/step | ETA: 35740.1 min
Step 3200000/1000000000 | t=3.20e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 464.6 steps/s | 2.15 ms/step | ETA: 35755.0 min
Step 3250000/1000000000 | t=3.25e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 464.5 steps/s | 2.15 ms/step | ETA: 35765.7 min
Step 3300000/1000000000 | t=3.30e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 464.3 steps/s | 2.15 ms/step | ETA: 35777.7 min
Step 3350000/1000000000 | t=3.35e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 464.2 steps/s | 2.15 ms/step | ETA: 35785.0 min
Step 3400000/1000000000 | t=3.40e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 464.0 steps/s | 2.15 ms/step | ETA: 35794.3 min
Step 3450000/1000000000 | t=3.45e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.8 steps/s | 2.16 ms/step | ETA: 35812.7 min
Step 3500000/1000000000 | t=3.50e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.6 steps/s | 2.16 ms/step | ETA: 35821.8 min
Step 3550000/1000000000 | t=3.55e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.6 steps/s | 2.16 ms/step | ETA: 35821.3 min
Step 3600000/1000000000 | t=3.60e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.6 steps/s | 2.16 ms/step | ETA: 35817.5 min
Step 3650000/1000000000 | t=3.65e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.7 steps/s | 2.16 ms/step | ETA: 35814.0 min
Step 3700000/1000000000 | t=3.70e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.6 steps/s | 2.16 ms/step | ETA: 35815.2 min
Step 3750000/1000000000 | t=3.75e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.6 steps/s | 2.16 ms/step | ETA: 35815.6 min
Step 3800000/1000000000 | t=3.80e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.5 steps/s | 2.16 ms/step | ETA: 35818.7 min
Step 3850000/1000000000 | t=3.85e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.5 steps/s | 2.16 ms/step | ETA: 35816.6 min
Step 3900000/1000000000 | t=3.90e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.6 steps/s | 2.16 ms/step | ETA: 35812.5 min
Step 3950000/1000000000 | t=3.95e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.6 steps/s | 2.16 ms/step | ETA: 35806.1 min
Step 4000000/1000000000 | t=4.00e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.6 steps/s | 2.16 ms/step | ETA: 35807.4 min
Step 4050000/1000000000 | t=4.05e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.6 steps/s | 2.16 ms/step | ETA: 35808.5 min
Step 4100000/1000000000 | t=4.10e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.4 steps/s | 2.16 ms/step | ETA: 35817.3 min
Step 4150000/1000000000 | t=4.15e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.4 steps/s | 2.16 ms/step | ETA: 35818.2 min
Step 4200000/1000000000 | t=4.20e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.3 steps/s | 2.16 ms/step | ETA: 35820.8 min
Step 4250000/1000000000 | t=4.25e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.3 steps/s | 2.16 ms/step | ETA: 35823.7 min
Step 4300000/1000000000 | t=4.30e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.3 steps/s | 2.16 ms/step | ETA: 35821.1 min
Step 4350000/1000000000 | t=4.35e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 463.1 steps/s | 2.16 ms/step | ETA: 35832.5 min
Step 4400000/1000000000 | t=4.40e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 462.9 steps/s | 2.16 ms/step | ETA: 35845.8 min
Step 4450000/1000000000 | t=4.45e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 462.8 steps/s | 2.16 ms/step | ETA: 35854.4 min
Step 4500000/1000000000 | t=4.50e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 462.6 steps/s | 2.16 ms/step | ETA: 35869.9 min
Step 4550000/1000000000 | t=4.55e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 462.4 steps/s | 2.16 ms/step | ETA: 35883.4 min
Step 4600000/1000000000 | t=4.60e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 462.1 steps/s | 2.16 ms/step | ETA: 35898.1 min
Step 4650000/1000000000 | t=4.65e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.9 steps/s | 2.16 ms/step | ETA: 35911.8 min
Step 4700000/1000000000 | t=4.70e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.8 steps/s | 2.17 ms/step | ETA: 35921.3 min
Step 4750000/1000000000 | t=4.75e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.6 steps/s | 2.17 ms/step | ETA: 35937.5 min
Step 4800000/1000000000 | t=4.80e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.4 steps/s | 2.17 ms/step | ETA: 35952.4 min
Step 4850000/1000000000 | t=4.85e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.1 steps/s | 2.17 ms/step | ETA: 35972.6 min
Step 4900000/1000000000 | t=4.90e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.8 steps/s | 2.17 ms/step | ETA: 35995.0 min
Step 4950000/1000000000 | t=4.95e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.5 steps/s | 2.17 ms/step | ETA: 36016.6 min
Step 5000000/1000000000 | t=5.00e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.3 steps/s | 2.17 ms/step | ETA: 36027.6 min
Step 5050000/1000000000 | t=5.05e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.0 steps/s | 2.17 ms/step | ETA: 36046.4 min
Step 5100000/1000000000 | t=5.10e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.7 steps/s | 2.18 ms/step | ETA: 36068.2 min
Step 5150000/1000000000 | t=5.15e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.5 steps/s | 2.18 ms/step | ETA: 36083.2 min
Step 5200000/1000000000 | t=5.20e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.4 steps/s | 2.18 ms/step | ETA: 36091.8 min
Step 5250000/1000000000 | t=5.25e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.3 steps/s | 2.18 ms/step | ETA: 36096.0 min
Step 5300000/1000000000 | t=5.30e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.2 steps/s | 2.18 ms/step | ETA: 36102.1 min
Step 5350000/1000000000 | t=5.35e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.2 steps/s | 2.18 ms/step | ETA: 36104.5 min
Step 5400000/1000000000 | t=5.40e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.0 steps/s | 2.18 ms/step | ETA: 36113.1 min
Step 5450000/1000000000 | t=5.45e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 458.9 steps/s | 2.18 ms/step | ETA: 36116.9 min
Step 5500000/1000000000 | t=5.50e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 458.9 steps/s | 2.18 ms/step | ETA: 36119.3 min
Step 5550000/1000000000 | t=5.55e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36124.2 min
Step 5600000/1000000000 | t=5.60e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36119.3 min
Step 5650000/1000000000 | t=5.65e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36118.8 min
Step 5700000/1000000000 | t=5.70e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 458.9 steps/s | 2.18 ms/step | ETA: 36112.6 min
Step 5750000/1000000000 | t=5.75e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 458.9 steps/s | 2.18 ms/step | ETA: 36112.3 min
Step 5800000/1000000000 | t=5.80e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 458.9 steps/s | 2.18 ms/step | ETA: 36104.5 min
Step 5850000/1000000000 | t=5.85e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.0 steps/s | 2.18 ms/step | ETA: 36097.6 min
Step 5900000/1000000000 | t=5.90e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.0 steps/s | 2.18 ms/step | ETA: 36095.5 min
Step 5950000/1000000000 | t=5.95e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.0 steps/s | 2.18 ms/step | ETA: 36094.8 min
Step 6000000/1000000000 | t=6.00e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.0 steps/s | 2.18 ms/step | ETA: 36091.9 min
Step 6050000/1000000000 | t=6.05e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.1 steps/s | 2.18 ms/step | ETA: 36080.6 min
Step 6100000/1000000000 | t=6.10e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.2 steps/s | 2.18 ms/step | ETA: 36074.7 min
Step 6150000/1000000000 | t=6.15e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.2 steps/s | 2.18 ms/step | ETA: 36068.0 min
Step 6200000/1000000000 | t=6.20e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 459.2 steps/s | 2.18 ms/step | ETA: 36067.1 min
