Step 0/1000000 | t=0.00e+00 | T=15000.0 | a=1.000000 | H=2.41e-05 | 2.1 steps/s | 486.86 ms/step | ETA: 8114.4 min

*** phi threshold exceeded: max|phi|=10118.0 > 10000.0
*** Switching to dense snapshots: every 100 steps

Step 4000/1000000 | t=4.00e-01 | T=14999.9 | a=1.000010 | H=2.41e-05 | 11.5 steps/s | 86.83 ms/step | ETA: 1441.3 min
Step 4100/1000000 | t=4.10e-01 | T=14999.9 | a=1.000010 | H=2.41e-05 | 11.5 steps/s | 87.01 ms/step | ETA: 1444.2 min
Step 4200/1000000 | t=4.20e-01 | T=14999.8 | a=1.000010 | H=2.41e-05 | 11.5 steps/s | 87.24 ms/step | ETA: 1448.0 min
Step 4300/1000000 | t=4.30e-01 | T=14999.8 | a=1.000010 | H=2.41e-05 | 11.4 steps/s | 87.35 ms/step | ETA: 1449.6 min
Step 4400/1000000 | t=4.40e-01 | T=14999.8 | a=1.000011 | H=2.41e-05 | 11.4 steps/s | 87.58 ms/step | ETA: 1453.2 min
Step 4500/1000000 | t=4.50e-01 | T=14999.8 | a=1.000011 | H=2.41e-05 | 11.4 steps/s | 87.64 ms/step | ETA: 1454.1 min
Step 4600/1000000 | t=4.60e-01 | T=14999.8 | a=1.000011 | H=2.41e-05 | 11.4 steps/s | 87.70 ms/step | ETA: 1454.9 min
Step 4700/1000000 | t=4.70e-01 | T=14999.8 | a=1.000011 | H=2.41e-05 | 11.4 steps/s | 87.75 ms/step | ETA: 1455.7 min
Step 4800/1000000 | t=4.80e-01 | T=14999.8 | a=1.000012 | H=2.41e-05 | 11.3 steps/s | 88.20 ms/step | ETA: 1462.9 min
Step 4900/1000000 | t=4.90e-01 | T=14999.8 | a=1.000012 | H=2.41e-05 | 11.3 steps/s | 88.25 ms/step | ETA: 1463.6 min
Step 5000/1000000 | t=5.00e-01 | T=14999.8 | a=1.000012 | H=2.41e-05 | 11.3 steps/s | 88.27 ms/step | ETA: 1463.7 min
Step 5100/1000000 | t=5.10e-01 | T=14999.8 | a=1.000012 | H=2.41e-05 | 11.3 steps/s | 88.45 ms/step | ETA: 1466.7 min
Step 5200/1000000 | t=5.20e-01 | T=14999.8 | a=1.000013 | H=2.41e-05 | 11.3 steps/s | 88.18 ms/step | ETA: 1462.0 min
Step 5300/1000000 | t=5.30e-01 | T=14999.8 | a=1.000013 | H=2.41e-05 | 11.4 steps/s | 87.93 ms/step | ETA: 1457.7 min
Step 5400/1000000 | t=5.40e-01 | T=14999.8 | a=1.000013 | H=2.41e-05 | 11.4 steps/s | 87.68 ms/step | ETA: 1453.5 min
Step 5500/1000000 | t=5.50e-01 | T=14999.8 | a=1.000013 | H=2.41e-05 | 11.4 steps/s | 87.45 ms/step | ETA: 1449.4 min
Step 5600/1000000 | t=5.60e-01 | T=14999.8 | a=1.000013 | H=2.41e-05 | 11.5 steps/s | 87.23 ms/step | ETA: 1445.6 min
Step 5700/1000000 | t=5.70e-01 | T=14999.8 | a=1.000014 | H=2.41e-05 | 11.5 steps/s | 87.05 ms/step | ETA: 1442.5 min
Step 5800/1000000 | t=5.80e-01 | T=14999.8 | a=1.000014 | H=2.41e-05 | 11.5 steps/s | 86.88 ms/step | ETA: 1439.6 min
Step 5900/1000000 | t=5.90e-01 | T=14999.8 | a=1.000014 | H=2.41e-05 | 11.5 steps/s | 86.71 ms/step | ETA: 1436.6 min
Step 6000/1000000 | t=6.00e-01 | T=14999.8 | a=1.000014 | H=2.41e-05 | 11.6 steps/s | 86.53 ms/step | ETA: 1433.4 min
Step 6100/1000000 | t=6.10e-01 | T=14999.8 | a=1.000015 | H=2.41e-05 | 11.6 steps/s | 86.33 ms/step | ETA: 1430.0 min
Step 6200/1000000 | t=6.20e-01 | T=14999.8 | a=1.000015 | H=2.41e-05 | 11.6 steps/s | 86.12 ms/step | ETA: 1426.5 min
Step 6300/1000000 | t=6.30e-01 | T=14999.8 | a=1.000015 | H=2.41e-05 | 11.6 steps/s | 85.97 ms/step | ETA: 1423.9 min
Step 6400/1000000 | t=6.40e-01 | T=14999.8 | a=1.000015 | H=2.41e-05 | 11.7 steps/s | 85.80 ms/step | ETA: 1420.9 min
Step 6500/1000000 | t=6.50e-01 | T=14999.8 | a=1.000016 | H=2.41e-05 | 11.7 steps/s | 85.64 ms/step | ETA: 1418.0 min
Step 6600/1000000 | t=6.60e-01 | T=14999.8 | a=1.000016 | H=2.41e-05 | 11.7 steps/s | 85.46 ms/step | ETA: 1415.0 min
Step 6700/1000000 | t=6.70e-01 | T=14999.8 | a=1.000016 | H=2.41e-05 | 11.7 steps/s | 85.35 ms/step | ETA: 1412.9 min
Step 6800/1000000 | t=6.80e-01 | T=14999.8 | a=1.000016 | H=2.41e-05 | 11.7 steps/s | 85.23 ms/step | ETA: 1410.9 min
Step 6900/1000000 | t=6.90e-01 | T=14999.8 | a=1.000017 | H=2.41e-05 | 11.8 steps/s | 85.08 ms/step | ETA: 1408.2 min
