Step 0/1000000 | t=0.00e+00 | T=15000.0 | a=1.000000 | H=2.41e-05 | 2.1 steps/s | 486.86 ms/step | ETA: 8114.4 min

*** phi threshold exceeded: max|phi|=10118.0 > 10000.0
*** Switching to dense snapshots: every 100 steps

Step 16900/1000000 | t=1.69e+00 | T=14999.4 | a=1.000041 | H=2.41e-05 | 12.5 steps/s | 79.76 ms/step | ETA: 1306.8 min
Step 17000/1000000 | t=1.70e+00 | T=14999.4 | a=1.000041 | H=2.41e-05 | 12.5 steps/s | 79.73 ms/step | ETA: 1306.2 min
Step 17100/1000000 | t=1.71e+00 | T=14999.4 | a=1.000041 | H=2.41e-05 | 12.5 steps/s | 79.70 ms/step | ETA: 1305.7 min
Step 17200/1000000 | t=1.72e+00 | T=14999.4 | a=1.000041 | H=2.41e-05 | 12.5 steps/s | 79.70 ms/step | ETA: 1305.5 min
Step 17300/1000000 | t=1.73e+00 | T=14999.4 | a=1.000042 | H=2.41e-05 | 12.6 steps/s | 79.68 ms/step | ETA: 1305.0 min
Step 17400/1000000 | t=1.74e+00 | T=14999.4 | a=1.000042 | H=2.41e-05 | 12.6 steps/s | 79.65 ms/step | ETA: 1304.4 min
Step 17500/1000000 | t=1.75e+00 | T=14999.4 | a=1.000042 | H=2.41e-05 | 12.6 steps/s | 79.62 ms/step | ETA: 1303.9 min
Step 17600/1000000 | t=1.76e+00 | T=14999.4 | a=1.000042 | H=2.41e-05 | 12.6 steps/s | 79.60 ms/step | ETA: 1303.3 min
Step 17700/1000000 | t=1.77e+00 | T=14999.4 | a=1.000043 | H=2.41e-05 | 12.6 steps/s | 79.56 ms/step | ETA: 1302.5 min
Step 17800/1000000 | t=1.78e+00 | T=14999.4 | a=1.000043 | H=2.41e-05 | 12.6 steps/s | 79.55 ms/step | ETA: 1302.2 min
Step 17900/1000000 | t=1.79e+00 | T=14999.4 | a=1.000043 | H=2.41e-05 | 12.6 steps/s | 79.52 ms/step | ETA: 1301.5 min
Step 18000/1000000 | t=1.80e+00 | T=14999.4 | a=1.000043 | H=2.41e-05 | 12.6 steps/s | 79.49 ms/step | ETA: 1300.9 min
Step 18100/1000000 | t=1.81e+00 | T=14999.3 | a=1.000044 | H=2.41e-05 | 12.6 steps/s | 79.45 ms/step | ETA: 1300.3 min
Step 18200/1000000 | t=1.82e+00 | T=14999.3 | a=1.000044 | H=2.41e-05 | 12.6 steps/s | 79.44 ms/step | ETA: 1299.9 min
Step 18300/1000000 | t=1.83e+00 | T=14999.3 | a=1.000044 | H=2.41e-05 | 12.6 steps/s | 79.41 ms/step | ETA: 1299.3 min
Step 18400/1000000 | t=1.84e+00 | T=14999.3 | a=1.000044 | H=2.41e-05 | 12.6 steps/s | 79.43 ms/step | ETA: 1299.5 min
Step 18500/1000000 | t=1.85e+00 | T=14999.3 | a=1.000045 | H=2.41e-05 | 12.6 steps/s | 79.41 ms/step | ETA: 1299.0 min
Step 18600/1000000 | t=1.86e+00 | T=14999.3 | a=1.000045 | H=2.41e-05 | 12.6 steps/s | 79.38 ms/step | ETA: 1298.4 min
Step 18700/1000000 | t=1.87e+00 | T=14999.3 | a=1.000045 | H=2.41e-05 | 12.6 steps/s | 79.35 ms/step | ETA: 1297.8 min
Step 18800/1000000 | t=1.88e+00 | T=14999.3 | a=1.000045 | H=2.41e-05 | 12.6 steps/s | 79.35 ms/step | ETA: 1297.6 min
Step 18900/1000000 | t=1.89e+00 | T=14999.3 | a=1.000045 | H=2.41e-05 | 12.6 steps/s | 79.31 ms/step | ETA: 1296.9 min
Step 19000/1000000 | t=1.90e+00 | T=14999.3 | a=1.000046 | H=2.41e-05 | 12.6 steps/s | 79.28 ms/step | ETA: 1296.3 min
Step 19100/1000000 | t=1.91e+00 | T=14999.3 | a=1.000046 | H=2.41e-05 | 12.6 steps/s | 79.25 ms/step | ETA: 1295.6 min
Step 19200/1000000 | t=1.92e+00 | T=14999.3 | a=1.000046 | H=2.41e-05 | 12.6 steps/s | 79.23 ms/step | ETA: 1295.1 min
Step 19300/1000000 | t=1.93e+00 | T=14999.3 | a=1.000046 | H=2.41e-05 | 12.6 steps/s | 79.20 ms/step | ETA: 1294.5 min
Step 19400/1000000 | t=1.94e+00 | T=14999.3 | a=1.000047 | H=2.41e-05 | 12.6 steps/s | 79.17 ms/step | ETA: 1293.9 min
Step 19500/1000000 | t=1.95e+00 | T=14999.3 | a=1.000047 | H=2.41e-05 | 12.6 steps/s | 79.14 ms/step | ETA: 1293.3 min
Step 19600/1000000 | t=1.96e+00 | T=14999.3 | a=1.000047 | H=2.41e-05 | 12.6 steps/s | 79.11 ms/step | ETA: 1292.7 min
Step 19700/1000000 | t=1.97e+00 | T=14999.3 | a=1.000047 | H=2.41e-05 | 12.6 steps/s | 79.10 ms/step | ETA: 1292.3 min
Step 19800/1000000 | t=1.98e+00 | T=14999.3 | a=1.000048 | H=2.41e-05 | 12.6 steps/s | 79.09 ms/step | ETA: 1292.0 min
Step 19900/1000000 | t=1.99e+00 | T=14999.3 | a=1.000048 | H=2.41e-05 | 12.6 steps/s | 79.06 ms/step | ETA: 1291.5 min
Step 20000/1000000 | t=2.00e+00 | T=14999.3 | a=1.000048 | H=2.41e-05 | 12.6 steps/s | 79.07 ms/step | ETA: 1291.4 min
Step 20100/1000000 | t=2.01e+00 | T=14999.3 | a=1.000048 | H=2.41e-05 | 12.7 steps/s | 79.04 ms/step | ETA: 1290.9 min
Step 20200/1000000 | t=2.02e+00 | T=14999.3 | a=1.000049 | H=2.41e-05 | 12.7 steps/s | 79.02 ms/step | ETA: 1290.3 min
Step 20300/1000000 | t=2.03e+00 | T=14999.3 | a=1.000049 | H=2.41e-05 | 12.7 steps/s | 78.99 ms/step | ETA: 1289.8 min
Step 20400/1000000 | t=2.04e+00 | T=14999.3 | a=1.000049 | H=2.41e-05 | 12.7 steps/s | 78.96 ms/step | ETA: 1289.2 min
Step 20500/1000000 | t=2.05e+00 | T=14999.3 | a=1.000049 | H=2.41e-05 | 12.7 steps/s | 78.94 ms/step | ETA: 1288.6 min
Step 20600/1000000 | t=2.06e+00 | T=14999.3 | a=1.000050 | H=2.41e-05 | 12.7 steps/s | 78.91 ms/step | ETA: 1288.0 min
Step 20700/1000000 | t=2.07e+00 | T=14999.3 | a=1.000050 | H=2.41e-05 | 12.7 steps/s | 78.88 ms/step | ETA: 1287.5 min
Step 20800/1000000 | t=2.08e+00 | T=14999.2 | a=1.000050 | H=2.41e-05 | 12.7 steps/s | 78.89 ms/step | ETA: 1287.4 min
Step 20900/1000000 | t=2.09e+00 | T=14999.2 | a=1.000050 | H=2.41e-05 | 12.7 steps/s | 78.86 ms/step | ETA: 1286.9 min
Step 21000/1000000 | t=2.10e+00 | T=14999.2 | a=1.000051 | H=2.41e-05 | 12.7 steps/s | 78.84 ms/step | ETA: 1286.3 min
Step 21100/1000000 | t=2.11e+00 | T=14999.2 | a=1.000051 | H=2.41e-05 | 12.7 steps/s | 78.81 ms/step | ETA: 1285.8 min
Step 21200/1000000 | t=2.12e+00 | T=14999.2 | a=1.000051 | H=2.41e-05 | 12.7 steps/s | 78.79 ms/step | ETA: 1285.3 min
Step 21300/1000000 | t=2.13e+00 | T=14999.2 | a=1.000051 | H=2.41e-05 | 12.7 steps/s | 78.78 ms/step | ETA: 1285.0 min
Step 21400/1000000 | t=2.14e+00 | T=14999.2 | a=1.000051 | H=2.41e-05 | 12.7 steps/s | 78.75 ms/step | ETA: 1284.5 min
Step 21500/1000000 | t=2.15e+00 | T=14999.2 | a=1.000052 | H=2.41e-05 | 12.7 steps/s | 78.73 ms/step | ETA: 1283.9 min
Step 21600/1000000 | t=2.16e+00 | T=14999.2 | a=1.000052 | H=2.41e-05 | 12.7 steps/s | 78.71 ms/step | ETA: 1283.6 min
Step 21700/1000000 | t=2.17e+00 | T=14999.2 | a=1.000052 | H=2.41e-05 | 12.7 steps/s | 78.69 ms/step | ETA: 1283.0 min
Step 21800/1000000 | t=2.18e+00 | T=14999.2 | a=1.000052 | H=2.41e-05 | 12.7 steps/s | 78.69 ms/step | ETA: 1283.0 min
Step 21900/1000000 | t=2.19e+00 | T=14999.2 | a=1.000053 | H=2.41e-05 | 12.7 steps/s | 78.67 ms/step | ETA: 1282.5 min
Step 22000/1000000 | t=2.20e+00 | T=14999.2 | a=1.000053 | H=2.41e-05 | 12.7 steps/s | 78.65 ms/step | ETA: 1282.0 min
Step 22100/1000000 | t=2.21e+00 | T=14999.2 | a=1.000053 | H=2.41e-05 | 12.7 steps/s | 78.62 ms/step | ETA: 1281.4 min
Step 22200/1000000 | t=2.22e+00 | T=14999.2 | a=1.000053 | H=2.41e-05 | 12.7 steps/s | 78.60 ms/step | ETA: 1280.9 min
Step 22300/1000000 | t=2.23e+00 | T=14999.2 | a=1.000054 | H=2.41e-05 | 12.7 steps/s | 78.58 ms/step | ETA: 1280.4 min
Step 22400/1000000 | t=2.24e+00 | T=14999.2 | a=1.000054 | H=2.41e-05 | 12.7 steps/s | 78.56 ms/step | ETA: 1280.0 min
Step 22500/1000000 | t=2.25e+00 | T=14999.2 | a=1.000054 | H=2.41e-05 | 12.7 steps/s | 78.54 ms/step | ETA: 1279.6 min
Step 22600/1000000 | t=2.26e+00 | T=14999.2 | a=1.000054 | H=2.41e-05 | 12.7 steps/s | 78.52 ms/step | ETA: 1279.1 min
Step 22700/1000000 | t=2.27e+00 | T=14999.2 | a=1.000055 | H=2.41e-05 | 12.7 steps/s | 78.50 ms/step | ETA: 1278.7 min
Step 22800/1000000 | t=2.28e+00 | T=14999.2 | a=1.000055 | H=2.41e-05 | 12.7 steps/s | 78.50 ms/step | ETA: 1278.4 min
Step 22900/1000000 | t=2.29e+00 | T=14999.2 | a=1.000055 | H=2.41e-05 | 12.7 steps/s | 78.47 ms/step | ETA: 1277.9 min
Step 23000/1000000 | t=2.30e+00 | T=14999.2 | a=1.000055 | H=2.41e-05 | 12.7 steps/s | 78.46 ms/step | ETA: 1277.5 min
Step 23100/1000000 | t=2.31e+00 | T=14999.2 | a=1.000056 | H=2.41e-05 | 12.7 steps/s | 78.43 ms/step | ETA: 1277.0 min
Step 23200/1000000 | t=2.32e+00 | T=14999.2 | a=1.000056 | H=2.41e-05 | 12.7 steps/s | 78.44 ms/step | ETA: 1276.9 min
Step 23300/1000000 | t=2.33e+00 | T=14999.2 | a=1.000056 | H=2.41e-05 | 12.8 steps/s | 78.42 ms/step | ETA: 1276.6 min
Step 23400/1000000 | t=2.34e+00 | T=14999.2 | a=1.000056 | H=2.41e-05 | 12.8 steps/s | 78.41 ms/step | ETA: 1276.2 min
Step 23500/1000000 | t=2.35e+00 | T=14999.2 | a=1.000057 | H=2.41e-05 | 12.8 steps/s | 78.39 ms/step | ETA: 1275.7 min
Step 23600/1000000 | t=2.36e+00 | T=14999.1 | a=1.000057 | H=2.41e-05 | 12.8 steps/s | 78.38 ms/step | ETA: 1275.5 min
Step 23700/1000000 | t=2.37e+00 | T=14999.1 | a=1.000057 | H=2.41e-05 | 12.8 steps/s | 78.38 ms/step | ETA: 1275.3 min
Step 23800/1000000 | t=2.38e+00 | T=14999.1 | a=1.000057 | H=2.41e-05 | 12.8 steps/s | 78.37 ms/step | ETA: 1275.1 min
Step 23900/1000000 | t=2.39e+00 | T=14999.1 | a=1.000057 | H=2.41e-05 | 12.8 steps/s | 78.37 ms/step | ETA: 1274.9 min
Step 24000/1000000 | t=2.40e+00 | T=14999.1 | a=1.000058 | H=2.41e-05 | 12.8 steps/s | 78.35 ms/step | ETA: 1274.6 min
Step 24100/1000000 | t=2.41e+00 | T=14999.1 | a=1.000058 | H=2.41e-05 | 12.8 steps/s | 78.33 ms/step | ETA: 1274.1 min
Step 24200/1000000 | t=2.42e+00 | T=14999.1 | a=1.000058 | H=2.41e-05 | 12.8 steps/s | 78.31 ms/step | ETA: 1273.6 min
Step 24300/1000000 | t=2.43e+00 | T=14999.1 | a=1.000058 | H=2.41e-05 | 12.8 steps/s | 78.30 ms/step | ETA: 1273.3 min
Step 24400/1000000 | t=2.44e+00 | T=14999.1 | a=1.000059 | H=2.41e-05 | 12.8 steps/s | 78.29 ms/step | ETA: 1272.9 min
Step 24500/1000000 | t=2.45e+00 | T=14999.1 | a=1.000059 | H=2.41e-05 | 12.8 steps/s | 78.27 ms/step | ETA: 1272.5 min
Step 24600/1000000 | t=2.46e+00 | T=14999.1 | a=1.000059 | H=2.41e-05 | 12.8 steps/s | 78.25 ms/step | ETA: 1272.1 min
Step 24700/1000000 | t=2.47e+00 | T=14999.1 | a=1.000059 | H=2.41e-05 | 12.8 steps/s | 78.23 ms/step | ETA: 1271.6 min
Step 24800/1000000 | t=2.48e+00 | T=14999.1 | a=1.000060 | H=2.41e-05 | 12.8 steps/s | 78.23 ms/step | ETA: 1271.6 min
Step 24900/1000000 | t=2.49e+00 | T=14999.1 | a=1.000060 | H=2.41e-05 | 12.8 steps/s | 78.22 ms/step | ETA: 1271.3 min
Step 25000/1000000 | t=2.50e+00 | T=14999.1 | a=1.000060 | H=2.41e-05 | 12.8 steps/s | 78.21 ms/step | ETA: 1270.8 min
Step 25100/1000000 | t=2.51e+00 | T=14999.1 | a=1.000060 | H=2.41e-05 | 12.8 steps/s | 78.19 ms/step | ETA: 1270.4 min
Step 25200/1000000 | t=2.52e+00 | T=14999.1 | a=1.000061 | H=2.41e-05 | 12.8 steps/s | 78.17 ms/step | ETA: 1270.0 min
Step 25300/1000000 | t=2.53e+00 | T=14999.1 | a=1.000061 | H=2.41e-05 | 12.8 steps/s | 78.15 ms/step | ETA: 1269.5 min
Step 25400/1000000 | t=2.54e+00 | T=14999.1 | a=1.000061 | H=2.41e-05 | 12.8 steps/s | 78.13 ms/step | ETA: 1269.0 min
Step 25500/1000000 | t=2.55e+00 | T=14999.1 | a=1.000061 | H=2.41e-05 | 12.8 steps/s | 78.11 ms/step | ETA: 1268.6 min
Step 25600/1000000 | t=2.56e+00 | T=14999.1 | a=1.000062 | H=2.41e-05 | 12.8 steps/s | 78.11 ms/step | ETA: 1268.5 min
Step 25700/1000000 | t=2.57e+00 | T=14999.1 | a=1.000062 | H=2.41e-05 | 12.8 steps/s | 78.09 ms/step | ETA: 1268.0 min
Step 25800/1000000 | t=2.58e+00 | T=14999.1 | a=1.000062 | H=2.41e-05 | 12.8 steps/s | 78.08 ms/step | ETA: 1267.8 min
Step 25900/1000000 | t=2.59e+00 | T=14999.1 | a=1.000062 | H=2.41e-05 | 12.8 steps/s | 78.07 ms/step | ETA: 1267.4 min
Step 26000/1000000 | t=2.60e+00 | T=14999.1 | a=1.000063 | H=2.41e-05 | 12.8 steps/s | 78.05 ms/step | ETA: 1267.0 min
Step 26100/1000000 | t=2.61e+00 | T=14999.1 | a=1.000063 | H=2.41e-05 | 12.8 steps/s | 78.05 ms/step | ETA: 1266.9 min
Step 26200/1000000 | t=2.62e+00 | T=14999.1 | a=1.000063 | H=2.41e-05 | 12.8 steps/s | 78.04 ms/step | ETA: 1266.5 min
Step 26300/1000000 | t=2.63e+00 | T=14999.1 | a=1.000063 | H=2.41e-05 | 12.8 steps/s | 78.02 ms/step | ETA: 1266.1 min
Step 26400/1000000 | t=2.64e+00 | T=14999.0 | a=1.000064 | H=2.41e-05 | 12.8 steps/s | 78.04 ms/step | ETA: 1266.4 min
Step 26500/1000000 | t=2.65e+00 | T=14999.0 | a=1.000064 | H=2.41e-05 | 12.8 steps/s | 78.03 ms/step | ETA: 1266.0 min
Step 26600/1000000 | t=2.66e+00 | T=14999.0 | a=1.000064 | H=2.41e-05 | 12.8 steps/s | 78.01 ms/step | ETA: 1265.7 min
Step 26700/1000000 | t=2.67e+00 | T=14999.0 | a=1.000064 | H=2.41e-05 | 12.8 steps/s | 78.00 ms/step | ETA: 1265.3 min
Step 26800/1000000 | t=2.68e+00 | T=14999.0 | a=1.000064 | H=2.41e-05 | 12.8 steps/s | 78.00 ms/step | ETA: 1265.1 min
Step 26900/1000000 | t=2.69e+00 | T=14999.0 | a=1.000065 | H=2.41e-05 | 12.8 steps/s | 77.98 ms/step | ETA: 1264.7 min
Step 27000/1000000 | t=2.70e+00 | T=14999.0 | a=1.000065 | H=2.41e-05 | 12.8 steps/s | 77.96 ms/step | ETA: 1264.3 min
Step 27100/1000000 | t=2.71e+00 | T=14999.0 | a=1.000065 | H=2.41e-05 | 12.8 steps/s | 77.95 ms/step | ETA: 1263.9 min
Step 27200/1000000 | t=2.72e+00 | T=14999.0 | a=1.000065 | H=2.41e-05 | 12.8 steps/s | 77.93 ms/step | ETA: 1263.6 min
Step 27300/1000000 | t=2.73e+00 | T=14999.0 | a=1.000066 | H=2.41e-05 | 12.8 steps/s | 77.92 ms/step | ETA: 1263.2 min
Step 27400/1000000 | t=2.74e+00 | T=14999.0 | a=1.000066 | H=2.41e-05 | 12.8 steps/s | 77.90 ms/step | ETA: 1262.7 min
Step 27500/1000000 | t=2.75e+00 | T=14999.0 | a=1.000066 | H=2.41e-05 | 12.8 steps/s | 77.88 ms/step | ETA: 1262.3 min
Step 27600/1000000 | t=2.76e+00 | T=14999.0 | a=1.000066 | H=2.41e-05 | 12.8 steps/s | 77.87 ms/step | ETA: 1262.0 min
Step 27700/1000000 | t=2.77e+00 | T=14999.0 | a=1.000067 | H=2.41e-05 | 12.8 steps/s | 77.85 ms/step | ETA: 1261.6 min
Step 27800/1000000 | t=2.78e+00 | T=14999.0 | a=1.000067 | H=2.41e-05 | 12.8 steps/s | 77.84 ms/step | ETA: 1261.3 min
Step 27900/1000000 | t=2.79e+00 | T=14999.0 | a=1.000067 | H=2.41e-05 | 12.8 steps/s | 77.83 ms/step | ETA: 1261.0 min
Step 28000/1000000 | t=2.80e+00 | T=14999.0 | a=1.000067 | H=2.41e-05 | 12.9 steps/s | 77.82 ms/step | ETA: 1260.7 min
Step 28100/1000000 | t=2.81e+00 | T=14999.0 | a=1.000068 | H=2.41e-05 | 12.8 steps/s | 77.82 ms/step | ETA: 1260.6 min
Step 28200/1000000 | t=2.82e+00 | T=14999.0 | a=1.000068 | H=2.41e-05 | 12.9 steps/s | 77.81 ms/step | ETA: 1260.2 min
Step 28300/1000000 | t=2.83e+00 | T=14999.0 | a=1.000068 | H=2.41e-05 | 12.9 steps/s | 77.79 ms/step | ETA: 1259.8 min
Step 28400/1000000 | t=2.84e+00 | T=14999.0 | a=1.000068 | H=2.41e-05 | 12.9 steps/s | 77.78 ms/step | ETA: 1259.5 min
Step 28500/1000000 | t=2.85e+00 | T=14999.0 | a=1.000069 | H=2.41e-05 | 12.9 steps/s | 77.76 ms/step | ETA: 1259.1 min
Step 28600/1000000 | t=2.86e+00 | T=14999.0 | a=1.000069 | H=2.41e-05 | 12.9 steps/s | 77.75 ms/step | ETA: 1258.8 min
Step 28700/1000000 | t=2.87e+00 | T=14999.0 | a=1.000069 | H=2.41e-05 | 12.9 steps/s | 77.73 ms/step | ETA: 1258.4 min
Step 28800/1000000 | t=2.88e+00 | T=14999.0 | a=1.000069 | H=2.41e-05 | 12.9 steps/s | 77.75 ms/step | ETA: 1258.6 min
Step 28900/1000000 | t=2.89e+00 | T=14999.0 | a=1.000070 | H=2.41e-05 | 12.9 steps/s | 77.74 ms/step | ETA: 1258.2 min
Step 29000/1000000 | t=2.90e+00 | T=14999.0 | a=1.000070 | H=2.41e-05 | 12.9 steps/s | 77.72 ms/step | ETA: 1257.8 min
Step 29100/1000000 | t=2.91e+00 | T=14998.9 | a=1.000070 | H=2.41e-05 | 12.9 steps/s | 77.71 ms/step | ETA: 1257.4 min
Step 29200/1000000 | t=2.92e+00 | T=14998.9 | a=1.000070 | H=2.41e-05 | 12.9 steps/s | 77.69 ms/step | ETA: 1257.1 min
Step 29300/1000000 | t=2.93e+00 | T=14998.9 | a=1.000070 | H=2.41e-05 | 12.9 steps/s | 77.68 ms/step | ETA: 1256.7 min
Step 29400/1000000 | t=2.94e+00 | T=14998.9 | a=1.000071 | H=2.41e-05 | 12.9 steps/s | 77.66 ms/step | ETA: 1256.2 min
Step 29500/1000000 | t=2.95e+00 | T=14998.9 | a=1.000071 | H=2.41e-05 | 12.9 steps/s | 77.64 ms/step | ETA: 1255.9 min
Step 29600/1000000 | t=2.96e+00 | T=14998.9 | a=1.000071 | H=2.41e-05 | 12.9 steps/s | 77.64 ms/step | ETA: 1255.6 min
Step 29700/1000000 | t=2.97e+00 | T=14998.9 | a=1.000071 | H=2.41e-05 | 12.9 steps/s | 77.63 ms/step | ETA: 1255.3 min
Step 29800/1000000 | t=2.98e+00 | T=14998.9 | a=1.000072 | H=2.41e-05 | 12.9 steps/s | 77.62 ms/step | ETA: 1255.1 min
Step 29900/1000000 | t=2.99e+00 | T=14998.9 | a=1.000072 | H=2.41e-05 | 12.9 steps/s | 77.61 ms/step | ETA: 1254.8 min
Step 30000/1000000 | t=3.00e+00 | T=14998.9 | a=1.000072 | H=2.41e-05 | 12.9 steps/s | 77.59 ms/step | ETA: 1254.4 min
Step 30100/1000000 | t=3.01e+00 | T=14998.9 | a=1.000072 | H=2.41e-05 | 12.9 steps/s | 77.58 ms/step | ETA: 1254.0 min
Step 30200/1000000 | t=3.02e+00 | T=14998.9 | a=1.000073 | H=2.41e-05 | 12.9 steps/s | 77.56 ms/step | ETA: 1253.7 min
Step 30300/1000000 | t=3.03e+00 | T=14998.9 | a=1.000073 | H=2.41e-05 | 12.9 steps/s | 77.55 ms/step | ETA: 1253.4 min
Step 30400/1000000 | t=3.04e+00 | T=14998.9 | a=1.000073 | H=2.41e-05 | 12.9 steps/s | 77.55 ms/step | ETA: 1253.2 min
Step 30500/1000000 | t=3.05e+00 | T=14998.9 | a=1.000073 | H=2.41e-05 | 12.9 steps/s | 77.54 ms/step | ETA: 1253.0 min
Step 30600/1000000 | t=3.06e+00 | T=14998.9 | a=1.000074 | H=2.41e-05 | 12.9 steps/s | 77.54 ms/step | ETA: 1252.7 min
Step 30700/1000000 | t=3.07e+00 | T=14998.9 | a=1.000074 | H=2.41e-05 | 12.9 steps/s | 77.53 ms/step | ETA: 1252.4 min
Step 30800/1000000 | t=3.08e+00 | T=14998.9 | a=1.000074 | H=2.41e-05 | 12.9 steps/s | 77.52 ms/step | ETA: 1252.3 min
Step 30900/1000000 | t=3.09e+00 | T=14998.9 | a=1.000074 | H=2.41e-05 | 12.9 steps/s | 77.51 ms/step | ETA: 1251.9 min
Step 31000/1000000 | t=3.10e+00 | T=14998.9 | a=1.000075 | H=2.41e-05 | 12.9 steps/s | 77.49 ms/step | ETA: 1251.5 min
Step 31100/1000000 | t=3.11e+00 | T=14998.9 | a=1.000075 | H=2.41e-05 | 12.9 steps/s | 77.48 ms/step | ETA: 1251.2 min
Step 31200/1000000 | t=3.12e+00 | T=14998.9 | a=1.000075 | H=2.41e-05 | 12.9 steps/s | 77.48 ms/step | ETA: 1251.0 min
Step 31300/1000000 | t=3.13e+00 | T=14998.9 | a=1.000075 | H=2.41e-05 | 12.9 steps/s | 77.46 ms/step | ETA: 1250.6 min
Step 31400/1000000 | t=3.14e+00 | T=14998.9 | a=1.000076 | H=2.41e-05 | 12.9 steps/s | 77.45 ms/step | ETA: 1250.3 min
Step 31500/1000000 | t=3.15e+00 | T=14998.9 | a=1.000076 | H=2.41e-05 | 12.9 steps/s | 77.44 ms/step | ETA: 1250.1 min
Step 31600/1000000 | t=3.16e+00 | T=14998.9 | a=1.000076 | H=2.41e-05 | 12.9 steps/s | 77.44 ms/step | ETA: 1249.8 min
Step 31700/1000000 | t=3.17e+00 | T=14998.9 | a=1.000076 | H=2.41e-05 | 12.9 steps/s | 77.42 ms/step | ETA: 1249.4 min
Step 31800/1000000 | t=3.18e+00 | T=14998.9 | a=1.000077 | H=2.41e-05 | 12.9 steps/s | 77.42 ms/step | ETA: 1249.3 min
Step 31900/1000000 | t=3.19e+00 | T=14998.8 | a=1.000077 | H=2.41e-05 | 12.9 steps/s | 77.41 ms/step | ETA: 1249.0 min
Step 32000/1000000 | t=3.20e+00 | T=14998.8 | a=1.000077 | H=2.41e-05 | 12.9 steps/s | 77.40 ms/step | ETA: 1248.7 min
Step 32100/1000000 | t=3.21e+00 | T=14998.8 | a=1.000077 | H=2.41e-05 | 12.9 steps/s | 77.39 ms/step | ETA: 1248.4 min
Step 32200/1000000 | t=3.22e+00 | T=14998.8 | a=1.000077 | H=2.41e-05 | 12.9 steps/s | 77.38 ms/step | ETA: 1248.1 min
Step 32300/1000000 | t=3.23e+00 | T=14998.8 | a=1.000078 | H=2.41e-05 | 12.9 steps/s | 77.36 ms/step | ETA: 1247.7 min
Step 32400/1000000 | t=3.24e+00 | T=14998.8 | a=1.000078 | H=2.41e-05 | 12.9 steps/s | 77.35 ms/step | ETA: 1247.4 min
Step 32500/1000000 | t=3.25e+00 | T=14998.8 | a=1.000078 | H=2.41e-05 | 12.9 steps/s | 77.34 ms/step | ETA: 1247.1 min
Step 32600/1000000 | t=3.26e+00 | T=14998.8 | a=1.000078 | H=2.41e-05 | 12.9 steps/s | 77.33 ms/step | ETA: 1246.8 min
Step 32700/1000000 | t=3.27e+00 | T=14998.8 | a=1.000079 | H=2.41e-05 | 12.9 steps/s | 77.32 ms/step | ETA: 1246.5 min
Step 32800/1000000 | t=3.28e+00 | T=14998.8 | a=1.000079 | H=2.41e-05 | 12.9 steps/s | 77.32 ms/step | ETA: 1246.4 min
Step 32900/1000000 | t=3.29e+00 | T=14998.8 | a=1.000079 | H=2.41e-05 | 12.9 steps/s | 77.32 ms/step | ETA: 1246.2 min
Step 33000/1000000 | t=3.30e+00 | T=14998.8 | a=1.000079 | H=2.41e-05 | 12.9 steps/s | 77.31 ms/step | ETA: 1245.9 min
Step 33100/1000000 | t=3.31e+00 | T=14998.8 | a=1.000080 | H=2.41e-05 | 12.9 steps/s | 77.30 ms/step | ETA: 1245.7 min
Step 33200/1000000 | t=3.32e+00 | T=14998.8 | a=1.000080 | H=2.41e-05 | 12.9 steps/s | 77.29 ms/step | ETA: 1245.3 min
Step 33300/1000000 | t=3.33e+00 | T=14998.8 | a=1.000080 | H=2.41e-05 | 12.9 steps/s | 77.28 ms/step | ETA: 1245.1 min
Step 33400/1000000 | t=3.34e+00 | T=14998.8 | a=1.000080 | H=2.41e-05 | 12.9 steps/s | 77.26 ms/step | ETA: 1244.7 min
Step 33500/1000000 | t=3.35e+00 | T=14998.8 | a=1.000081 | H=2.41e-05 | 12.9 steps/s | 77.25 ms/step | ETA: 1244.4 min
Step 33600/1000000 | t=3.36e+00 | T=14998.8 | a=1.000081 | H=2.41e-05 | 12.9 steps/s | 77.24 ms/step | ETA: 1244.1 min
Step 33700/1000000 | t=3.37e+00 | T=14998.8 | a=1.000081 | H=2.41e-05 | 12.9 steps/s | 77.23 ms/step | ETA: 1243.8 min
Step 33800/1000000 | t=3.38e+00 | T=14998.8 | a=1.000081 | H=2.41e-05 | 12.9 steps/s | 77.23 ms/step | ETA: 1243.7 min
Step 33900/1000000 | t=3.39e+00 | T=14998.8 | a=1.000082 | H=2.41e-05 | 12.9 steps/s | 77.22 ms/step | ETA: 1243.4 min
Step 34000/1000000 | t=3.40e+00 | T=14998.8 | a=1.000082 | H=2.41e-05 | 13.0 steps/s | 77.22 ms/step | ETA: 1243.2 min
Step 34100/1000000 | t=3.41e+00 | T=14998.8 | a=1.000082 | H=2.41e-05 | 13.0 steps/s | 77.20 ms/step | ETA: 1242.8 min
Step 34200/1000000 | t=3.42e+00 | T=14998.8 | a=1.000082 | H=2.41e-05 | 13.0 steps/s | 77.19 ms/step | ETA: 1242.6 min
Step 34300/1000000 | t=3.43e+00 | T=14998.8 | a=1.000083 | H=2.41e-05 | 13.0 steps/s | 77.18 ms/step | ETA: 1242.2 min
