Step 13000/1500000 | t=3.25e+00 | T=7404.4 | a=1.000078 | H=2.41e-05 | 8.7 steps/s | 114.29 ms/step | ETA: 2832.4 min
Step 13020/1500000 | t=3.25e+00 | T=7404.4 | a=1.000078 | H=2.41e-05 | 8.7 steps/s | 114.44 ms/step | ETA: 2836.1 min
Step 13040/1500000 | t=3.26e+00 | T=7404.4 | a=1.000078 | H=2.41e-05 | 8.7 steps/s | 114.58 ms/step | ETA: 2839.7 min
Step 13060/1500000 | t=3.27e+00 | T=7404.4 | a=1.000079 | H=2.41e-05 | 8.7 steps/s | 114.73 ms/step | ETA: 2843.3 min
Step 13080/1500000 | t=3.27e+00 | T=7404.4 | a=1.000079 | H=2.41e-05 | 8.7 steps/s | 114.88 ms/step | ETA: 2846.9 min
Step 13100/1500000 | t=3.27e+00 | T=7404.4 | a=1.000079 | H=2.41e-05 | 8.7 steps/s | 115.03 ms/step | ETA: 2850.5 min
Step 13120/1500000 | t=3.28e+00 | T=7404.4 | a=1.000079 | H=2.41e-05 | 8.7 steps/s | 115.17 ms/step | ETA: 2854.1 min
Step 13140/1500000 | t=3.29e+00 | T=7404.4 | a=1.000079 | H=2.41e-05 | 8.7 steps/s | 115.32 ms/step | ETA: 2857.6 min
Step 13160/1500000 | t=3.29e+00 | T=7404.4 | a=1.000079 | H=2.41e-05 | 8.7 steps/s | 115.46 ms/step | ETA: 2861.3 min
Step 13180/1500000 | t=3.29e+00 | T=7404.4 | a=1.000079 | H=2.41e-05 | 8.6 steps/s | 115.76 ms/step | ETA: 2868.6 min
Step 13200/1500000 | t=3.30e+00 | T=7404.4 | a=1.000079 | H=2.41e-05 | 8.6 steps/s | 115.90 ms/step | ETA: 2872.0 min
Step 13220/1500000 | t=3.31e+00 | T=7404.4 | a=1.000080 | H=2.41e-05 | 8.6 steps/s | 116.04 ms/step | ETA: 2875.4 min
