Step 2300/10000000000 | t=6.90e-01 | T=7399.9 | a=1.000017 | H=2.41e-05 | 6.1 steps/s | 163.18 ms/step | ETA: 27196627.7 min
Step 2400/10000000000 | t=7.20e-01 | T=7399.9 | a=1.000017 | H=2.41e-05 | 6.1 steps/s | 162.91 ms/step | ETA: 27151613.5 min
Step 2500/10000000000 | t=7.50e-01 | T=7399.9 | a=1.000018 | H=2.41e-05 | 6.2 steps/s | 162.52 ms/step | ETA: 27087167.2 min
Step 2600/10000000000 | t=7.80e-01 | T=7399.9 | a=1.000019 | H=2.41e-05 | 6.2 steps/s | 162.27 ms/step | ETA: 27045290.8 min
Step 2700/10000000000 | t=8.10e-01 | T=7399.9 | a=1.000019 | H=2.41e-05 | 6.2 steps/s | 162.03 ms/step | ETA: 27004824.1 min
Step 2800/10000000000 | t=8.40e-01 | T=7399.9 | a=1.000020 | H=2.41e-05 | 6.2 steps/s | 161.85 ms/step | ETA: 26974438.1 min
Step 2900/10000000000 | t=8.70e-01 | T=7399.8 | a=1.000021 | H=2.41e-05 | 6.2 steps/s | 161.70 ms/step | ETA: 26949335.6 min
Step 3000/10000000000 | t=9.00e-01 | T=7399.8 | a=1.000022 | H=2.41e-05 | 6.2 steps/s | 161.60 ms/step | ETA: 26932870.1 min
Step 3100/10000000000 | t=9.30e-01 | T=7399.8 | a=1.000022 | H=2.41e-05 | 6.2 steps/s | 161.40 ms/step | ETA: 26899844.6 min
Step 3200/10000000000 | t=9.60e-01 | T=7399.8 | a=1.000023 | H=2.41e-05 | 6.2 steps/s | 161.28 ms/step | ETA: 26879803.1 min
Step 3300/10000000000 | t=9.90e-01 | T=7399.8 | a=1.000024 | H=2.41e-05 | 6.2 steps/s | 161.17 ms/step | ETA: 26861497.5 min
Step 3400/10000000000 | t=1.02e+00 | T=7399.8 | a=1.000025 | H=2.41e-05 | 6.2 steps/s | 161.24 ms/step | ETA: 26873794.8 min
Step 3500/10000000000 | t=1.05e+00 | T=7399.8 | a=1.000025 | H=2.41e-05 | 6.2 steps/s | 161.24 ms/step | ETA: 26873728.8 min
Step 3600/10000000000 | t=1.08e+00 | T=7399.8 | a=1.000026 | H=2.41e-05 | 6.2 steps/s | 161.11 ms/step | ETA: 26851311.1 min
Step 3700/10000000000 | t=1.11e+00 | T=7399.8 | a=1.000027 | H=2.41e-05 | 6.2 steps/s | 161.15 ms/step | ETA: 26859112.2 min
Step 3800/10000000000 | t=1.14e+00 | T=7399.8 | a=1.000027 | H=2.41e-05 | 6.2 steps/s | 161.45 ms/step | ETA: 26908965.3 min
Step 3900/10000000000 | t=1.17e+00 | T=7399.8 | a=1.000028 | H=2.41e-05 | 6.2 steps/s | 161.73 ms/step | ETA: 26954511.7 min
Step 4000/10000000000 | t=1.20e+00 | T=7399.8 | a=1.000029 | H=2.41e-05 | 6.2 steps/s | 162.20 ms/step | ETA: 27033269.5 min
Step 4100/10000000000 | t=1.23e+00 | T=7399.8 | a=1.000030 | H=2.41e-05 | 6.1 steps/s | 163.01 ms/step | ETA: 27168710.1 min
Step 4200/10000000000 | t=1.26e+00 | T=7399.8 | a=1.000030 | H=2.41e-05 | 6.1 steps/s | 163.12 ms/step | ETA: 27187086.0 min
Step 4300/10000000000 | t=1.29e+00 | T=7399.8 | a=1.000031 | H=2.41e-05 | 6.1 steps/s | 163.11 ms/step | ETA: 27184937.1 min
Step 4400/10000000000 | t=1.32e+00 | T=7399.8 | a=1.000032 | H=2.41e-05 | 6.1 steps/s | 163.28 ms/step | ETA: 27212758.5 min
Step 4500/10000000000 | t=1.35e+00 | T=7399.8 | a=1.000032 | H=2.41e-05 | 6.1 steps/s | 163.50 ms/step | ETA: 27249720.4 min
Step 4600/10000000000 | t=1.38e+00 | T=7399.8 | a=1.000033 | H=2.41e-05 | 6.1 steps/s | 163.67 ms/step | ETA: 27277697.4 min
Step 4700/10000000000 | t=1.41e+00 | T=7399.7 | a=1.000034 | H=2.41e-05 | 6.1 steps/s | 163.50 ms/step | ETA: 27249899.7 min
Step 4800/10000000000 | t=1.44e+00 | T=7399.7 | a=1.000035 | H=2.41e-05 | 6.1 steps/s | 163.38 ms/step | ETA: 27230819.1 min
Step 4900/10000000000 | t=1.47e+00 | T=7399.7 | a=1.000035 | H=2.41e-05 | 6.1 steps/s | 163.64 ms/step | ETA: 27272858.4 min
Step 5000/10000000000 | t=1.50e+00 | T=7399.7 | a=1.000036 | H=2.41e-05 | 6.1 steps/s | 163.60 ms/step | ETA: 27265845.9 min
Step 5100/10000000000 | t=1.53e+00 | T=7399.7 | a=1.000037 | H=2.41e-05 | 6.1 steps/s | 163.76 ms/step | ETA: 27293867.5 min
Step 5200/10000000000 | t=1.56e+00 | T=7399.7 | a=1.000038 | H=2.41e-05 | 6.1 steps/s | 163.66 ms/step | ETA: 27276546.9 min
Step 5300/10000000000 | t=1.59e+00 | T=7399.7 | a=1.000038 | H=2.41e-05 | 6.1 steps/s | 163.73 ms/step | ETA: 27288002.7 min
Step 5400/10000000000 | t=1.62e+00 | T=7399.7 | a=1.000039 | H=2.41e-05 | 6.1 steps/s | 163.72 ms/step | ETA: 27285976.5 min
