Step 92000/1500000 | t=2.30e+01 | T=7400.9 | a=1.000553 | H=2.41e-05 | 6.0 steps/s | 166.34 ms/step | ETA: 3903.5 min
Step 96000/1500000 | t=2.40e+01 | T=7400.7 | a=1.000578 | H=2.41e-05 | 6.0 steps/s | 166.31 ms/step | ETA: 3891.6 min
Step 100000/1500000 | t=2.50e+01 | T=7400.5 | a=1.000602 | H=2.41e-05 | 6.0 steps/s | 166.27 ms/step | ETA: 3879.7 min
Step 104000/1500000 | t=2.60e+01 | T=7400.4 | a=1.000626 | H=2.41e-05 | 6.0 steps/s | 166.24 ms/step | ETA: 3867.8 min
Step 108000/1500000 | t=2.70e+01 | T=7400.2 | a=1.000650 | H=2.41e-05 | 6.0 steps/s | 166.28 ms/step | ETA: 3857.6 min
Step 112000/1500000 | t=2.80e+01 | T=7400.0 | a=1.000674 | H=2.41e-05 | 6.0 steps/s | 166.25 ms/step | ETA: 3845.9 min
Step 116000/1500000 | t=2.90e+01 | T=7399.8 | a=1.000698 | H=2.41e-05 | 6.0 steps/s | 166.22 ms/step | ETA: 3834.2 min
Step 120000/1500000 | t=3.00e+01 | T=7399.7 | a=1.000722 | H=2.41e-05 | 6.0 steps/s | 166.21 ms/step | ETA: 3822.8 min
Step 124000/1500000 | t=3.10e+01 | T=7399.5 | a=1.000746 | H=2.41e-05 | 6.0 steps/s | 166.20 ms/step | ETA: 3811.6 min
Step 128000/1500000 | t=3.20e+01 | T=7399.3 | a=1.000770 | H=2.41e-05 | 6.0 steps/s | 166.18 ms/step | ETA: 3800.0 min
Step 132000/1500000 | t=3.30e+01 | T=7399.1 | a=1.000794 | H=2.41e-05 | 6.0 steps/s | 166.17 ms/step | ETA: 3788.6 min
Step 136000/1500000 | t=3.40e+01 | T=7398.9 | a=1.000818 | H=2.41e-05 | 6.0 steps/s | 166.15 ms/step | ETA: 3777.1 min
Step 140000/1500000 | t=3.50e+01 | T=7398.8 | a=1.000842 | H=2.41e-05 | 6.0 steps/s | 166.13 ms/step | ETA: 3765.6 min
Step 144000/1500000 | t=3.60e+01 | T=7398.6 | a=1.000866 | H=2.41e-05 | 6.0 steps/s | 166.12 ms/step | ETA: 3754.3 min
Step 148000/1500000 | t=3.70e+01 | T=7398.4 | a=1.000890 | H=2.41e-05 | 6.0 steps/s | 166.10 ms/step | ETA: 3742.7 min
Step 152000/1500000 | t=3.80e+01 | T=7398.2 | a=1.000915 | H=2.41e-05 | 6.0 steps/s | 166.09 ms/step | ETA: 3731.4 min
Step 156000/1500000 | t=3.90e+01 | T=7398.1 | a=1.000939 | H=2.41e-05 | 6.0 steps/s | 166.07 ms/step | ETA: 3720.0 min
Step 160000/1500000 | t=4.00e+01 | T=7397.9 | a=1.000963 | H=2.41e-05 | 6.0 steps/s | 166.07 ms/step | ETA: 3708.9 min
Step 164000/1500000 | t=4.10e+01 | T=7397.7 | a=1.000987 | H=2.41e-05 | 6.0 steps/s | 166.07 ms/step | ETA: 3697.8 min
Step 168000/1500000 | t=4.20e+01 | T=7397.5 | a=1.001011 | H=2.41e-05 | 6.0 steps/s | 166.06 ms/step | ETA: 3686.5 min
Step 172000/1500000 | t=4.30e+01 | T=7397.3 | a=1.001035 | H=2.41e-05 | 6.0 steps/s | 166.04 ms/step | ETA: 3675.0 min
Step 176000/1500000 | t=4.40e+01 | T=7397.2 | a=1.001059 | H=2.41e-05 | 6.0 steps/s | 166.03 ms/step | ETA: 3663.7 min
Step 180000/1500000 | t=4.50e+01 | T=7397.0 | a=1.001083 | H=2.41e-05 | 6.0 steps/s | 166.02 ms/step | ETA: 3652.4 min
Step 184000/1500000 | t=4.60e+01 | T=7396.8 | a=1.001107 | H=2.41e-05 | 6.0 steps/s | 166.01 ms/step | ETA: 3641.2 min
Step 188000/1500000 | t=4.70e+01 | T=7396.6 | a=1.001131 | H=2.41e-05 | 6.0 steps/s | 166.01 ms/step | ETA: 3630.1 min
Step 192000/1500000 | t=4.80e+01 | T=7396.5 | a=1.001155 | H=2.41e-05 | 6.0 steps/s | 166.00 ms/step | ETA: 3618.8 min
Step 196000/1500000 | t=4.90e+01 | T=7396.3 | a=1.001179 | H=2.41e-05 | 6.0 steps/s | 165.99 ms/step | ETA: 3607.6 min
Step 200000/1500000 | t=5.00e+01 | T=7396.1 | a=1.001204 | H=2.41e-05 | 6.0 steps/s | 165.99 ms/step | ETA: 3596.4 min
Step 204000/1500000 | t=5.10e+01 | T=7395.9 | a=1.001228 | H=2.41e-05 | 6.0 steps/s | 165.99 ms/step | ETA: 3585.5 min
Step 208000/1500000 | t=5.20e+01 | T=7395.7 | a=1.001252 | H=2.41e-05 | 6.0 steps/s | 166.05 ms/step | ETA: 3575.6 min
Step 212000/1500000 | t=5.30e+01 | T=7395.6 | a=1.001276 | H=2.41e-05 | 6.0 steps/s | 166.07 ms/step | ETA: 3564.9 min
Step 216000/1500000 | t=5.40e+01 | T=7395.4 | a=1.001300 | H=2.41e-05 | 6.0 steps/s | 166.09 ms/step | ETA: 3554.2 min
Step 220000/1500000 | t=5.50e+01 | T=7395.2 | a=1.001324 | H=2.41e-05 | 6.0 steps/s | 166.08 ms/step | ETA: 3542.9 min
Step 224000/1500000 | t=5.60e+01 | T=7395.0 | a=1.001348 | H=2.41e-05 | 6.0 steps/s | 166.07 ms/step | ETA: 3531.7 min
Step 228000/1500000 | t=5.70e+01 | T=7394.9 | a=1.001372 | H=2.41e-05 | 6.0 steps/s | 166.06 ms/step | ETA: 3520.6 min
Step 232000/1500000 | t=5.80e+01 | T=7394.7 | a=1.001396 | H=2.41e-05 | 6.0 steps/s | 166.07 ms/step | ETA: 3509.7 min
Step 236000/1500000 | t=5.90e+01 | T=7394.5 | a=1.001420 | H=2.41e-05 | 6.0 steps/s | 166.07 ms/step | ETA: 3498.4 min
Step 240000/1500000 | t=6.00e+01 | T=7394.3 | a=1.001444 | H=2.41e-05 | 6.0 steps/s | 166.05 ms/step | ETA: 3487.1 min
Step 244000/1500000 | t=6.10e+01 | T=7394.1 | a=1.001469 | H=2.41e-05 | 6.0 steps/s | 166.05 ms/step | ETA: 3476.0 min
Step 248000/1500000 | t=6.20e+01 | T=7394.0 | a=1.001493 | H=2.41e-05 | 6.0 steps/s | 166.08 ms/step | ETA: 3465.5 min
Step 252000/1500000 | t=6.30e+01 | T=7393.8 | a=1.001517 | H=2.41e-05 | 6.0 steps/s | 166.07 ms/step | ETA: 3454.2 min
Step 256000/1500000 | t=6.40e+01 | T=7393.6 | a=1.001541 | H=2.41e-05 | 6.0 steps/s | 166.06 ms/step | ETA: 3443.0 min
Step 260000/1500000 | t=6.50e+01 | T=7393.4 | a=1.001565 | H=2.41e-05 | 6.0 steps/s | 166.05 ms/step | ETA: 3431.8 min
Step 264000/1500000 | t=6.60e+01 | T=7393.3 | a=1.001589 | H=2.41e-05 | 6.0 steps/s | 166.05 ms/step | ETA: 3420.6 min

*** phi threshold exceeded: max|phi|=54607.6 > 50000.0
*** Switching to dense snapshots: every 20 steps

Step 266980/1500000 | t=6.67e+01 | T=7393.1 | a=1.001607 | H=2.41e-05 | 6.0 steps/s | 166.05 ms/step | ETA: 3412.3 min
Step 267000/1500000 | t=6.68e+01 | T=7393.1 | a=1.001607 | H=2.41e-05 | 6.0 steps/s | 166.05 ms/step | ETA: 3412.4 min
Step 267020/1500000 | t=6.68e+01 | T=7393.1 | a=1.001607 | H=2.41e-05 | 6.0 steps/s | 166.06 ms/step | ETA: 3412.5 min
Step 267040/1500000 | t=6.68e+01 | T=7393.1 | a=1.001607 | H=2.41e-05 | 6.0 steps/s | 166.07 ms/step | ETA: 3412.6 min
Step 267060/1500000 | t=6.68e+01 | T=7393.1 | a=1.001607 | H=2.41e-05 | 6.0 steps/s | 166.08 ms/step | ETA: 3412.8 min
Step 267080/1500000 | t=6.68e+01 | T=7393.1 | a=1.001608 | H=2.41e-05 | 6.0 steps/s | 166.09 ms/step | ETA: 3412.9 min
Step 267100/1500000 | t=6.68e+01 | T=7393.1 | a=1.001608 | H=2.41e-05 | 6.0 steps/s | 166.10 ms/step | ETA: 3413.0 min
Step 267120/1500000 | t=6.68e+01 | T=7393.1 | a=1.001608 | H=2.41e-05 | 6.0 steps/s | 166.10 ms/step | ETA: 3413.1 min
Step 267140/1500000 | t=6.68e+01 | T=7393.1 | a=1.001608 | H=2.41e-05 | 6.0 steps/s | 166.11 ms/step | ETA: 3413.2 min
Step 267160/1500000 | t=6.68e+01 | T=7393.1 | a=1.001608 | H=2.41e-05 | 6.0 steps/s | 166.12 ms/step | ETA: 3413.3 min
Step 267180/1500000 | t=6.68e+01 | T=7393.1 | a=1.001608 | H=2.41e-05 | 6.0 steps/s | 166.13 ms/step | ETA: 3413.4 min
Step 267200/1500000 | t=6.68e+01 | T=7393.1 | a=1.001608 | H=2.41e-05 | 6.0 steps/s | 166.14 ms/step | ETA: 3413.5 min
Step 267220/1500000 | t=6.68e+01 | T=7393.1 | a=1.001608 | H=2.41e-05 | 6.0 steps/s | 166.14 ms/step | ETA: 3413.6 min
Step 267240/1500000 | t=6.68e+01 | T=7393.1 | a=1.001608 | H=2.41e-05 | 6.0 steps/s | 166.15 ms/step | ETA: 3413.7 min
Step 267260/1500000 | t=6.68e+01 | T=7393.1 | a=1.001609 | H=2.41e-05 | 6.0 steps/s | 166.16 ms/step | ETA: 3413.9 min
Step 267280/1500000 | t=6.68e+01 | T=7393.1 | a=1.001609 | H=2.41e-05 | 6.0 steps/s | 166.17 ms/step | ETA: 3414.0 min
Step 267300/1500000 | t=6.68e+01 | T=7393.1 | a=1.001609 | H=2.41e-05 | 6.0 steps/s | 166.18 ms/step | ETA: 3414.1 min
Step 267320/1500000 | t=6.68e+01 | T=7393.1 | a=1.001609 | H=2.41e-05 | 6.0 steps/s | 166.19 ms/step | ETA: 3414.2 min
Step 267340/1500000 | t=6.68e+01 | T=7393.1 | a=1.001609 | H=2.41e-05 | 6.0 steps/s | 166.19 ms/step | ETA: 3414.3 min
Step 267360/1500000 | t=6.68e+01 | T=7393.1 | a=1.001609 | H=2.41e-05 | 6.0 steps/s | 166.20 ms/step | ETA: 3414.4 min
Step 267380/1500000 | t=6.68e+01 | T=7393.1 | a=1.001609 | H=2.41e-05 | 6.0 steps/s | 166.21 ms/step | ETA: 3414.5 min
Step 267400/1500000 | t=6.68e+01 | T=7393.1 | a=1.001609 | H=2.41e-05 | 6.0 steps/s | 166.21 ms/step | ETA: 3414.5 min
Step 267420/1500000 | t=6.69e+01 | T=7393.1 | a=1.001610 | H=2.41e-05 | 6.0 steps/s | 166.22 ms/step | ETA: 3414.6 min
Step 267440/1500000 | t=6.69e+01 | T=7393.1 | a=1.001610 | H=2.41e-05 | 6.0 steps/s | 166.22 ms/step | ETA: 3414.6 min
Step 267460/1500000 | t=6.69e+01 | T=7393.1 | a=1.001610 | H=2.41e-05 | 6.0 steps/s | 166.23 ms/step | ETA: 3414.8 min
Step 267480/1500000 | t=6.69e+01 | T=7393.1 | a=1.001610 | H=2.41e-05 | 6.0 steps/s | 166.24 ms/step | ETA: 3414.8 min
Step 267500/1500000 | t=6.69e+01 | T=7393.1 | a=1.001610 | H=2.41e-05 | 6.0 steps/s | 166.24 ms/step | ETA: 3414.9 min
Step 267520/1500000 | t=6.69e+01 | T=7393.1 | a=1.001610 | H=2.41e-05 | 6.0 steps/s | 166.24 ms/step | ETA: 3414.9 min
Step 267540/1500000 | t=6.69e+01 | T=7393.1 | a=1.001610 | H=2.41e-05 | 6.0 steps/s | 166.25 ms/step | ETA: 3414.9 min
Step 267560/1500000 | t=6.69e+01 | T=7393.1 | a=1.001610 | H=2.41e-05 | 6.0 steps/s | 166.25 ms/step | ETA: 3414.9 min
Step 267580/1500000 | t=6.69e+01 | T=7393.1 | a=1.001611 | H=2.41e-05 | 6.0 steps/s | 166.25 ms/step | ETA: 3414.9 min
Step 267600/1500000 | t=6.69e+01 | T=7393.1 | a=1.001611 | H=2.41e-05 | 6.0 steps/s | 166.26 ms/step | ETA: 3414.9 min
Step 267620/1500000 | t=6.69e+01 | T=7393.1 | a=1.001611 | H=2.41e-05 | 6.0 steps/s | 166.26 ms/step | ETA: 3414.9 min
Step 267640/1500000 | t=6.69e+01 | T=7393.1 | a=1.001611 | H=2.41e-05 | 6.0 steps/s | 166.26 ms/step | ETA: 3414.9 min
Step 267660/1500000 | t=6.69e+01 | T=7393.1 | a=1.001611 | H=2.41e-05 | 6.0 steps/s | 166.27 ms/step | ETA: 3415.0 min
Step 267680/1500000 | t=6.69e+01 | T=7393.1 | a=1.001611 | H=2.41e-05 | 6.0 steps/s | 166.27 ms/step | ETA: 3414.9 min
Step 267700/1500000 | t=6.69e+01 | T=7393.1 | a=1.001611 | H=2.41e-05 | 6.0 steps/s | 166.27 ms/step | ETA: 3414.9 min
Step 267720/1500000 | t=6.69e+01 | T=7393.1 | a=1.001611 | H=2.41e-05 | 6.0 steps/s | 166.27 ms/step | ETA: 3414.9 min
Step 267740/1500000 | t=6.69e+01 | T=7393.1 | a=1.001612 | H=2.41e-05 | 6.0 steps/s | 166.27 ms/step | ETA: 3414.8 min
Step 267760/1500000 | t=6.69e+01 | T=7393.1 | a=1.001612 | H=2.41e-05 | 6.0 steps/s | 166.27 ms/step | ETA: 3414.8 min
Step 267780/1500000 | t=6.69e+01 | T=7393.1 | a=1.001612 | H=2.41e-05 | 6.0 steps/s | 166.27 ms/step | ETA: 3414.7 min
Step 267800/1500000 | t=6.70e+01 | T=7393.1 | a=1.001612 | H=2.41e-05 | 6.0 steps/s | 166.27 ms/step | ETA: 3414.7 min
Step 267820/1500000 | t=6.70e+01 | T=7393.1 | a=1.001612 | H=2.41e-05 | 6.0 steps/s | 166.27 ms/step | ETA: 3414.6 min
Step 267840/1500000 | t=6.70e+01 | T=7393.1 | a=1.001612 | H=2.41e-05 | 6.0 steps/s | 166.27 ms/step | ETA: 3414.5 min
Step 267860/1500000 | t=6.70e+01 | T=7393.1 | a=1.001612 | H=2.41e-05 | 6.0 steps/s | 166.28 ms/step | ETA: 3414.6 min
Step 267880/1500000 | t=6.70e+01 | T=7393.1 | a=1.001612 | H=2.41e-05 | 6.0 steps/s | 166.28 ms/step | ETA: 3414.6 min
Step 267900/1500000 | t=6.70e+01 | T=7393.1 | a=1.001612 | H=2.41e-05 | 6.0 steps/s | 166.28 ms/step | ETA: 3414.5 min
Step 267920/1500000 | t=6.70e+01 | T=7393.1 | a=1.001613 | H=2.41e-05 | 6.0 steps/s | 166.28 ms/step | ETA: 3414.4 min
Step 267940/1500000 | t=6.70e+01 | T=7393.1 | a=1.001613 | H=2.41e-05 | 6.0 steps/s | 166.28 ms/step | ETA: 3414.4 min
Step 267960/1500000 | t=6.70e+01 | T=7393.1 | a=1.001613 | H=2.41e-05 | 6.0 steps/s | 166.28 ms/step | ETA: 3414.3 min
Step 267980/1500000 | t=6.70e+01 | T=7393.1 | a=1.001613 | H=2.41e-05 | 6.0 steps/s | 166.28 ms/step | ETA: 3414.3 min
Step 268000/1500000 | t=6.70e+01 | T=7393.1 | a=1.001613 | H=2.41e-05 | 6.0 steps/s | 166.28 ms/step | ETA: 3414.2 min
Step 268020/1500000 | t=6.70e+01 | T=7393.1 | a=1.001613 | H=2.41e-05 | 6.0 steps/s | 166.28 ms/step | ETA: 3414.1 min
Step 268040/1500000 | t=6.70e+01 | T=7393.1 | a=1.001613 | H=2.41e-05 | 6.0 steps/s | 166.27 ms/step | ETA: 3414.1 min
Step 268060/1500000 | t=6.70e+01 | T=7393.1 | a=1.001613 | H=2.41e-05 | 6.0 steps/s | 166.28 ms/step | ETA: 3414.2 min
Step 268080/1500000 | t=6.70e+01 | T=7393.1 | a=1.001614 | H=2.41e-05 | 6.0 steps/s | 166.28 ms/step | ETA: 3414.1 min
Step 268100/1500000 | t=6.70e+01 | T=7393.1 | a=1.001614 | H=2.41e-05 | 6.0 steps/s | 166.28 ms/step | ETA: 3414.1 min
