Step 14200/500000 | t=1.42e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.6 steps/s | 85.93 ms/step | ETA: 695.7 min
Step 14210/500000 | t=1.42e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.6 steps/s | 86.07 ms/step | ETA: 696.9 min
Step 14220/500000 | t=1.42e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.6 steps/s | 86.22 ms/step | ETA: 698.1 min
Step 14230/500000 | t=1.42e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.6 steps/s | 86.36 ms/step | ETA: 699.2 min
Step 14240/500000 | t=1.42e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.6 steps/s | 86.50 ms/step | ETA: 700.3 min
Step 14250/500000 | t=1.43e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.5 steps/s | 86.65 ms/step | ETA: 701.5 min
Step 14260/500000 | t=1.43e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.5 steps/s | 86.80 ms/step | ETA: 702.7 min
Step 14270/500000 | t=1.43e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.5 steps/s | 86.93 ms/step | ETA: 703.8 min
Step 14280/500000 | t=1.43e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.5 steps/s | 87.22 ms/step | ETA: 706.1 min
Step 14290/500000 | t=1.43e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.4 steps/s | 87.36 ms/step | ETA: 707.2 min
Step 14300/500000 | t=1.43e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.4 steps/s | 87.51 ms/step | ETA: 708.4 min
Step 14310/500000 | t=1.43e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.4 steps/s | 87.65 ms/step | ETA: 709.5 min
Step 14320/500000 | t=1.43e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.4 steps/s | 87.78 ms/step | ETA: 710.6 min
Step 14330/500000 | t=1.43e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.4 steps/s | 87.92 ms/step | ETA: 711.7 min
Step 14340/500000 | t=1.43e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.4 steps/s | 88.06 ms/step | ETA: 712.8 min
Step 14350/500000 | t=1.44e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.3 steps/s | 88.20 ms/step | ETA: 713.9 min
Step 14360/500000 | t=1.44e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.3 steps/s | 88.35 ms/step | ETA: 715.1 min
Step 14370/500000 | t=1.44e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.3 steps/s | 88.50 ms/step | ETA: 716.3 min
Step 14380/500000 | t=1.44e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.3 steps/s | 88.80 ms/step | ETA: 718.7 min
Step 14390/500000 | t=1.44e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.2 steps/s | 88.94 ms/step | ETA: 719.8 min
Step 14400/500000 | t=1.44e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.2 steps/s | 89.07 ms/step | ETA: 720.9 min
Step 14410/500000 | t=1.44e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.2 steps/s | 89.21 ms/step | ETA: 722.0 min
Step 14420/500000 | t=1.44e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.2 steps/s | 89.35 ms/step | ETA: 723.1 min
Step 14430/500000 | t=1.44e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.2 steps/s | 89.50 ms/step | ETA: 724.3 min
Step 14440/500000 | t=1.44e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.2 steps/s | 89.63 ms/step | ETA: 725.3 min
Step 14450/500000 | t=1.45e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.1 steps/s | 89.77 ms/step | ETA: 726.5 min
Step 14460/500000 | t=1.45e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.1 steps/s | 89.90 ms/step | ETA: 727.5 min
Step 14470/500000 | t=1.45e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.1 steps/s | 90.03 ms/step | ETA: 728.6 min
Step 14480/500000 | t=1.45e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.1 steps/s | 90.31 ms/step | ETA: 730.8 min
Step 14490/500000 | t=1.45e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.1 steps/s | 90.46 ms/step | ETA: 731.9 min
Step 14500/500000 | t=1.45e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.0 steps/s | 90.59 ms/step | ETA: 733.0 min
Step 14510/500000 | t=1.45e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.0 steps/s | 90.76 ms/step | ETA: 734.4 min
Step 14520/500000 | t=1.45e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.0 steps/s | 90.91 ms/step | ETA: 735.6 min
Step 14530/500000 | t=1.45e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.0 steps/s | 91.13 ms/step | ETA: 737.3 min
Step 14540/500000 | t=1.45e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 11.0 steps/s | 91.29 ms/step | ETA: 738.6 min
Step 14550/500000 | t=1.46e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.9 steps/s | 91.42 ms/step | ETA: 739.7 min
Step 14560/500000 | t=1.46e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.9 steps/s | 91.56 ms/step | ETA: 740.8 min
Step 14570/500000 | t=1.46e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.9 steps/s | 91.69 ms/step | ETA: 741.8 min
Step 14580/500000 | t=1.46e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.9 steps/s | 91.96 ms/step | ETA: 744.0 min
Step 14590/500000 | t=1.46e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.9 steps/s | 92.09 ms/step | ETA: 745.0 min
Step 14600/500000 | t=1.46e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.8 steps/s | 92.23 ms/step | ETA: 746.2 min
Step 14610/500000 | t=1.46e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.8 steps/s | 92.36 ms/step | ETA: 747.2 min
Step 14620/500000 | t=1.46e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.8 steps/s | 92.50 ms/step | ETA: 748.3 min
Step 14630/500000 | t=1.46e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.8 steps/s | 92.66 ms/step | ETA: 749.6 min
Step 14640/500000 | t=1.46e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.8 steps/s | 92.79 ms/step | ETA: 750.6 min
Step 14650/500000 | t=1.47e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.8 steps/s | 92.93 ms/step | ETA: 751.8 min
Step 14660/500000 | t=1.47e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.7 steps/s | 93.07 ms/step | ETA: 752.8 min
Step 14670/500000 | t=1.47e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.7 steps/s | 93.22 ms/step | ETA: 754.0 min
Step 14680/500000 | t=1.47e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.7 steps/s | 93.50 ms/step | ETA: 756.3 min
Step 14690/500000 | t=1.47e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.7 steps/s | 93.64 ms/step | ETA: 757.4 min
Step 14700/500000 | t=1.47e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.7 steps/s | 93.77 ms/step | ETA: 758.5 min
Step 14710/500000 | t=1.47e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.6 steps/s | 93.91 ms/step | ETA: 759.6 min
Step 14720/500000 | t=1.47e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.6 steps/s | 94.05 ms/step | ETA: 760.7 min
