Step 21500/10000000000 | t=1.07e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 15.1 steps/s | 66.38 ms/step | ETA: 11063256.7 min
Step 21505/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 15.0 steps/s | 66.48 ms/step | ETA: 11079651.5 min
Step 21510/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 15.0 steps/s | 66.58 ms/step | ETA: 11096339.7 min
Step 21515/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 15.0 steps/s | 66.71 ms/step | ETA: 11117549.2 min
Step 21520/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 15.0 steps/s | 66.81 ms/step | ETA: 11135218.6 min
Step 21525/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.9 steps/s | 66.92 ms/step | ETA: 11153616.1 min
Step 21530/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.9 steps/s | 67.05 ms/step | ETA: 11175151.8 min
Step 21535/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.9 steps/s | 67.16 ms/step | ETA: 11192862.9 min
Step 21540/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.9 steps/s | 67.27 ms/step | ETA: 11210978.0 min
Step 21545/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.8 steps/s | 67.47 ms/step | ETA: 11245614.6 min
Step 21550/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.8 steps/s | 67.58 ms/step | ETA: 11263218.2 min
Step 21555/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.8 steps/s | 67.68 ms/step | ETA: 11280601.2 min
Step 21560/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.8 steps/s | 67.79 ms/step | ETA: 11297975.7 min
Step 21565/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.7 steps/s | 67.89 ms/step | ETA: 11315429.5 min
Step 21570/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.7 steps/s | 68.00 ms/step | ETA: 11332935.2 min
Step 21575/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.7 steps/s | 68.12 ms/step | ETA: 11353144.0 min
Step 21580/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.7 steps/s | 68.23 ms/step | ETA: 11371184.4 min
