======================================================================
LATTICE SIMULATION LOG
Started: 2026-01-18 09:05:20
Log file: logs/simulation_20260118_090520.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------
Field precision: float32
Field states will be saved to: data/set6/T0_7335_dt_1e-05_a_0.001_interval_50000/field_states
Figures will be saved to: data/set6/T0_7335_dt_1e-05_a_0.001_interval_50000/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 128×128, Steps: 100000000, dt: 1.00e-05
Using fused RK2: True
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
============================================================

Warming up JIT compilation...
JIT warmup complete. Starting main loop...

Step 0/100000000 | t=0.00e+00 | T=7335.0 | 1119.7 steps/s | 0.00 ms/step | ETA: 0.0 min
Step 50000/100000000 | t=5.00e-04 | T=7335.0 | 31.9 steps/s | 31.38 ms/step | ETA: 52273.6 min
Step 100000/100000000 | t=1.00e-03 | T=7335.0 | 12.1 steps/s | 82.97 ms/step | ETA: 138147.1 min
Step 150000/100000000 | t=1.50e-03 | T=7335.0 | 13.3 steps/s | 75.10 ms/step | ETA: 124982.3 min
Step 200000/100000000 | t=2.00e-03 | T=7335.0 | 17.7 steps/s | 56.59 ms/step | ETA: 94133.8 min
Step 250000/100000000 | t=2.50e-03 | T=7335.0 | 22.0 steps/s | 45.45 ms/step | ETA: 75560.1 min
Step 300000/100000000 | t=3.00e-03 | T=7335.0 | 20.7 steps/s | 48.22 ms/step | ETA: 80126.9 min
Step 350000/100000000 | t=3.50e-03 | T=7335.0 | 24.0 steps/s | 41.67 ms/step | ETA: 69199.0 min
Step 400000/100000000 | t=4.00e-03 | T=7335.0 | 27.3 steps/s | 36.65 ms/step | ETA: 60839.8 min
Step 450000/100000000 | t=4.50e-03 | T=7335.0 | 28.4 steps/s | 35.27 ms/step | ETA: 58519.3 min
Step 500000/100000000 | t=5.00e-03 | T=7335.0 | 31.3 steps/s | 31.94 ms/step | ETA: 52960.3 min
Step 550000/100000000 | t=5.50e-03 | T=7335.0 | 27.4 steps/s | 36.46 ms/step | ETA: 60431.7 min
Step 600000/100000000 | t=6.00e-03 | T=7335.0 | 22.7 steps/s | 44.05 ms/step | ETA: 72972.1 min
Step 650000/100000000 | t=6.50e-03 | T=7335.0 | 19.7 steps/s | 50.71 ms/step | ETA: 83964.3 min
Step 700000/100000000 | t=7.00e-03 | T=7335.0 | 17.0 steps/s | 58.67 ms/step | ETA: 97094.5 min
Step 750000/100000000 | t=7.50e-03 | T=7335.0 | 17.7 steps/s | 56.48 ms/step | ETA: 93430.5 min
Step 800000/100000000 | t=8.00e-03 | T=7335.0 | 17.9 steps/s | 56.00 ms/step | ETA: 92585.0 min
Step 850000/100000000 | t=8.50e-03 | T=7335.0 | 19.0 steps/s | 52.76 ms/step | ETA: 87193.7 min
Step 900000/100000000 | t=9.00e-03 | T=7335.0 | 20.0 steps/s | 49.88 ms/step | ETA: 82385.0 min
Step 950000/100000000 | t=9.50e-03 | T=7335.0 | 21.1 steps/s | 47.29 ms/step | ETA: 78075.4 min
Step 1000000/100000000 | t=1.00e-02 | T=7335.0 | 22.2 steps/s | 44.97 ms/step | ETA: 74193.8 min
Step 1050000/100000000 | t=1.05e-02 | T=7335.0 | 23.3 steps/s | 42.86 ms/step | ETA: 70680.8 min
Step 1100000/100000000 | t=1.10e-02 | T=7335.0 | 24.4 steps/s | 40.94 ms/step | ETA: 67488.7 min
Step 1150000/100000000 | t=1.15e-02 | T=7335.0 | 25.5 steps/s | 39.19 ms/step | ETA: 64572.9 min
Step 1200000/100000000 | t=1.20e-02 | T=7335.0 | 26.6 steps/s | 37.59 ms/step | ETA: 61901.7 min
Step 1250000/100000000 | t=1.25e-02 | T=7335.0 | 27.7 steps/s | 36.12 ms/step | ETA: 59444.8 min
Step 1300000/100000000 | t=1.30e-02 | T=7335.0 | 28.8 steps/s | 34.76 ms/step | ETA: 57176.4 min
Step 1350000/100000000 | t=1.35e-02 | T=7335.0 | 29.9 steps/s | 33.50 ms/step | ETA: 55076.5 min
Step 1400000/100000000 | t=1.40e-02 | T=7335.0 | 30.9 steps/s | 32.33 ms/step | ETA: 53125.8 min
Step 1450000/100000000 | t=1.45e-02 | T=7335.0 | 32.0 steps/s | 31.24 ms/step | ETA: 51310.2 min
Step 1500000/100000000 | t=1.50e-02 | T=7335.0 | 33.1 steps/s | 30.22 ms/step | ETA: 49614.8 min
Step 1550000/100000000 | t=1.55e-02 | T=7335.0 | 34.2 steps/s | 29.27 ms/step | ETA: 48033.1 min
Step 1600000/100000000 | t=1.60e-02 | T=7335.0 | 35.2 steps/s | 28.38 ms/step | ETA: 46548.8 min
Step 1650000/100000000 | t=1.65e-02 | T=7335.0 | 36.3 steps/s | 27.55 ms/step | ETA: 45156.3 min
Step 1700000/100000000 | t=1.70e-02 | T=7335.0 | 37.4 steps/s | 26.76 ms/step | ETA: 43847.8 min
Step 1750000/100000000 | t=1.75e-02 | T=7335.0 | 38.4 steps/s | 26.02 ms/step | ETA: 42614.3 min
Step 1800000/100000000 | t=1.80e-02 | T=7335.0 | 39.5 steps/s | 25.32 ms/step | ETA: 41442.7 min
Step 1850000/100000000 | t=1.85e-02 | T=7335.0 | 40.6 steps/s | 24.66 ms/step | ETA: 40334.3 min
Step 1900000/100000000 | t=1.90e-02 | T=7335.0 | 41.6 steps/s | 24.03 ms/step | ETA: 39284.1 min
Step 1950000/100000000 | t=1.95e-02 | T=7335.0 | 42.7 steps/s | 23.43 ms/step | ETA: 38289.0 min
Step 2000000/100000000 | t=2.00e-02 | T=7335.0 | 43.7 steps/s | 22.86 ms/step | ETA: 37341.9 min
Step 2050000/100000000 | t=2.05e-02 | T=7335.0 | 44.8 steps/s | 22.32 ms/step | ETA: 36441.7 min
Step 2100000/100000000 | t=2.10e-02 | T=7335.0 | 45.9 steps/s | 21.81 ms/step | ETA: 35583.8 min
Step 2150000/100000000 | t=2.15e-02 | T=7335.0 | 46.9 steps/s | 21.32 ms/step | ETA: 34766.8 min
Step 2200000/100000000 | t=2.20e-02 | T=7335.0 | 48.0 steps/s | 20.85 ms/step | ETA: 33987.6 min
Step 2250000/100000000 | t=2.25e-02 | T=7335.0 | 49.0 steps/s | 20.40 ms/step | ETA: 33242.0 min
Step 2300000/100000000 | t=2.30e-02 | T=7335.0 | 50.1 steps/s | 19.98 ms/step | ETA: 32529.7 min
Step 2350000/100000000 | t=2.35e-02 | T=7335.0 | 51.1 steps/s | 19.57 ms/step | ETA: 31849.8 min
Step 2400000/100000000 | t=2.40e-02 | T=7335.0 | 52.1 steps/s | 19.18 ms/step | ETA: 31196.3 min
Step 2450000/100000000 | t=2.45e-02 | T=7335.0 | 53.2 steps/s | 18.81 ms/step | ETA: 30575.8 min
