Step 1150/100000 | t=1.15e-01 | T=7385.0 | a=1.000003 | H=2.41e-05 | 10.9 steps/s | 92.13 ms/step | ETA: 151.8 min
Step 1200/100000 | t=1.20e-01 | T=7385.0 | a=1.000003 | H=2.41e-05 | 10.9 steps/s | 91.98 ms/step | ETA: 151.5 min
Step 1250/100000 | t=1.25e-01 | T=7385.0 | a=1.000003 | H=2.41e-05 | 10.9 steps/s | 91.86 ms/step | ETA: 151.2 min
Step 1300/100000 | t=1.30e-01 | T=7385.0 | a=1.000003 | H=2.41e-05 | 10.9 steps/s | 91.63 ms/step | ETA: 150.7 min
Step 1350/100000 | t=1.35e-01 | T=7385.0 | a=1.000003 | H=2.41e-05 | 10.9 steps/s | 91.44 ms/step | ETA: 150.3 min
Step 1400/100000 | t=1.40e-01 | T=7385.0 | a=1.000003 | H=2.41e-05 | 11.0 steps/s | 91.28 ms/step | ETA: 150.0 min
Step 1450/100000 | t=1.45e-01 | T=7385.0 | a=1.000003 | H=2.41e-05 | 11.0 steps/s | 91.22 ms/step | ETA: 149.8 min
Step 1500/100000 | t=1.50e-01 | T=7385.0 | a=1.000004 | H=2.41e-05 | 11.0 steps/s | 91.02 ms/step | ETA: 149.4 min
Step 1550/100000 | t=1.55e-01 | T=7385.0 | a=1.000004 | H=2.41e-05 | 11.0 steps/s | 91.04 ms/step | ETA: 149.4 min
Step 1600/100000 | t=1.60e-01 | T=7385.0 | a=1.000004 | H=2.41e-05 | 11.0 steps/s | 90.98 ms/step | ETA: 149.2 min
Step 1650/100000 | t=1.65e-01 | T=7385.0 | a=1.000004 | H=2.41e-05 | 11.0 steps/s | 90.83 ms/step | ETA: 148.9 min
Step 1700/100000 | t=1.70e-01 | T=7385.0 | a=1.000004 | H=2.41e-05 | 11.0 steps/s | 90.70 ms/step | ETA: 148.6 min
Step 1750/100000 | t=1.75e-01 | T=7385.0 | a=1.000004 | H=2.41e-05 | 11.0 steps/s | 90.60 ms/step | ETA: 148.4 min
Step 1800/100000 | t=1.80e-01 | T=7385.0 | a=1.000004 | H=2.41e-05 | 11.0 steps/s | 90.56 ms/step | ETA: 148.2 min
Step 1850/100000 | t=1.85e-01 | T=7385.0 | a=1.000004 | H=2.41e-05 | 11.1 steps/s | 90.48 ms/step | ETA: 148.0 min
Step 1900/100000 | t=1.90e-01 | T=7385.0 | a=1.000005 | H=2.41e-05 | 11.1 steps/s | 90.38 ms/step | ETA: 147.8 min
Step 1950/100000 | t=1.95e-01 | T=7385.0 | a=1.000005 | H=2.41e-05 | 11.1 steps/s | 90.29 ms/step | ETA: 147.5 min
Step 2000/100000 | t=2.00e-01 | T=7385.0 | a=1.000005 | H=2.41e-05 | 11.1 steps/s | 90.19 ms/step | ETA: 147.3 min
Step 2050/100000 | t=2.05e-01 | T=7385.0 | a=1.000005 | H=2.41e-05 | 11.1 steps/s | 90.23 ms/step | ETA: 147.3 min
Step 2100/100000 | t=2.10e-01 | T=7385.0 | a=1.000005 | H=2.41e-05 | 11.1 steps/s | 90.46 ms/step | ETA: 147.6 min
Step 2150/100000 | t=2.15e-01 | T=7385.0 | a=1.000005 | H=2.41e-05 | 11.0 steps/s | 90.79 ms/step | ETA: 148.1 min
Step 2200/100000 | t=2.20e-01 | T=7385.0 | a=1.000005 | H=2.41e-05 | 11.0 steps/s | 91.06 ms/step | ETA: 148.4 min
Step 2250/100000 | t=2.25e-01 | T=7385.0 | a=1.000005 | H=2.41e-05 | 11.0 steps/s | 91.24 ms/step | ETA: 148.6 min
Step 2300/100000 | t=2.30e-01 | T=7385.0 | a=1.000006 | H=2.41e-05 | 10.9 steps/s | 91.50 ms/step | ETA: 149.0 min
Step 2350/100000 | t=2.35e-01 | T=7385.0 | a=1.000006 | H=2.41e-05 | 10.9 steps/s | 91.69 ms/step | ETA: 149.2 min
Step 2400/100000 | t=2.40e-01 | T=7385.0 | a=1.000006 | H=2.41e-05 | 10.9 steps/s | 91.60 ms/step | ETA: 149.0 min
Step 2450/100000 | t=2.45e-01 | T=7385.0 | a=1.000006 | H=2.41e-05 | 10.9 steps/s | 91.52 ms/step | ETA: 148.8 min
Step 2500/100000 | t=2.50e-01 | T=7385.0 | a=1.000006 | H=2.41e-05 | 10.9 steps/s | 91.46 ms/step | ETA: 148.6 min
Step 2550/100000 | t=2.55e-01 | T=7385.0 | a=1.000006 | H=2.41e-05 | 10.9 steps/s | 91.47 ms/step | ETA: 148.6 min
Step 2600/100000 | t=2.60e-01 | T=7385.0 | a=1.000006 | H=2.41e-05 | 10.9 steps/s | 91.39 ms/step | ETA: 148.4 min
Step 2650/100000 | t=2.65e-01 | T=7385.0 | a=1.000006 | H=2.41e-05 | 11.0 steps/s | 91.30 ms/step | ETA: 148.1 min
