Step 28400/10000000000 | t=5.68e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.2 steps/s | 75.90 ms/step | ETA: 12649153.9 min
Step 28500/10000000000 | t=5.70e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.2 steps/s | 75.96 ms/step | ETA: 12660150.8 min
Step 28600/10000000000 | t=5.72e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.1 steps/s | 76.06 ms/step | ETA: 12676122.4 min
Step 28700/10000000000 | t=5.74e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.1 steps/s | 76.12 ms/step | ETA: 12687184.0 min
Step 28800/10000000000 | t=5.76e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.1 steps/s | 76.20 ms/step | ETA: 12699747.6 min
Step 28900/10000000000 | t=5.78e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.1 steps/s | 76.25 ms/step | ETA: 12708822.6 min
Step 29000/10000000000 | t=5.80e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.1 steps/s | 76.31 ms/step | ETA: 12717698.8 min
Step 29100/10000000000 | t=5.82e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.1 steps/s | 76.37 ms/step | ETA: 12727606.1 min
Step 29200/10000000000 | t=5.84e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.1 steps/s | 76.42 ms/step | ETA: 12736793.8 min
Step 29300/10000000000 | t=5.86e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.1 steps/s | 76.54 ms/step | ETA: 12756994.9 min
Step 29400/10000000000 | t=5.88e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.1 steps/s | 76.60 ms/step | ETA: 12765817.2 min
Step 29500/10000000000 | t=5.90e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.0 steps/s | 76.65 ms/step | ETA: 12774809.0 min
Step 29600/10000000000 | t=5.92e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.0 steps/s | 76.70 ms/step | ETA: 12782956.1 min
Step 29700/10000000000 | t=5.94e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.0 steps/s | 76.75 ms/step | ETA: 12791453.8 min
Step 29800/10000000000 | t=5.96e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.0 steps/s | 76.80 ms/step | ETA: 12799893.8 min
Step 29900/10000000000 | t=5.98e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.0 steps/s | 76.86 ms/step | ETA: 12809645.3 min
Step 30000/10000000000 | t=6.00e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.0 steps/s | 76.91 ms/step | ETA: 12818379.3 min
Step 30100/10000000000 | t=6.02e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 13.0 steps/s | 76.96 ms/step | ETA: 12826787.7 min
Step 30200/10000000000 | t=6.04e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 13.0 steps/s | 77.01 ms/step | ETA: 12835198.9 min
Step 30300/10000000000 | t=6.06e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 13.0 steps/s | 77.12 ms/step | ETA: 12854020.7 min
Step 30400/10000000000 | t=6.08e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 13.0 steps/s | 77.17 ms/step | ETA: 12862044.3 min
Step 30500/10000000000 | t=6.10e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.9 steps/s | 77.22 ms/step | ETA: 12870457.6 min
Step 30600/10000000000 | t=6.12e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.9 steps/s | 77.27 ms/step | ETA: 12878095.9 min
Step 30700/10000000000 | t=6.14e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.9 steps/s | 77.33 ms/step | ETA: 12887963.9 min
Step 30800/10000000000 | t=6.16e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.9 steps/s | 77.38 ms/step | ETA: 12896379.8 min
Step 30900/10000000000 | t=6.18e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.9 steps/s | 77.42 ms/step | ETA: 12903913.6 min
Step 31000/10000000000 | t=6.20e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.9 steps/s | 77.47 ms/step | ETA: 12911121.7 min
Step 31100/10000000000 | t=6.22e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.9 steps/s | 77.51 ms/step | ETA: 12918947.2 min
Step 31200/10000000000 | t=6.24e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.9 steps/s | 77.56 ms/step | ETA: 12927398.7 min
Step 31300/10000000000 | t=6.26e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.9 steps/s | 77.67 ms/step | ETA: 12945700.2 min
Step 31400/10000000000 | t=6.28e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.9 steps/s | 77.73 ms/step | ETA: 12954960.2 min
Step 31500/10000000000 | t=6.30e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.9 steps/s | 77.77 ms/step | ETA: 12962381.3 min
Step 31600/10000000000 | t=6.32e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.9 steps/s | 77.82 ms/step | ETA: 12969627.7 min
Step 31700/10000000000 | t=6.34e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.8 steps/s | 77.86 ms/step | ETA: 12977160.5 min
Step 31800/10000000000 | t=6.36e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.8 steps/s | 77.90 ms/step | ETA: 12984069.4 min
Step 31900/10000000000 | t=6.38e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.8 steps/s | 77.95 ms/step | ETA: 12990899.6 min
Step 32000/10000000000 | t=6.40e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.8 steps/s | 78.00 ms/step | ETA: 13000094.4 min
Step 32100/10000000000 | t=6.42e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.8 steps/s | 78.04 ms/step | ETA: 13006892.2 min
Step 32200/10000000000 | t=6.44e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 12.8 steps/s | 78.09 ms/step | ETA: 13014402.9 min
Step 32300/10000000000 | t=6.46e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.8 steps/s | 78.19 ms/step | ETA: 13031207.5 min
Step 32400/10000000000 | t=6.48e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.8 steps/s | 78.23 ms/step | ETA: 13038930.3 min
Step 32500/10000000000 | t=6.50e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.8 steps/s | 78.27 ms/step | ETA: 13045480.1 min
Step 32600/10000000000 | t=6.52e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.8 steps/s | 78.32 ms/step | ETA: 13052500.7 min
Step 32700/10000000000 | t=6.54e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.8 steps/s | 78.35 ms/step | ETA: 13058831.8 min
Step 32800/10000000000 | t=6.56e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.8 steps/s | 78.41 ms/step | ETA: 13068099.4 min
Step 32900/10000000000 | t=6.58e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.7 steps/s | 78.46 ms/step | ETA: 13077347.6 min
Step 33000/10000000000 | t=6.60e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.7 steps/s | 78.52 ms/step | ETA: 13086541.4 min
Step 33100/10000000000 | t=6.62e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.7 steps/s | 78.58 ms/step | ETA: 13097310.6 min
Step 33200/10000000000 | t=6.64e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.7 steps/s | 78.64 ms/step | ETA: 13106589.9 min
Step 33300/10000000000 | t=6.66e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.7 steps/s | 78.75 ms/step | ETA: 13125587.4 min
Step 33400/10000000000 | t=6.68e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.7 steps/s | 78.81 ms/step | ETA: 13135085.8 min
Step 33500/10000000000 | t=6.70e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.7 steps/s | 78.87 ms/step | ETA: 13144413.2 min
Step 33600/10000000000 | t=6.72e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.7 steps/s | 78.92 ms/step | ETA: 13153860.7 min
Step 33700/10000000000 | t=6.74e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.7 steps/s | 78.97 ms/step | ETA: 13162446.4 min
Step 33800/10000000000 | t=6.76e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.7 steps/s | 79.03 ms/step | ETA: 13171928.2 min
Step 33900/10000000000 | t=6.78e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.6 steps/s | 79.09 ms/step | ETA: 13180945.7 min
Step 34000/10000000000 | t=6.80e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.6 steps/s | 79.14 ms/step | ETA: 13190040.2 min
Step 34100/10000000000 | t=6.82e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.6 steps/s | 79.19 ms/step | ETA: 13198564.7 min
Step 34200/10000000000 | t=6.84e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 12.6 steps/s | 79.25 ms/step | ETA: 13207655.2 min
Step 34300/10000000000 | t=6.86e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.6 steps/s | 79.36 ms/step | ETA: 13226512.1 min
Step 34400/10000000000 | t=6.88e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.6 steps/s | 79.43 ms/step | ETA: 13237551.6 min
Step 34500/10000000000 | t=6.90e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.6 steps/s | 79.48 ms/step | ETA: 13246652.2 min
Step 34600/10000000000 | t=6.92e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.6 steps/s | 79.52 ms/step | ETA: 13253754.7 min
Step 34700/10000000000 | t=6.94e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.6 steps/s | 79.56 ms/step | ETA: 13259397.1 min
Step 34800/10000000000 | t=6.96e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.6 steps/s | 79.59 ms/step | ETA: 13264946.3 min
Step 34900/10000000000 | t=6.98e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.6 steps/s | 79.64 ms/step | ETA: 13272515.0 min
Step 35000/10000000000 | t=7.00e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.6 steps/s | 79.68 ms/step | ETA: 13279602.1 min
Step 35100/10000000000 | t=7.02e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.5 steps/s | 79.72 ms/step | ETA: 13286417.0 min
Step 35200/10000000000 | t=7.04e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.5 steps/s | 79.76 ms/step | ETA: 13292472.9 min
Step 35300/10000000000 | t=7.06e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.5 steps/s | 79.85 ms/step | ETA: 13308470.1 min
Step 35400/10000000000 | t=7.08e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.5 steps/s | 79.89 ms/step | ETA: 13314217.1 min
Step 35500/10000000000 | t=7.10e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.5 steps/s | 79.92 ms/step | ETA: 13320023.4 min
Step 35600/10000000000 | t=7.12e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.5 steps/s | 79.95 ms/step | ETA: 13325331.7 min
Step 35700/10000000000 | t=7.14e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.5 steps/s | 79.99 ms/step | ETA: 13331762.1 min
Step 35800/10000000000 | t=7.16e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.5 steps/s | 80.02 ms/step | ETA: 13336953.9 min
Step 35900/10000000000 | t=7.18e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.5 steps/s | 80.05 ms/step | ETA: 13341917.6 min
Step 36000/10000000000 | t=7.20e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.5 steps/s | 80.08 ms/step | ETA: 13346831.0 min
Step 36100/10000000000 | t=7.22e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.5 steps/s | 80.11 ms/step | ETA: 13352063.4 min
Step 36200/10000000000 | t=7.24e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.5 steps/s | 80.15 ms/step | ETA: 13358563.3 min
Step 36300/10000000000 | t=7.26e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 12.5 steps/s | 80.24 ms/step | ETA: 13373363.2 min
Step 36400/10000000000 | t=7.28e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.5 steps/s | 80.27 ms/step | ETA: 13378751.7 min
Step 36500/10000000000 | t=7.30e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.5 steps/s | 80.30 ms/step | ETA: 13383692.0 min
Step 36600/10000000000 | t=7.32e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.33 ms/step | ETA: 13388606.3 min
Step 36700/10000000000 | t=7.34e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.36 ms/step | ETA: 13393741.8 min
Step 36800/10000000000 | t=7.36e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.39 ms/step | ETA: 13398976.4 min
Step 36900/10000000000 | t=7.38e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.42 ms/step | ETA: 13403988.3 min
Step 37000/10000000000 | t=7.40e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.46 ms/step | ETA: 13409689.1 min
Step 37100/10000000000 | t=7.42e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.49 ms/step | ETA: 13414488.8 min
Step 37200/10000000000 | t=7.44e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.52 ms/step | ETA: 13420270.6 min
Step 37300/10000000000 | t=7.46e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.60 ms/step | ETA: 13433546.9 min
Step 37400/10000000000 | t=7.48e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.63 ms/step | ETA: 13438456.3 min
Step 37500/10000000000 | t=7.50e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.66 ms/step | ETA: 13443638.4 min
Step 37600/10000000000 | t=7.52e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.72 ms/step | ETA: 13453331.4 min
Step 37700/10000000000 | t=7.54e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.76 ms/step | ETA: 13459863.5 min
Step 37800/10000000000 | t=7.56e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.80 ms/step | ETA: 13465785.5 min
Step 37900/10000000000 | t=7.58e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.83 ms/step | ETA: 13471691.3 min
Step 38000/10000000000 | t=7.60e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.87 ms/step | ETA: 13477462.6 min
Step 38100/10000000000 | t=7.62e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.90 ms/step | ETA: 13483762.7 min
Step 38200/10000000000 | t=7.64e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.4 steps/s | 80.96 ms/step | ETA: 13493063.4 min
Step 38300/10000000000 | t=7.66e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.3 steps/s | 81.05 ms/step | ETA: 13508480.4 min
Step 38400/10000000000 | t=7.68e-01 | T=7349.9 | a=1.000018 | H=2.41e-05 | 12.3 steps/s | 81.09 ms/step | ETA: 13515736.2 min
Step 38500/10000000000 | t=7.70e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.3 steps/s | 81.14 ms/step | ETA: 13523440.3 min
Step 38600/10000000000 | t=7.72e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.3 steps/s | 81.19 ms/step | ETA: 13531644.4 min
Step 38700/10000000000 | t=7.74e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.3 steps/s | 81.25 ms/step | ETA: 13541377.9 min
Step 38800/10000000000 | t=7.76e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.3 steps/s | 81.31 ms/step | ETA: 13551269.1 min
Step 38900/10000000000 | t=7.78e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.3 steps/s | 81.37 ms/step | ETA: 13561683.1 min
Step 39000/10000000000 | t=7.80e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.3 steps/s | 81.44 ms/step | ETA: 13572477.4 min
Step 39100/10000000000 | t=7.82e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.3 steps/s | 81.50 ms/step | ETA: 13582770.9 min
Step 39200/10000000000 | t=7.84e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.3 steps/s | 81.55 ms/step | ETA: 13591693.2 min
Step 39300/10000000000 | t=7.86e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.2 steps/s | 81.67 ms/step | ETA: 13611086.4 min
Step 39400/10000000000 | t=7.88e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.2 steps/s | 81.71 ms/step | ETA: 13617589.5 min
Step 39500/10000000000 | t=7.90e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.2 steps/s | 81.74 ms/step | ETA: 13623365.5 min
Step 39600/10000000000 | t=7.92e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.2 steps/s | 81.77 ms/step | ETA: 13629016.1 min
Step 39700/10000000000 | t=7.94e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.2 steps/s | 81.81 ms/step | ETA: 13634406.5 min
Step 39800/10000000000 | t=7.96e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.2 steps/s | 81.85 ms/step | ETA: 13640818.8 min
Step 39900/10000000000 | t=7.98e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.2 steps/s | 81.88 ms/step | ETA: 13647391.6 min
