Step 23000/10000000000 | t=2.30e+00 | T=7449.6 | a=1.000055 | H=2.41e-05 | 12.0 steps/s | 83.46 ms/step | ETA: 13909602.1 min
Step 24000/10000000000 | t=2.40e+00 | T=7449.6 | a=1.000058 | H=2.41e-05 | 12.0 steps/s | 83.24 ms/step | ETA: 13874090.2 min
Step 25000/10000000000 | t=2.50e+00 | T=7449.6 | a=1.000060 | H=2.41e-05 | 12.0 steps/s | 83.02 ms/step | ETA: 13836449.3 min
Step 26000/10000000000 | t=2.60e+00 | T=7449.5 | a=1.000063 | H=2.41e-05 | 12.1 steps/s | 82.82 ms/step | ETA: 13803227.2 min
Step 27000/10000000000 | t=2.70e+00 | T=7449.5 | a=1.000065 | H=2.41e-05 | 12.0 steps/s | 82.99 ms/step | ETA: 13831894.2 min
Step 28000/10000000000 | t=2.80e+00 | T=7449.5 | a=1.000067 | H=2.41e-05 | 12.0 steps/s | 83.00 ms/step | ETA: 13833344.7 min
Step 29000/10000000000 | t=2.90e+00 | T=7449.5 | a=1.000070 | H=2.41e-05 | 12.1 steps/s | 82.90 ms/step | ETA: 13817344.2 min
Step 30000/10000000000 | t=3.00e+00 | T=7449.5 | a=1.000072 | H=2.41e-05 | 12.1 steps/s | 82.87 ms/step | ETA: 13811107.4 min
Step 31000/10000000000 | t=3.10e+00 | T=7449.4 | a=1.000075 | H=2.41e-05 | 12.0 steps/s | 83.09 ms/step | ETA: 13847722.3 min
Step 32000/10000000000 | t=3.20e+00 | T=7449.4 | a=1.000077 | H=2.41e-05 | 12.0 steps/s | 83.09 ms/step | ETA: 13848076.1 min
Step 33000/10000000000 | t=3.30e+00 | T=7449.4 | a=1.000079 | H=2.41e-05 | 12.0 steps/s | 83.19 ms/step | ETA: 13865785.5 min
Step 34000/10000000000 | t=3.40e+00 | T=7449.4 | a=1.000082 | H=2.41e-05 | 12.0 steps/s | 83.30 ms/step | ETA: 13882646.2 min
Step 35000/10000000000 | t=3.50e+00 | T=7449.4 | a=1.000084 | H=2.41e-05 | 12.0 steps/s | 83.26 ms/step | ETA: 13875935.0 min
Step 36000/10000000000 | t=3.60e+00 | T=7449.4 | a=1.000087 | H=2.41e-05 | 12.0 steps/s | 83.38 ms/step | ETA: 13897428.8 min
Step 37000/10000000000 | t=3.70e+00 | T=7449.3 | a=1.000089 | H=2.41e-05 | 12.0 steps/s | 83.51 ms/step | ETA: 13917661.4 min
Step 38000/10000000000 | t=3.80e+00 | T=7449.3 | a=1.000091 | H=2.41e-05 | 12.0 steps/s | 83.60 ms/step | ETA: 13932586.4 min
Step 39000/10000000000 | t=3.90e+00 | T=7449.3 | a=1.000094 | H=2.41e-05 | 11.9 steps/s | 83.73 ms/step | ETA: 13954296.3 min
Step 40000/10000000000 | t=4.00e+00 | T=7449.3 | a=1.000096 | H=2.41e-05 | 11.9 steps/s | 83.70 ms/step | ETA: 13950433.4 min
Step 41000/10000000000 | t=4.10e+00 | T=7449.3 | a=1.000099 | H=2.41e-05 | 11.9 steps/s | 83.95 ms/step | ETA: 13992242.0 min
Step 42000/10000000000 | t=4.20e+00 | T=7449.2 | a=1.000101 | H=2.41e-05 | 11.9 steps/s | 84.06 ms/step | ETA: 14010481.8 min
Step 43000/10000000000 | t=4.30e+00 | T=7449.2 | a=1.000103 | H=2.41e-05 | 11.9 steps/s | 84.24 ms/step | ETA: 14040029.8 min
Step 44000/10000000000 | t=4.40e+00 | T=7449.2 | a=1.000106 | H=2.41e-05 | 11.8 steps/s | 84.39 ms/step | ETA: 14065611.2 min
Step 45000/10000000000 | t=4.50e+00 | T=7449.2 | a=1.000108 | H=2.41e-05 | 6.2 steps/s | 162.59 ms/step | ETA: 27098723.6 min
Step 46000/10000000000 | t=4.60e+00 | T=7449.2 | a=1.000111 | H=2.41e-05 | 6.0 steps/s | 165.87 ms/step | ETA: 27644371.0 min
Step 47000/10000000000 | t=4.70e+00 | T=7449.2 | a=1.000113 | H=2.41e-05 | 6.1 steps/s | 163.97 ms/step | ETA: 27327933.5 min
Step 48000/10000000000 | t=4.80e+00 | T=7449.1 | a=1.000115 | H=2.41e-05 | 6.2 steps/s | 162.14 ms/step | ETA: 27022749.5 min
Step 49000/10000000000 | t=4.90e+00 | T=7449.1 | a=1.000118 | H=2.41e-05 | 6.2 steps/s | 160.38 ms/step | ETA: 26729272.5 min
Step 50000/10000000000 | t=5.00e+00 | T=7449.1 | a=1.000120 | H=2.41e-05 | 6.3 steps/s | 158.69 ms/step | ETA: 26448213.9 min
Step 51000/10000000000 | t=5.10e+00 | T=7449.1 | a=1.000123 | H=2.41e-05 | 6.4 steps/s | 157.10 ms/step | ETA: 26183261.6 min
Step 52000/10000000000 | t=5.20e+00 | T=7449.1 | a=1.000125 | H=2.41e-05 | 6.4 steps/s | 155.54 ms/step | ETA: 25923299.5 min
Step 53000/10000000000 | t=5.30e+00 | T=7449.1 | a=1.000128 | H=2.41e-05 | 6.5 steps/s | 154.05 ms/step | ETA: 25674934.5 min
Step 54000/10000000000 | t=5.40e+00 | T=7449.0 | a=1.000130 | H=2.41e-05 | 6.6 steps/s | 152.60 ms/step | ETA: 25433645.5 min
Step 55000/10000000000 | t=5.50e+00 | T=7449.0 | a=1.000132 | H=2.41e-05 | 6.6 steps/s | 151.21 ms/step | ETA: 25201128.3 min
Step 56000/10000000000 | t=5.60e+00 | T=7449.0 | a=1.000135 | H=2.41e-05 | 6.7 steps/s | 149.91 ms/step | ETA: 24985620.7 min
Step 57000/10000000000 | t=5.70e+00 | T=7449.0 | a=1.000137 | H=2.41e-05 | 6.7 steps/s | 148.61 ms/step | ETA: 24768521.7 min
Step 58000/10000000000 | t=5.80e+00 | T=7449.0 | a=1.000140 | H=2.41e-05 | 6.8 steps/s | 147.37 ms/step | ETA: 24561105.9 min
Step 59000/10000000000 | t=5.90e+00 | T=7448.9 | a=1.000142 | H=2.41e-05 | 6.8 steps/s | 146.17 ms/step | ETA: 24362207.6 min
Step 60000/10000000000 | t=6.00e+00 | T=7448.9 | a=1.000144 | H=2.41e-05 | 6.9 steps/s | 145.03 ms/step | ETA: 24171571.8 min
Step 61000/10000000000 | t=6.10e+00 | T=7448.9 | a=1.000147 | H=2.41e-05 | 6.9 steps/s | 143.95 ms/step | ETA: 23991713.3 min
Step 62000/10000000000 | t=6.20e+00 | T=7448.9 | a=1.000149 | H=2.41e-05 | 7.0 steps/s | 142.90 ms/step | ETA: 23815850.7 min
