Step 750000/1000000000 | t=7.50e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 459.2 steps/s | 2.18 ms/step | ETA: 36265.6 min
Step 800000/1000000000 | t=8.00e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 459.8 steps/s | 2.17 ms/step | ETA: 36215.7 min
Step 850000/1000000000 | t=8.50e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 460.3 steps/s | 2.17 ms/step | ETA: 36176.6 min
Step 900000/1000000000 | t=9.00e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 461.0 steps/s | 2.17 ms/step | ETA: 36119.8 min
Step 950000/1000000000 | t=9.50e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 461.8 steps/s | 2.17 ms/step | ETA: 36054.2 min
Step 1000000/1000000000 | t=1.00e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 462.5 steps/s | 2.16 ms/step | ETA: 36001.1 min
Step 1050000/1000000000 | t=1.05e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 462.9 steps/s | 2.16 ms/step | ETA: 35968.9 min
Step 1100000/1000000000 | t=1.10e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 463.2 steps/s | 2.16 ms/step | ETA: 35940.3 min
Step 1150000/1000000000 | t=1.15e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 463.4 steps/s | 2.16 ms/step | ETA: 35928.1 min
Step 1200000/1000000000 | t=1.20e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 463.7 steps/s | 2.16 ms/step | ETA: 35901.5 min
Step 1250000/1000000000 | t=1.25e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 463.9 steps/s | 2.16 ms/step | ETA: 35881.7 min
Step 1300000/1000000000 | t=1.30e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 463.8 steps/s | 2.16 ms/step | ETA: 35889.8 min
Step 1350000/1000000000 | t=1.35e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 463.7 steps/s | 2.16 ms/step | ETA: 35891.4 min
Step 1400000/1000000000 | t=1.40e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 463.6 steps/s | 2.16 ms/step | ETA: 35898.1 min
Step 1450000/1000000000 | t=1.45e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 463.4 steps/s | 2.16 ms/step | ETA: 35913.1 min
Step 1500000/1000000000 | t=1.50e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 463.4 steps/s | 2.16 ms/step | ETA: 35912.2 min
Step 1550000/1000000000 | t=1.55e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 463.5 steps/s | 2.16 ms/step | ETA: 35902.7 min
Step 1600000/1000000000 | t=1.60e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 463.8 steps/s | 2.16 ms/step | ETA: 35876.3 min
Step 1650000/1000000000 | t=1.65e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 463.5 steps/s | 2.16 ms/step | ETA: 35897.1 min
Step 1700000/1000000000 | t=1.70e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 462.9 steps/s | 2.16 ms/step | ETA: 35947.1 min
Step 1750000/1000000000 | t=1.75e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 462.4 steps/s | 2.16 ms/step | ETA: 35978.5 min
Step 1800000/1000000000 | t=1.80e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 462.2 steps/s | 2.16 ms/step | ETA: 35993.3 min
Step 1850000/1000000000 | t=1.85e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 461.9 steps/s | 2.16 ms/step | ETA: 36012.3 min
Step 1900000/1000000000 | t=1.90e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 461.9 steps/s | 2.16 ms/step | ETA: 36013.5 min
Step 1950000/1000000000 | t=1.95e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 461.8 steps/s | 2.17 ms/step | ETA: 36017.5 min
Step 2000000/1000000000 | t=2.00e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 461.7 steps/s | 2.17 ms/step | ETA: 36027.1 min
Step 2050000/1000000000 | t=2.05e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 461.6 steps/s | 2.17 ms/step | ETA: 36029.9 min
Step 2100000/1000000000 | t=2.10e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.6 steps/s | 2.17 ms/step | ETA: 36030.7 min
Step 2150000/1000000000 | t=2.15e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.6 steps/s | 2.17 ms/step | ETA: 36032.1 min
Step 2200000/1000000000 | t=2.20e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.6 steps/s | 2.17 ms/step | ETA: 36026.3 min
Step 2250000/1000000000 | t=2.25e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.5 steps/s | 2.17 ms/step | ETA: 36036.4 min
