,T,S4,S3/T
0,2000.0,1878.5168040431356,831.6344192425208
1,4000.0,1883.3152996365152,427.0730689049943
2,6000.0,1892.273498613537,300.81706732525396
3,8000.0,1909.1343698902194,243.59244895601063
4,10000.0,1923.7670828281457,211.8491776125663
5,12000.0,1947.8811832073516,193.3091736193666
6,14000.0,1974.6840975465786,181.3352398221034
7,16000.0,2004.41516586557,172.93723560654547
8,18000.0,2034.4089754050838,167.19115088763297
9,20000.0,2068.496473597307,163.07672222096826
10,22000.0,2102.6978425786306,159.92020980019683
11,24000.0,2140.092477906904,157.70064482203847
12,26000.0,2176.2616757564056,155.91713876314722
13,28000.0,2215.2348890095773,154.69092222577808
14,30000.0,2255.912204821721,153.75681856737347
15,32000.0,2296.192401812733,153.08373897276724
16,34000.0,2338.8441495605693,152.666766185732
17,36000.0,2381.7598907407314,152.29559099045102
18,38000.0,2427.173198104148,152.10569559673485
19,40000.0,2473.754010205952,152.0551683558049
20,42000.0,2521.855517580018,152.059893578629
21,44000.0,2572.2122295474887,152.1631705077204
22,46000.0,2623.1201172960837,152.34562227885183
23,48000.0,2675.059303015774,152.64465301192178
24,50000.0,2728.9578501930064,152.9417488151757
25,52000.0,2784.4943823758945,153.3214592000188
26,54000.0,2842.7335909801386,153.75966035590164
27,56000.0,2901.426591598553,154.24371338931235
28,58000.0,2962.6384107747344,154.78489365225937
29,60000.0,3025.689508776874,155.37804834412557
30,62000.0,3090.6139068937873,156.03958136054902
31,64000.0,3154.1556946258797,156.71189156949708
32,66000.0,3224.381486236564,157.45295246584016
33,68000.0,3289.317758201611,158.23673530640258
34,70000.0,3379.2174160485993,159.0686379730202
35,72000.0,3453.3892225144627,159.95194711360864
36,74000.0,3533.5490534748355,160.88402726007283
37,76000.0,3617.508418016143,161.86180095052788
38,78000.0,3703.327210172493,162.90388026679003
39,80000.0,3792.376927487777,163.97915538043355
