loop_id,winding_sign,n_voxels,centroid_x,centroid_y,centroid_z,max_winding,step,time,temperature
1,-,53,29.45,407.98,36.57,1.0000,2325,5.81250000e+02,6769.91
6,+,47,201.34,332.02,50.64,2.0000,2325,5.81250000e+02,6769.91
12,-,43,216.37,334.44,30.19,1.0000,2325,5.81250000e+02,6769.91
54,-,29,395.07,354.00,52.93,1.0000,2325,5.81250000e+02,6769.91
63,+,29,466.45,459.76,49.79,1.0000,2325,5.81250000e+02,6769.91
68,-,26,470.54,213.00,29.96,2.0000,2325,5.81250000e+02,6769.91
64,+,25,467.00,457.24,24.76,1.0000,2325,5.81250000e+02,6769.91
26,+,23,268.13,345.35,21.52,1.0000,2325,5.81250000e+02,6769.91
50,+,23,317.70,335.00,7.30,1.0000,2325,5.81250000e+02,6769.91
46,+,17,309.12,335.00,59.88,1.0000,2325,5.81250000e+02,6769.91
71,-,17,472.65,212.00,49.35,2.0000,2325,5.81250000e+02,6769.91
30,-,16,274.81,340.88,16.81,2.0000,2325,5.81250000e+02,6769.91
78,+,16,506.44,196.00,13.06,2.0000,2325,5.81250000e+02,6769.91
82,+,16,508.00,195.44,27.06,1.0000,2325,5.81250000e+02,6769.91
53,-,12,391.00,355.00,36.50,2.0000,2325,5.81250000e+02,6769.91
62,-,12,399.00,354.67,4.83,1.0000,2325,5.81250000e+02,6769.91
34,-,11,279.91,340.00,25.09,2.0000,2325,5.81250000e+02,6769.91
22,+,10,264.80,346.00,8.70,2.0000,2325,5.81250000e+02,6769.91
37,-,9,286.44,339.00,28.56,2.0000,2325,5.81250000e+02,6769.91
41,-,9,293.56,338.00,30.44,2.0000,2325,5.81250000e+02,6769.91
43,+,9,299.00,336.00,57.00,2.0000,2325,5.81250000e+02,6769.91
21,+,8,263.00,347.00,59.50,1.0000,2325,5.81250000e+02,6769.91
69,-,8,471.00,212.25,13.25,1.0000,2325,5.81250000e+02,6769.91
76,+,8,504.38,197.00,3.12,2.0000,2325,5.81250000e+02,6769.91
77,+,7,504.00,197.29,51.71,1.0000,2325,5.81250000e+02,6769.91
20,+,6,263.33,347.00,2.17,2.0000,2325,5.81250000e+02,6769.91
29,+,6,268.00,347.00,34.50,1.0000,2325,5.81250000e+02,6769.91
66,+,6,467.00,459.00,4.50,2.0000,2325,5.81250000e+02,6769.91
70,-,6,472.00,212.00,5.50,1.0000,2325,5.81250000e+02,6769.91
73,-,6,473.00,211.00,60.50,1.0000,2325,5.81250000e+02,6769.91
74,+,6,503.33,197.00,61.17,1.0000,2325,5.81250000e+02,6769.91
3,-,5,29.00,408.00,8.00,2.0000,2325,5.81250000e+02,6769.91
4,-,5,30.00,408.00,2.00,1.0000,2325,5.81250000e+02,6769.91
65,+,5,467.00,458.00,10.00,2.0000,2325,5.81250000e+02,6769.91
19,-,4,221.00,339.00,44.50,1.0000,2325,5.81250000e+02,6769.91
27,+,4,266.00,347.25,44.25,1.0000,2325,5.81250000e+02,6769.91
45,-,4,302.50,337.00,30.00,1.0000,2325,5.81250000e+02,6769.91
80,+,4,506.00,196.75,41.75,1.0000,2325,5.81250000e+02,6769.91
81,+,4,507.00,196.00,37.50,1.0000,2325,5.81250000e+02,6769.91
7,+,3,196.00,329.33,34.67,2.0000,2325,5.81250000e+02,6769.91
11,+,3,203.67,329.33,26.00,2.0000,2325,5.81250000e+02,6769.91
24,+,3,264.00,348.00,52.00,2.0000,2325,5.81250000e+02,6769.91
25,+,3,265.00,348.00,48.00,1.0000,2325,5.81250000e+02,6769.91
28,+,3,267.00,347.00,40.00,1.0000,2325,5.81250000e+02,6769.91
42,+,3,293.00,337.00,57.00,2.0000,2325,5.81250000e+02,6769.91
55,-,3,392.00,355.00,28.00,1.0000,2325,5.81250000e+02,6769.91
72,-,3,473.00,211.67,0.33,1.0000,2325,5.81250000e+02,6769.91
75,+,3,503.00,198.00,57.00,2.0000,2325,5.81250000e+02,6769.91
79,+,3,505.00,197.00,46.00,1.0000,2325,5.81250000e+02,6769.91
5,-,2,30.00,409.00,62.50,2.0000,2325,5.81250000e+02,6769.91
31,-,2,275.00,340.00,8.50,1.0000,2325,5.81250000e+02,6769.91
32,+,2,276.00,339.50,6.00,1.0000,2325,5.81250000e+02,6769.91
38,+,2,286.00,337.50,60.00,2.0000,2325,5.81250000e+02,6769.91
40,+,2,289.50,337.00,58.00,1.0000,2325,5.81250000e+02,6769.91
44,-,2,298.50,337.00,31.00,1.0000,2325,5.81250000e+02,6769.91
47,-,2,306.50,337.00,29.00,2.0000,2325,5.81250000e+02,6769.91
51,+,2,317.00,335.50,21.00,1.0000,2325,5.81250000e+02,6769.91
57,-,2,394.00,355.00,22.50,1.0000,2325,5.81250000e+02,6769.91
60,-,2,397.00,355.00,15.50,1.0000,2325,5.81250000e+02,6769.91
61,-,2,398.00,355.00,12.50,1.0000,2325,5.81250000e+02,6769.91
67,+,2,467.00,460.00,0.50,2.0000,2325,5.81250000e+02,6769.91
2,-,1,29.00,407.00,11.00,1.0000,2325,5.81250000e+02,6769.91
8,+,1,197.00,329.00,32.00,1.0000,2325,5.81250000e+02,6769.91
9,+,1,198.00,329.00,30.00,1.0000,2325,5.81250000e+02,6769.91
10,-,1,200.00,329.00,28.00,1.0000,2325,5.81250000e+02,6769.91
13,+,1,214.00,337.00,56.00,1.0000,2325,5.81250000e+02,6769.91
14,-,1,215.00,338.00,55.00,1.0000,2325,5.81250000e+02,6769.91
15,-,1,217.00,339.00,53.00,1.0000,2325,5.81250000e+02,6769.91
16,-,1,218.00,339.00,52.00,1.0000,2325,5.81250000e+02,6769.91
17,-,1,219.00,339.00,50.00,1.0000,2325,5.81250000e+02,6769.91
18,-,1,220.00,339.00,48.00,1.0000,2325,5.81250000e+02,6769.91
23,+,1,264.00,347.00,54.00,1.0000,2325,5.81250000e+02,6769.91
33,-,1,277.00,339.00,4.00,1.0000,2325,5.81250000e+02,6769.91
35,+,1,280.00,339.00,0.00,1.0000,2325,5.81250000e+02,6769.91
36,+,1,284.00,338.00,61.00,1.0000,2325,5.81250000e+02,6769.91
39,+,1,287.00,337.00,59.00,1.0000,2325,5.81250000e+02,6769.91
48,-,1,309.00,336.00,28.00,1.0000,2325,5.81250000e+02,6769.91
49,-,1,311.00,336.00,27.00,1.0000,2325,5.81250000e+02,6769.91
52,+,1,318.00,335.00,19.00,1.0000,2325,5.81250000e+02,6769.91
56,-,1,393.00,355.00,25.00,1.0000,2325,5.81250000e+02,6769.91
58,-,1,395.00,355.00,20.00,1.0000,2325,5.81250000e+02,6769.91
59,-,1,396.00,355.00,18.00,1.0000,2325,5.81250000e+02,6769.91
