loop_id,winding_sign,n_voxels,centroid_x,centroid_y,centroid_z,max_winding,step,time,temperature
1,-,64,27.34,409.00,32.16,1.0000,3075,7.68750000e+02,6769.87
32,+,64,469.00,457.00,31.50,1.0000,3075,7.68750000e+02,6769.87
33,-,64,473.00,209.00,31.50,1.0000,3075,7.68750000e+02,6769.87
30,-,41,389.34,357.00,43.66,1.0000,3075,7.68750000e+02,6769.87
36,+,38,505.00,197.21,28.29,1.0000,3075,7.68750000e+02,6769.87
31,-,23,390.00,357.00,11.00,1.0000,3075,7.68750000e+02,6769.87
26,+,20,301.90,337.00,7.60,1.0000,3075,7.68750000e+02,6769.87
35,+,16,504.00,198.00,55.50,1.0000,3075,7.68750000e+02,6769.87
2,+,14,272.21,346.00,49.29,2.0000,3075,7.68750000e+02,6769.87
34,+,11,504.36,198.00,4.64,2.0000,3075,7.68750000e+02,6769.87
23,+,7,294.43,338.00,1.57,2.0000,3075,7.68750000e+02,6769.87
3,+,5,274.00,345.00,57.00,2.0000,3075,7.68750000e+02,6769.87
6,+,5,276.20,344.00,59.80,2.0000,3075,7.68750000e+02,6769.87
20,+,5,289.40,339.00,0.60,2.0000,3075,7.68750000e+02,6769.87
4,+,3,273.00,346.00,40.00,1.0000,3075,7.68750000e+02,6769.87
9,+,3,278.33,343.00,61.67,2.0000,3075,7.68750000e+02,6769.87
11,+,3,280.33,342.00,62.67,2.0000,3075,7.68750000e+02,6769.87
13,+,3,283.00,341.00,0.00,2.0000,3075,7.68750000e+02,6769.87
15,-,3,282.67,341.67,28.00,2.0000,3075,7.68750000e+02,6769.87
17,+,3,286.00,340.00,0.00,2.0000,3075,7.68750000e+02,6769.87
5,+,2,274.00,345.50,37.00,1.0000,3075,7.68750000e+02,6769.87
16,-,2,284.50,341.00,27.00,1.0000,3075,7.68750000e+02,6769.87
19,-,2,287.50,340.00,26.00,1.0000,3075,7.68750000e+02,6769.87
24,-,2,293.50,339.00,24.00,2.0000,3075,7.68750000e+02,6769.87
28,-,2,300.00,337.50,21.00,2.0000,3075,7.68750000e+02,6769.87
7,+,1,275.00,345.00,35.00,1.0000,3075,7.68750000e+02,6769.87
8,-,1,276.00,345.00,33.00,1.0000,3075,7.68750000e+02,6769.87
10,-,1,278.00,344.00,31.00,1.0000,3075,7.68750000e+02,6769.87
12,-,1,280.00,343.00,29.00,1.0000,3075,7.68750000e+02,6769.87
14,+,1,282.00,341.00,63.00,1.0000,3075,7.68750000e+02,6769.87
18,-,1,286.00,341.00,26.00,1.0000,3075,7.68750000e+02,6769.87
21,-,1,290.00,340.00,25.00,2.0000,3075,7.68750000e+02,6769.87
22,-,1,291.00,339.00,25.00,1.0000,3075,7.68750000e+02,6769.87
25,-,1,296.00,338.00,23.00,1.0000,3075,7.68750000e+02,6769.87
27,-,1,298.00,338.00,22.00,1.0000,3075,7.68750000e+02,6769.87
29,+,1,303.00,337.00,17.00,1.0000,3075,7.68750000e+02,6769.87
