loop_id,winding_sign,n_voxels,centroid_x,centroid_y,centroid_z,max_winding,step,time,temperature
45,-,62,472.29,210.00,33.21,1.0000,2775,6.93750000e+02,6769.89
43,+,56,468.00,457.52,35.98,1.0000,2775,6.93750000e+02,6769.89
1,-,49,28.22,408.59,35.18,1.0000,2775,6.93750000e+02,6769.89
47,+,40,505.55,197.00,17.95,1.0000,2775,6.93750000e+02,6769.89
39,-,38,390.87,356.00,46.63,1.0000,2775,6.93750000e+02,6769.89
35,+,24,308.58,336.00,5.92,1.0000,2775,6.93750000e+02,6769.89
49,+,13,505.00,197.00,45.00,1.0000,2775,6.93750000e+02,6769.89
2,-,12,28.00,409.00,5.50,2.0000,2775,6.93750000e+02,6769.89
42,-,11,393.00,356.00,5.00,1.0000,2775,6.93750000e+02,6769.89
48,+,11,504.00,197.00,58.00,1.0000,2775,6.93750000e+02,6769.89
4,+,9,268.22,347.00,55.78,2.0000,2775,6.93750000e+02,6769.89
7,+,9,269.00,347.00,46.00,1.0000,2775,6.93750000e+02,6769.89
31,+,9,296.00,337.00,62.00,2.0000,2775,6.93750000e+02,6769.89
44,+,9,468.00,458.00,4.00,2.0000,2775,6.93750000e+02,6769.89
41,-,8,392.00,356.00,15.50,1.0000,2775,6.93750000e+02,6769.89
29,-,7,294.00,338.00,26.00,2.0000,2775,6.93750000e+02,6769.89
40,-,7,391.00,356.00,24.00,1.0000,2775,6.93750000e+02,6769.89
9,+,6,270.00,346.83,37.67,1.0000,2775,6.93750000e+02,6769.89
26,-,6,287.83,339.00,25.67,2.0000,2775,6.93750000e+02,6769.89
23,-,5,283.60,340.00,24.40,2.0000,2775,6.93750000e+02,6769.89
3,-,4,28.00,409.00,61.50,1.0000,2775,6.93750000e+02,6769.89
6,+,4,269.00,346.00,61.50,1.0000,2775,6.93750000e+02,6769.89
8,+,4,270.50,345.00,3.00,2.0000,2775,6.93750000e+02,6769.89
33,+,4,301.50,336.00,63.00,1.0000,2775,6.93750000e+02,6769.89
5,+,3,269.67,346.00,0.33,2.0000,2775,6.93750000e+02,6769.89
10,+,3,271.00,346.00,33.00,1.0000,2775,6.93750000e+02,6769.89
11,+,3,272.33,344.00,4.67,2.0000,2775,6.93750000e+02,6769.89
12,+,3,272.00,345.33,29.67,1.0000,2775,6.93750000e+02,6769.89
14,+,3,274.33,343.00,5.67,2.0000,2775,6.93750000e+02,6769.89
16,+,3,276.67,341.67,6.00,2.0000,2775,6.93750000e+02,6769.89
17,-,3,276.67,342.67,24.00,2.0000,2775,6.93750000e+02,6769.89
18,+,3,278.67,340.67,5.00,2.0000,2775,6.93750000e+02,6769.89
21,-,3,280.67,341.00,23.33,2.0000,2775,6.93750000e+02,6769.89
25,+,3,285.67,338.67,1.00,2.0000,2775,6.93750000e+02,6769.89
32,-,3,299.00,337.00,26.00,1.0000,2775,6.93750000e+02,6769.89
13,+,2,273.00,345.00,26.50,1.0000,2775,6.93750000e+02,6769.89
15,-,2,275.00,343.50,25.00,2.0000,2775,6.93750000e+02,6769.89
19,-,2,278.50,342.00,23.00,2.0000,2775,6.93750000e+02,6769.89
22,+,2,282.00,339.50,3.00,2.0000,2775,6.93750000e+02,6769.89
28,+,2,289.50,338.00,63.00,1.0000,2775,6.93750000e+02,6769.89
38,+,2,310.00,336.00,17.50,1.0000,2775,6.93750000e+02,6769.89
46,-,2,473.00,210.00,0.50,1.0000,2775,6.93750000e+02,6769.89
20,+,1,280.00,340.00,4.00,1.0000,2775,6.93750000e+02,6769.89
24,+,1,283.00,339.00,2.00,1.0000,2775,6.93750000e+02,6769.89
27,+,1,287.00,338.00,0.00,1.0000,2775,6.93750000e+02,6769.89
30,+,1,291.00,338.00,62.00,1.0000,2775,6.93750000e+02,6769.89
34,-,1,302.00,337.00,25.00,1.0000,2775,6.93750000e+02,6769.89
36,-,1,304.00,337.00,24.00,1.0000,2775,6.93750000e+02,6769.89
37,-,1,306.00,337.00,22.00,1.0000,2775,6.93750000e+02,6769.89
