loop_id,winding_sign,n_voxels,centroid_x,centroid_y,centroid_z,max_winding,step,time,temperature
1,-,64,26.00,410.00,31.50,1.0000,3900,9.75000000e+02,6769.84
10,-,64,386.00,359.00,31.50,1.0000,3900,9.75000000e+02,6769.84
11,+,64,470.00,456.00,31.50,1.0000,3900,9.75000000e+02,6769.84
12,-,64,475.00,207.00,31.50,1.0000,3900,9.75000000e+02,6769.84
13,+,64,503.00,199.00,31.50,1.0000,3900,9.75000000e+02,6769.84
7,+,22,289.45,342.00,9.05,1.0000,3900,9.75000000e+02,6769.84
4,+,14,286.21,343.00,58.29,2.0000,3900,9.75000000e+02,6769.84
2,+,12,284.25,344.00,47.25,2.0000,3900,9.75000000e+02,6769.84
3,+,6,285.00,343.50,38.00,1.0000,3900,9.75000000e+02,6769.84
9,+,4,289.00,342.00,22.50,1.0000,3900,9.75000000e+02,6769.84
6,+,3,287.00,343.00,30.00,1.0000,3900,9.75000000e+02,6769.84
8,+,3,288.00,342.67,26.33,1.0000,3900,9.75000000e+02,6769.84
5,+,2,286.00,343.00,33.50,1.0000,3900,9.75000000e+02,6769.84
