loop_id,winding_sign,n_voxels,centroid_x,centroid_y,centroid_z,max_winding,step,time,temperature
36,+,61,468.00,457.39,33.61,1.0000,2925,7.31250000e+02,6769.88
1,-,52,27.63,409.00,37.87,1.0000,2925,7.31250000e+02,6769.88
34,-,44,390.25,356.00,42.25,1.0000,2925,7.31250000e+02,6769.88
38,-,43,472.26,210.00,29.74,2.0000,2925,7.31250000e+02,6769.88
41,+,31,505.10,197.00,13.90,1.0000,2925,7.31250000e+02,6769.88
44,+,23,505.00,197.04,40.96,2.0000,2925,7.31250000e+02,6769.88
35,-,20,391.00,356.00,9.50,1.0000,2925,7.31250000e+02,6769.88
32,+,17,306.41,336.00,7.59,1.0000,2925,7.31250000e+02,6769.88
40,-,13,473.00,209.00,57.00,1.0000,2925,7.31250000e+02,6769.88
2,-,12,28.00,409.00,5.50,1.0000,2925,7.31250000e+02,6769.88
4,+,11,270.00,347.00,49.00,2.0000,2925,7.31250000e+02,6769.88
28,+,11,299.18,337.00,0.82,2.0000,2925,7.31250000e+02,6769.88
39,-,9,473.00,209.11,3.89,1.0000,2925,7.31250000e+02,6769.88
43,+,9,504.00,198.00,56.00,2.0000,2925,7.31250000e+02,6769.88
3,+,6,270.67,346.00,56.83,2.0000,2925,7.31250000e+02,6769.88
26,+,6,291.50,338.00,0.00,2.0000,2925,7.31250000e+02,6769.88
5,+,5,272.00,345.00,61.00,2.0000,2925,7.31250000e+02,6769.88
6,+,5,271.00,346.80,40.20,1.0000,2925,7.31250000e+02,6769.88
25,-,5,290.00,339.00,25.00,2.0000,2925,7.31250000e+02,6769.88
27,-,4,294.50,338.00,25.00,1.0000,2925,7.31250000e+02,6769.88
33,+,4,307.00,336.25,17.25,2.0000,2925,7.31250000e+02,6769.88
37,+,4,468.00,458.00,1.50,2.0000,2925,7.31250000e+02,6769.88
13,+,3,276.33,343.00,0.67,2.0000,2925,7.31250000e+02,6769.88
19,+,3,283.00,340.00,1.00,2.0000,2925,7.31250000e+02,6769.88
20,-,3,283.00,341.00,26.00,2.0000,2925,7.31250000e+02,6769.88
42,+,3,504.00,197.00,62.00,1.0000,2925,7.31250000e+02,6769.88
7,+,2,272.00,346.00,36.50,1.0000,2925,7.31250000e+02,6769.88
8,+,2,273.50,344.00,63.00,1.0000,2925,7.31250000e+02,6769.88
9,+,2,273.00,345.50,34.00,1.0000,2925,7.31250000e+02,6769.88
10,+,2,274.50,344.00,0.00,2.0000,2925,7.31250000e+02,6769.88
12,-,2,275.00,344.50,31.00,2.0000,2925,7.31250000e+02,6769.88
14,-,2,277.00,343.50,29.00,2.0000,2925,7.31250000e+02,6769.88
15,+,2,278.50,342.00,1.00,2.0000,2925,7.31250000e+02,6769.88
17,+,2,280.50,341.00,1.00,2.0000,2925,7.31250000e+02,6769.88
21,+,2,285.50,339.00,1.00,1.0000,2925,7.31250000e+02,6769.88
22,-,2,285.50,340.00,26.00,1.0000,2925,7.31250000e+02,6769.88
11,+,1,274.00,345.00,32.00,1.0000,2925,7.31250000e+02,6769.88
16,-,1,279.00,343.00,27.00,2.0000,2925,7.31250000e+02,6769.88
18,-,1,281.00,342.00,26.00,2.0000,2925,7.31250000e+02,6769.88
23,-,1,287.00,340.00,25.00,1.0000,2925,7.31250000e+02,6769.88
24,+,1,288.00,339.00,0.00,2.0000,2925,7.31250000e+02,6769.88
29,-,1,298.00,338.00,24.00,2.0000,2925,7.31250000e+02,6769.88
30,-,1,299.00,337.00,24.00,1.0000,2925,7.31250000e+02,6769.88
31,-,1,301.00,337.00,23.00,1.0000,2925,7.31250000e+02,6769.88
