loop_id,winding_sign,n_voxels,centroid_x,centroid_y,centroid_z,max_winding,step,time,temperature
1,-,64,25.00,410.00,31.50,1.0000,4800,1.20000000e+03,6769.80
4,-,64,383.00,360.00,31.50,1.0000,4800,1.20000000e+03,6769.80
5,+,64,471.00,454.00,31.50,1.0000,4800,1.20000000e+03,6769.80
6,-,64,479.00,205.00,31.50,1.0000,4800,1.20000000e+03,6769.80
7,+,64,499.00,200.00,31.50,1.0000,4800,1.20000000e+03,6769.80
3,+,41,289.00,344.00,43.00,1.0000,4800,1.20000000e+03,6769.80
2,+,23,289.74,344.00,10.26,1.0000,4800,1.20000000e+03,6769.80
