loop_id,winding_sign,n_voxels,centroid_x,centroid_y,centroid_z,max_winding,step,time,temperature
1,-,64,25.00,410.00,31.50,1.0000,4275,1.06875000e+03,6769.83
6,-,64,384.00,359.00,31.50,1.0000,4275,1.06875000e+03,6769.83
9,-,64,476.00,206.00,31.50,1.0000,4275,1.06875000e+03,6769.83
10,+,64,502.00,200.00,31.50,1.0000,4275,1.06875000e+03,6769.83
8,+,38,471.00,455.00,18.50,1.0000,4275,1.06875000e+03,6769.83
4,+,26,288.88,343.00,11.62,1.0000,4275,1.06875000e+03,6769.83
7,+,26,470.08,455.00,51.42,1.0000,4275,1.06875000e+03,6769.83
3,+,21,287.00,344.00,45.00,2.0000,4275,1.06875000e+03,6769.83
2,+,9,287.78,343.00,59.22,1.0000,4275,1.06875000e+03,6769.83
5,+,9,288.00,343.00,30.00,1.0000,4275,1.06875000e+03,6769.83
