loop_id,winding_sign,n_voxels,centroid_x,centroid_y,centroid_z,max_winding,step,time,temperature
17,-,64,387.00,358.00,31.50,1.0000,3675,9.18750000e+02,6769.85
18,+,64,470.00,456.00,31.50,1.0000,3675,9.18750000e+02,6769.85
19,-,64,474.00,207.00,31.50,1.0000,3675,9.18750000e+02,6769.85
20,+,64,503.00,199.00,31.50,1.0000,3675,9.18750000e+02,6769.85
1,-,61,26.00,409.25,29.75,2.0000,3675,9.18750000e+02,6769.85
13,+,16,290.88,341.00,8.62,1.0000,3675,9.18750000e+02,6769.85
3,+,15,282.13,344.00,46.87,2.0000,3675,9.18750000e+02,6769.85
5,+,10,284.30,343.00,57.20,2.0000,3675,9.18750000e+02,6769.85
9,+,5,286.80,342.00,62.20,1.0000,3675,9.18750000e+02,6769.85
2,-,4,26.00,409.00,61.50,1.0000,3675,9.18750000e+02,6769.85
11,+,4,288.50,342.00,1.00,2.0000,3675,9.18750000e+02,6769.85
16,+,4,291.00,341.00,18.50,1.0000,3675,9.18750000e+02,6769.85
4,+,3,283.00,343.67,37.33,1.0000,3675,9.18750000e+02,6769.85
7,+,2,285.00,343.00,32.50,1.0000,3675,9.18750000e+02,6769.85
8,+,2,286.00,342.50,30.00,1.0000,3675,9.18750000e+02,6769.85
14,+,2,289.00,341.50,24.00,1.0000,3675,9.18750000e+02,6769.85
6,+,1,284.00,343.00,35.00,1.0000,3675,9.18750000e+02,6769.85
10,+,1,287.00,342.00,28.00,1.0000,3675,9.18750000e+02,6769.85
12,+,1,288.00,342.00,26.00,1.0000,3675,9.18750000e+02,6769.85
15,+,1,290.00,341.00,22.00,1.0000,3675,9.18750000e+02,6769.85
