loop_id,winding_sign,n_voxels,centroid_x,centroid_y,centroid_z,max_winding,step,time,temperature
1,-,64,26.00,410.00,31.50,1.0000,4050,1.01250000e+03,6769.84
10,-,64,385.00,359.00,31.50,1.0000,4050,1.01250000e+03,6769.84
11,+,64,470.00,456.00,31.50,1.0000,4050,1.01250000e+03,6769.84
12,-,64,476.00,206.00,31.50,1.0000,4050,1.01250000e+03,6769.84
13,+,64,502.00,199.00,31.50,1.0000,4050,1.01250000e+03,6769.84
4,+,14,286.79,343.00,57.71,1.0000,4050,1.01250000e+03,6769.84
9,+,10,289.00,342.40,19.10,1.0000,4050,1.01250000e+03,6769.84
3,+,9,286.00,343.67,39.33,1.0000,4050,1.01250000e+03,6769.84
8,+,9,289.11,342.00,9.89,1.0000,4050,1.01250000e+03,6769.84
2,+,8,285.62,344.00,47.88,2.0000,4050,1.01250000e+03,6769.84
6,+,7,288.43,343.00,2.57,2.0000,4050,1.01250000e+03,6769.84
5,+,5,287.00,343.00,32.00,1.0000,4050,1.01250000e+03,6769.84
7,+,4,288.00,343.00,26.50,1.0000,4050,1.01250000e+03,6769.84
