loop_id,winding_sign,n_voxels,centroid_x,centroid_y,centroid_z,max_winding,step,time,temperature
1,-,64,25.00,410.00,31.50,1.0000,4500,1.12500000e+03,6769.82
5,-,64,384.00,360.00,31.50,1.0000,4500,1.12500000e+03,6769.82
6,+,64,471.00,455.00,31.50,1.0000,4500,1.12500000e+03,6769.82
7,-,64,477.00,205.00,31.50,1.0000,4500,1.12500000e+03,6769.82
8,+,64,501.00,200.00,31.50,1.0000,4500,1.12500000e+03,6769.82
2,+,33,288.12,344.00,47.88,1.0000,4500,1.12500000e+03,6769.82
3,+,31,289.00,343.16,15.84,1.0000,4500,1.12500000e+03,6769.82
4,+,1,289.00,344.00,0.00,2.0000,4500,1.12500000e+03,6769.82
