,T,S4,S3/T
0,10325.0,8782.840289772636,46.86472737753794
1,10520.689655172413,15414.672726890314,154.32264458804082
2,10716.379310344828,20927.28752888422,236.80852216347859
3,10912.068965517241,26805.679936285356,319.7535030539523
4,11107.758620689656,33016.08046076188,406.1275036437772
5,11303.448275862069,39783.41612296579,497.8436411320305
6,11499.137931034482,47150.945987206935,595.1001838738409
7,11694.827586206897,55064.590034424764,698.9582828478909
8,11890.51724137931,63624.924662993406,809.2389842516588
9,12086.206896551725,73530.24651118444,927.2571289805127
10,12281.896551724138,84175.07005529576,1052.6727658051516
11,12477.58620689655,95903.15540709457,1180.544449581813
12,12673.275862068966,108032.40882053555,1320.706704405948
13,12868.965517241379,121515.02744043339,1470.5359574241336
14,13064.655172413793,136422.95647375632,1630.2017390131512
15,13260.344827586207,152848.7340833214,1800.5609960842123
16,13456.03448275862,170384.41724090555,1981.6720975956857
17,13651.724137931034,189146.27164077794,2174.211161993887
18,13847.413793103447,210344.71525382105,2378.8769590325883
19,14043.103448275862,233079.54919509115,2597.0571257936967
20,14238.793103448275,258093.91430322832,2828.80682981608
21,14434.482758620688,284891.866479913,3075.389921430529
22,14630.172413793103,316136.55655587994,3337.881222763089
23,14825.862068965518,351042.1070802594,3616.951356134699
24,15021.551724137931,389982.17219511425,3914.0625336112057
25,15217.241379310344,431516.4063523787,4229.618591968827
26,15412.931034482757,478360.09568256093,4564.291225113341
27,15608.620689655172,524691.4196897236,4913.999534913323
28,15804.310344827587,577129.3220690498,5283.790383891697
29,16000.0,636147.2792618574,5714.003584377476
